timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.38,-0.23,-0.13,44.68,-96.86,91.31
10,-0.11,-0.05,-0.17,35.52,-76.84,81.67
20,0.03,0.06,-0.10,31.74,-63.42,83.37
30,0.18,0.13,-0.10,24.41,-49.62,70.25
40,0.33,0.23,-0.03,13.31,-25.09,33.14
50,0.36,0.26,-0.04,11.17,-11.17,14.53
60,0.43,0.34,-0.16,-3.78,28.08,10.86
70,0.49,0.36,-0.22,-26.55,69.34,10.74
80,0.50,0.34,-0.25,-45.72,102.42,-1.95
90,0.37,0.17,-0.27,-54.69,122.07,-30.15
100,-0.04,-0.19,-0.31,-46.39,130.00,-90.27
110,-0.34,-0.32,-0.37,-27.77,122.62,-124.21
120,-0.71,-0.50,-0.51,-12.63,112.67,-145.69
130,-1.28,-0.78,-0.70,-13.98,95.52,-171.39
140,-1.64,-0.88,-0.65,-27.59,88.07,-177.37
150,-2.10,-1.10,-0.50,-27.77,73.67,-145.45
160,-2.56,-1.26,-0.37,-10.31,43.46,-76.72
170,-2.71,-1.34,-0.36,-1.83,18.80,-33.08
180,-2.77,-1.38,-0.30,-0.73,-6.16,-3.42
190,-2.64,-1.33,-0.15,-2.69,-19.90,25.39
200,-2.29,-1.18,-0.06,10.31,-43.95,62.62
210,-1.93,-1.00,-0.11,26.06,-67.32,89.54
220,-1.59,-0.84,-0.20,33.87,-79.90,106.08
230,-1.26,-0.64,-0.30,34.67,-89.66,112.18
240,-1.11,-0.57,-0.35,32.96,-97.66,112.73
250,-0.94,-0.49,-0.34,31.37,-106.14,114.99
260,-0.76,-0.41,-0.30,32.23,-112.37,118.10
270,-0.47,-0.24,-0.26,28.32,-104.13,117.43
280,-0.23,-0.10,-0.26,24.29,-96.62,108.09
290,-0.06,0.02,-0.20,20.63,-88.13,95.95
300,0.27,0.16,-0.16,13.92,-71.04,68.60
310,0.47,0.25,-0.10,6.84,-54.26,32.65
320,0.57,0.38,-0.08,-5.55,-23.62,-15.01
330,0.55,0.42,0.10,-2.08,-8.48,-9.95
340,0.58,0.32,0.05,-9.64,28.20,22.40
350,0.64,0.29,-0.03,-34.48,86.18,21.06
360,0.56,0.20,-0.11,-54.93,137.51,-10.07
370,0.36,0.02,-0.17,-48.95,146.79,-44.56
380,0.06,-0.16,-0.28,-36.25,146.55,-86.24
390,-0.50,-0.38,-0.48,-21.24,141.11,-144.65
400,-0.98,-0.56,-0.66,-21.24,137.45,-168.70
410,-1.54,-0.85,-0.70,-31.31,130.80,-195.37
420,-2.11,-1.10,-0.59,-21.91,95.89,-208.50
430,-2.60,-1.34,-0.53,13.85,21.24,-159.12
440,-2.90,-1.53,-0.46,22.95,-18.62,-114.38
450,-3.17,-1.61,-0.46,12.15,-33.26,-53.16
460,-2.65,-1.57,-0.21,-8.61,-24.78,15.01
470,-2.39,-1.34,-0.07,-10.74,-16.11,58.04
480,-1.93,-1.17,-0.06,14.59,-46.51,100.95
490,-1.58,-0.96,-0.23,35.71,-71.78,110.72
500,-1.28,-0.78,-0.32,42.36,-91.13,108.83
510,-0.96,-0.58,-0.32,37.23,-103.21,109.92
520,-0.74,-0.43,-0.24,32.96,-106.99,110.96
530,-0.54,-0.34,-0.16,32.23,-105.41,107.12
540,-0.34,-0.19,-0.12,35.77,-102.11,96.98
