timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.30,-1.16,-0.57,-26.79,124.57,-224.18
10,-2.14,-1.42,-0.66,9.09,67.26,-253.97
20,-2.82,-1.60,-0.64,20.94,25.94,-216.25
30,-2.70,-1.49,-0.47,2.62,9.28,-98.69
40,-2.85,-1.69,-0.25,-9.77,27.34,50.90
50,-2.31,-1.32,-0.23,-27.65,36.56,40.53
60,-2.20,-1.06,-0.12,-20.14,-0.98,42.72
70,-1.84,-1.02,-0.03,10.50,-51.15,69.89
80,-1.60,-0.89,-0.10,26.37,-66.83,74.22
90,-1.37,-0.78,-0.17,27.95,-67.81,75.93
100,-1.26,-0.71,-0.18,29.42,-72.14,76.72
110,-1.16,-0.66,-0.16,35.52,-82.15,79.53
120,-1.02,-0.58,-0.16,40.41,-87.83,83.37
130,-0.82,-0.46,-0.15,41.75,-86.12,96.07
140,-0.64,-0.36,-0.14,36.68,-75.26,101.44
150,-0.48,-0.27,-0.11,34.12,-64.27,103.21
160,-0.25,-0.10,-0.14,30.58,-48.40,93.81
170,-0.13,-0.01,-0.05,35.77,-49.62,84.90
180,0.03,0.08,-0.12,38.39,-47.85,62.93
190,0.12,0.19,-0.14,24.23,-32.53,30.64
200,0.26,0.25,-0.12,10.93,-15.69,15.32
210,0.36,0.29,-0.16,-3.23,6.59,8.24
220,0.55,0.35,-0.22,-15.93,32.10,10.99
230,0.67,0.30,-0.40,-29.24,54.32,-2.32
240,0.53,0.06,-0.43,-35.03,65.25,-36.74
250,0.33,-0.14,-0.43,-43.21,84.59,-75.87
260,-0.04,-0.40,-0.42,-54.26,122.86,-111.33
270,-0.38,-0.57,-0.40,-55.97,141.11,-134.09
280,-0.94,-0.74,-0.32,-42.18,137.21,-158.33
290,-1.40,-0.83,-0.38,-29.05,125.37,-167.60
300,-1.99,-0.97,-0.38,-15.93,107.48,-146.91
310,-2.41,-1.07,-0.42,-9.89,90.76,-105.29
320,-2.90,-1.37,-0.54,-11.17,61.77,-48.03
330,-2.97,-1.30,-0.36,-13.92,46.75,14.89
340,-2.69,-1.25,-0.36,-20.26,11.47,10.19
350,-2.62,-1.18,-0.13,-15.01,-27.71,16.48
360,-2.26,-1.15,-0.06,10.86,-72.75,48.10
370,-1.91,-1.05,-0.15,24.35,-90.94,61.40
380,-1.64,-0.95,-0.21,25.88,-93.81,67.44
390,-1.33,-0.83,-0.22,30.88,-100.52,81.60
400,-1.11,-0.75,-0.25,37.96,-105.71,91.98
410,-0.92,-0.64,-0.26,42.48,-106.26,99.85
420,-0.60,-0.48,-0.29,46.08,-103.64,106.45
430,-0.41,-0.34,-0.27,47.61,-96.86,104.25
440,-0.21,-0.20,-0.31,45.29,-89.78,98.94
450,0.07,-0.01,-0.26,33.02,-69.64,80.38
460,0.23,0.07,-0.17,34.67,-65.80,64.76
470,0.36,0.18,-0.19,32.84,-51.57,39.67
480,0.51,0.32,-0.18,21.18,-19.65,21.30
490,0.64,0.44,-0.24,3.85,15.81,17.09
500,0.70,0.48,-0.30,-14.65,46.20,12.82
510,0.72,0.43,-0.31,-28.14,66.16,-1.59
520,0.55,0.16,-0.29,-41.93,89.97,-41.63
530,0.37,-0.01,-0.30,-50.60,114.56,-68.24
540,0.16,-0.17,-0.37,-59.33,157.17,-84.35
550,-0.06,-0.31,-0.47,-57.01,174.62,-95.83
560,-0.57,-0.56,-0.51,-49.01,175.17,-128.36
570,-1.21,-0.83,-0.58,-33.33,153.14,-172.30
580,-2.25,-1.13,-0.58,-1.83,97.84,-178.83
590,-2.81,-1.37,-0.62,8.06,57.37,-127.62
600,-3.10,-1.55,-0.58,-4.64,46.51,-64.58
610,-3.08,-1.56,-0.42,-17.64,31.01,43.21
620,-2.72,-1.39,-0.28,-22.40,13.43,20.69
630,-2.59,-1.18,-0.25,-13.92,-22.95,18.31
640,-2.17,-1.12,-0.14,10.19,-71.35,55.48
