timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.59,0.08,-0.10,-12.88,74.46,23.86
10,0.63,0.05,-0.10,-13.67,111.82,24.35
20,0.61,0.05,-0.18,-8.67,138.12,6.47
30,0.51,0.03,-0.42,-4.03,154.42,-31.62
40,0.19,-0.09,-0.58,-9.89,165.41,-74.65
50,-0.32,-0.20,-0.66,-20.26,186.46,-127.62
60,-1.16,-0.26,-0.60,-12.70,183.84,-169.49
70,-1.59,-0.32,-0.69,6.35,138.37,-186.83
80,-2.24,-0.48,-0.74,17.03,85.02,-206.12
90,-2.92,-0.69,-0.74,10.07,33.45,-205.38
100,-3.42,-0.91,-0.46,-8.36,-2.69,-128.66
110,-3.38,-1.04,-0.25,-16.72,-15.50,-53.10
120,-3.13,-1.07,-0.08,-15.08,-23.62,4.09
130,-2.62,-0.93,-0.01,-8.91,-47.85,36.99
140,-2.28,-0.86,0.00,2.87,-67.63,65.67
150,-1.94,-0.74,-0.06,14.22,-79.71,83.13
160,-1.54,-0.59,-0.20,22.89,-91.92,99.85
170,-1.33,-0.49,-0.29,24.72,-103.88,101.32
180,-1.15,-0.43,-0.33,23.07,-110.84,101.38
190,-0.88,-0.31,-0.31,22.03,-115.66,108.58
200,-0.65,-0.25,-0.30,21.55,-107.97,119.57
210,-0.42,-0.15,-0.30,19.35,-91.92,131.10
220,-0.00,-0.01,-0.25,10.99,-65.06,125.79
230,0.24,0.01,-0.20,12.15,-63.11,114.44
240,0.46,0.11,-0.20,9.70,-52.37,82.70
250,0.67,0.15,-0.12,7.20,-40.65,37.84
260,0.73,0.17,-0.06,10.13,-27.59,2.56
270,0.67,0.17,-0.10,8.54,0.18,-16.54
280,0.61,0.14,-0.16,-0.85,47.61,-14.89
290,0.51,0.06,-0.16,-15.63,114.07,-12.63
300,0.45,0.02,-0.18,-18.86,147.58,-19.41
310,0.31,-0.03,-0.25,-15.99,173.28,-33.69
320,-0.02,-0.09,-0.42,-4.58,190.73,-66.65
330,-0.44,-0.22,-0.51,5.25,188.29,-100.89
340,-0.94,-0.34,-0.57,16.54,162.05,-137.39
350,-1.63,-0.49,-0.69,21.67,123.47,-171.26
360,-2.19,-0.57,-0.68,18.86,100.89,-175.84
370,-2.69,-0.70,-0.66,18.55,67.20,-151.00
380,-3.02,-0.72,-0.63,15.01,27.40,-97.66
390,-3.08,-0.74,-0.65,8.42,3.91,-44.01
400,-3.01,-0.75,-0.62,-5.86,-4.88,1.77
410,-2.65,-0.71,-0.49,-23.68,-19.59,43.82
420,-2.37,-0.67,-0.32,-23.62,-44.49,61.28
430,-2.12,-0.63,-0.25,-10.62,-76.78,71.04
440,-1.83,-0.56,-0.35,5.07,-116.33,76.97
450,-1.65,-0.51,-0.41,4.33,-131.16,82.21
460,-1.46,-0.47,-0.39,-1.16,-130.98,92.96
470,-1.14,-0.39,-0.34,-7.32,-123.84,106.51
480,-0.76,-0.33,-0.21,-6.23,-122.13,114.26
490,-0.51,-0.22,-0.17,-0.24,-124.45,106.38
500,-0.29,-0.18,-0.32,3.78,-124.33,104.86
510,0.05,-0.06,-0.17,12.57,-115.91,86.55
520,0.24,0.02,-0.17,13.92,-100.89,62.81
530,0.44,0.09,-0.20,8.73,-81.67,45.04
540,0.68,0.13,-0.06,7.75,-52.67,13.85
550,0.75,0.17,-0.06,12.94,-36.80,-8.06
560,0.70,0.17,-0.15,13.00,-6.96,-12.33
570,0.69,0.19,-0.22,5.31,42.48,0.85
580,0.84,0.21,-0.34,-8.85,111.57,16.30
590,0.89,0.16,-0.47,-15.08,141.36,-1.22
600,0.57,0.00,-0.60,-16.97,176.51,-53.89
610,0.19,-0.10,-0.76,-20.75,212.95,-91.00
620,-0.30,-0.27,-0.83,-21.00,232.79,-130.62
630,-1.04,-0.46,-0.83,-8.54,209.23,-173.46
640,-2.08,-0.64,-0.87,5.74,126.28,-227.42
650,-3.00,-0.82,-0.72,5.49,88.07,-226.68
660,-3.68,-1.01,-0.47,3.05,42.54,-178.47
670,-4.16,-0.83,-0.39,-9.58,8.54,-59.27
680,-3.66,-1.15,-0.26,-16.78,8.61,29.54
690,-3.07,-0.93,-0.09,-22.16,7.08,50.78
700,-2.53,-0.90,-0.05,-0.61,-56.64,90.82
710,-2.10,-0.74,-0.20,15.32,-86.30,93.44
720,-1.80,-0.61,-0.36,21.12,-103.21,103.58
730,-1.53,-0.51,-0.42,17.33,-113.40,108.03
740,-1.18,-0.37,-0.38,13.49,-124.45,105.29
750,-0.97,-0.30,-0.37,15.93,-134.70,98.33
760,-0.81,-0.26,-0.38,20.51,-147.52,91.00
770,-0.57,-0.15,-0.40,21.48,-139.22,96.50
780,-0.30,-0.07,-0.33,16.42,-123.47,93.87
790,0.00,-0.05,-0.27,17.70,-115.60,88.01
800,0.32,0.08,-0.28,15.81,-102.84,60.67
810,0.53,0.13,-0.15,14.83,-84.84,37.35
820,0.71,0.20,-0.06,18.49,-73.24,8.12
830,0.77,0.23,-0.09,15.01,-47.42,-18.19
840,0.73,0.21,-0.03,3.60,0.43,-20.39
850,0.63,0.15,-0.04,-9.89,58.53,-11.11
860,0.64,0.10,-0.00,-19.29,130.31,-1.28
870,0.67,0.05,0.07,-7.75,165.16,-10.25
880,0.53,-0.02,-0.13,18.13,168.70,-36.25
890,0.23,-0.13,-0.51,28.26,186.34,-71.66
900,-0.63,-0.31,-0.80,11.05,226.50,-122.19
910,-1.21,-0.33,-0.83,5.92,219.42,-125.18
920,-1.53,-0.34,-0.89,7.57,199.89,-118.59
930,-2.07,-0.41,-0.98,4.88,157.29,-119.08
940,-2.47,-0.54,-0.90,-0.43,104.06,-128.05
950,-2.83,-0.60,-0.72,0.98,46.26,-122.38
960,-2.98,-0.76,-0.65,-3.66,2.93,-69.76
970,-2.96,-0.85,-0.50,-15.20,-10.99,-36.80
980,-2.80,-0.90,-0.31,-18.86,-34.55,-6.53
990,-2.51,-0.86,-0.19,-12.51,-61.65,18.13
1000,-2.08,-0.72,-0.21,0.85,-84.78,45.72
1010,-1.84,-0.63,-0.28,7.32,-99.91,55.91
1020,-1.65,-0.54,-0.36,11.29,-118.41,63.90
1030,-1.54,-0.49,-0.38,13.85,-129.21,74.10
1040,-1.32,-0.42,-0.40,14.34,-134.40,91.13
1050,-0.95,-0.33,-0.38,9.77,-125.06,105.65
1060,-0.65,-0.23,-0.30,7.45,-114.07,111.33
1070,-0.39,-0.14,-0.25,7.81,-106.81,115.60
1080,-0.07,-0.02,-0.29,1.40,-89.78,109.07
1090,0.18,0.01,-0.12,5.98,-83.56,96.44
1100,0.38,0.11,-0.13,10.19,-70.56,71.72
1110,0.52,0.13,-0.15,11.11,-46.33,47.91
1120,0.64,0.16,-0.14,10.38,-26.61,25.02
1130,0.68,0.17,-0.17,6.65,4.33,14.89
1140,0.73,0.15,-0.16,-8.06,59.02,18.13
1150,0.79,0.10,-0.10,-16.54,98.63,12.15
1160,0.75,0.04,-0.06,-13.55,142.88,-11.11
1170,0.51,-0.09,-0.23,-4.76,167.85,-47.49
1180,0.01,-0.22,-0.43,6.90,164.79,-96.31
1190,-0.37,-0.31,-0.57,15.81,148.50,-124.88
1200,-0.96,-0.40,-0.75,14.34,147.28,-160.46
1210,-1.83,-0.55,-0.81,5.43,144.41,-195.56
1220,-2.56,-0.69,-0.74,10.86,101.26,-190.37
1230,-3.18,-0.87,-0.75,18.25,44.80,-165.04
1240,-3.56,-0.89,-0.68,9.77,12.45,-80.38
1250,-3.40,-0.88,-0.55,-7.45,12.39,-3.72
1260,-2.98,-0.82,-0.39,-20.75,8.06,46.63
1270,-2.54,-0.73,-0.27,-20.14,-13.43,69.64
1280,-2.08,-0.61,-0.23,-6.23,-56.64,80.87
1290,-1.78,-0.52,-0.29,5.37,-88.32,88.44
1300,-1.55,-0.47,-0.36,11.54,-108.03,91.25
1310,-1.22,-0.38,-0.35,13.85,-133.18,89.66
1320,-0.97,-0.32,-0.32,14.10,-140.87,86.79
1330,-0.75,-0.25,-0.24,13.24,-140.93,78.98
1340,-0.62,-0.21,-0.17,13.79,-134.77,78.55
1350,-0.47,-0.18,-0.20,14.40,-127.01,88.38
1360,-0.22,-0.08,-0.06,23.50,-114.01,95.03
1370,0.00,0.01,-0.18,25.02,-92.29,82.58
1380,0.11,0.05,-0.20,17.58,-73.61,69.09
1390,0.28,0.10,-0.10,15.08,-60.73,50.29
1400,0.39,0.17,-0.09,18.31,-41.50,19.78
1410,0.41,0.22,-0.13,12.39,-10.01,8.67
1420,0.44,0.25,-0.13,1.10,32.90,11.60
1430,0.44,0.22,-0.15,-11.29,75.07,17.33
1440,0.46,0.16,-0.15,-23.13,119.51,9.34
1450,0.41,0.09,-0.16,-24.60,149.66,-7.81
1460,0.36,0.03,-0.20,-20.87,171.02,-29.79
1470,0.06,-0.13,-0.34,-8.97,183.65,-68.42
1480,-0.20,-0.22,-0.47,2.62,170.23,-102.66
1490,-0.67,-0.33,-0.63,10.25,150.21,-140.87
1500,-1.37,-0.48,-0.79,-1.22,139.95,-189.27
1510,-2.03,-0.65,-0.73,-9.64,125.43,-215.03
1520,-2.88,-0.88,-0.58,2.14,73.30,-210.02
1530,-3.49,-0.95,-0.56,18.31,12.02,-149.35
1540,-3.85,-0.75,-0.65,9.03,6.84,-57.86
1550,-3.41,-1.03,-0.62,-8.79,7.87,18.55
1560,-2.80,-0.79,-0.36,-22.77,2.81,56.82
1570,-2.39,-0.75,-0.24,-11.17,-38.76,83.98
1580,-2.04,-0.65,-0.32,5.13,-73.55,89.97
1590,-1.70,-0.53,-0.52,13.55,-109.37,101.56
1600,-1.41,-0.45,-0.55,7.02,-120.42,107.30
1610,-1.16,-0.39,-0.45,0.49,-126.16,111.76
1620,-0.92,-0.34,-0.32,0.00,-130.98,113.22
1630,-0.63,-0.27,-0.17,12.82,-141.05,110.78
1640,-0.46,-0.20,-0.22,22.46,-142.33,116.76
1650,-0.17,-0.08,-0.18,23.25,-123.54,108.28
1660,0.11,-0.02,-0.13,24.17,-103.70,86.55
1670,0.23,0.06,-0.14,20.81,-90.39,61.89
1680,0.34,0.11,-0.02,21.85,-78.43,39.00
1690,0.51,0.13,0.03,30.09,-77.03,11.29
1700,0.48,0.16,-0.06,35.10,-50.17,-12.33
1710,0.37,0.15,-0.16,21.42,-6.77,-11.35
1720,0.27,0.14,-0.22,-6.84,70.62,11.17
1730,0.36,0.16,-0.26,-23.62,116.09,25.76
1740,0.44,0.15,-0.29,-35.28,150.88,21.79
1750,0.37,0.05,-0.36,-37.05,177.00,-16.17
1760,0.11,-0.09,-0.43,-30.33,187.19,-56.58
1770,-0.29,-0.21,-0.54,-18.37,181.76,-98.27
1780,-0.76,-0.27,-0.65,0.12,154.60,-134.40
1790,-1.11,-0.34,-0.75,4.03,132.20,-148.74
1800,-1.43,-0.39,-0.74,-4.88,127.69,-162.90
1810,-1.82,-0.47,-0.58,-9.70,113.53,-167.24
1820,-2.35,-0.66,-0.38,0.85,60.91,-159.42
1830,-2.77,-0.76,-0.33,12.82,13.12,-141.60
1840,-3.08,-0.85,-0.37,9.09,-3.23,-103.94
1850,-3.20,-0.81,-0.28,-4.52,10.01,-34.85
1860,-2.97,-0.87,-0.31,-7.69,3.97,18.25
1870,-2.63,-0.74,-0.29,-3.78,-18.86,41.63
1880,-2.23,-0.67,-0.33,11.84,-64.33,62.01
1890,-2.01,-0.61,-0.46,22.09,-95.28,68.36
1900,-1.82,-0.56,-0.57,22.64,-113.34,81.54
1910,-1.42,-0.47,-0.62,7.87,-104.80,117.31
1920,-1.03,-0.40,-0.54,-5.00,-99.37,139.16
1930,-0.67,-0.32,-0.37,-8.91,-102.36,140.69
1940,-0.28,-0.21,-0.25,1.53,-115.17,124.27
