timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.04,0.30,0.46,-58.96,103.94,52.73
10,0.66,0.27,0.16,-100.04,78.92,116.46
20,0.29,0.20,-0.29,-120.00,76.23,143.07
30,-0.14,0.11,-0.81,-119.81,101.01,153.93
40,-0.52,0.03,-0.85,-98.39,147.58,154.48
50,-1.05,-0.09,-0.92,-96.62,158.87,155.27
60,-1.51,-0.11,-1.00,-92.71,121.28,175.23
70,-2.48,-0.19,-1.37,-78.49,32.23,222.11
80,-3.41,-0.27,-1.57,-35.10,-2.87,212.28
90,-4.05,-0.31,-1.30,13.85,1.83,164.61
100,-4.23,-0.30,-0.94,35.46,2.81,82.03
110,-3.83,-0.23,-0.77,31.86,-11.66,-21.85
120,-3.26,-0.17,-0.78,34.36,-22.95,-76.54
130,-2.65,-0.10,-0.75,42.97,-29.48,-115.54
140,-1.93,-0.05,-0.65,47.97,-48.40,-143.74
150,-1.40,-0.02,-0.68,48.58,-77.27,-146.73
160,-1.05,-0.01,-0.77,57.07,-127.62,-120.79
170,-1.12,-0.04,-0.66,65.80,-153.38,-106.26
180,-0.96,0.01,-0.64,78.98,-172.24,-111.08
190,-0.75,0.06,-0.43,74.22,-142.88,-134.22
200,-0.41,0.12,-0.39,65.12,-109.68,-157.35
210,0.01,0.17,-0.37,63.78,-87.95,-171.75
220,0.53,0.25,-0.17,68.48,-69.40,-163.45
230,0.76,0.31,0.05,72.45,-62.93,-149.41
240,1.00,0.37,0.27,68.12,-53.16,-122.19
250,1.05,0.35,0.51,37.66,-36.99,-78.12
260,1.11,0.28,0.39,-21.55,0.31,-15.81
270,1.03,0.21,0.20,-45.78,35.03,22.52
280,1.00,0.18,0.07,-57.74,73.79,45.59
290,1.02,0.21,0.03,-67.57,117.00,76.54
300,0.88,0.23,0.02,-82.34,142.03,109.86
310,0.53,0.20,-0.17,-104.80,164.31,136.84
320,0.12,0.15,-0.72,-130.37,185.61,155.94
330,-0.24,0.11,-1.12,-129.64,184.94,178.16
340,-0.87,0.08,-1.29,-114.93,145.02,213.93
350,-1.86,0.06,-1.37,-72.20,87.46,243.65
360,-2.76,-0.01,-1.22,-45.17,58.53,256.29
370,-3.46,-0.17,-1.25,-27.47,44.07,218.75
380,-3.76,-0.23,-1.21,-7.26,53.71,120.48
390,-3.56,-0.17,-1.03,11.29,38.15,58.17
400,-3.38,-0.08,-0.73,27.40,-9.22,31.49
410,-3.40,-0.08,-0.48,30.64,-74.52,-8.30
420,-3.08,-0.06,-0.42,21.67,-72.39,-65.86
430,-2.51,-0.00,-0.52,11.84,-55.24,-116.03
440,-1.90,0.03,-0.58,10.44,-58.59,-143.74
450,-1.32,0.01,-0.74,14.16,-96.92,-141.05
460,-1.09,-0.02,-0.78,25.45,-130.74,-125.00
470,-1.03,-0.06,-0.71,37.90,-162.84,-119.75
480,-0.79,-0.02,-0.58,45.41,-157.65,-131.29
490,-0.54,0.02,-0.49,38.82,-134.46,-142.27
500,-0.22,0.06,-0.49,31.13,-100.16,-151.92
510,0.13,0.11,-0.37,41.50,-81.85,-144.17
520,0.39,0.16,-0.17,43.27,-76.54,-132.75
