timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.68,-0.41,-0.17,32.29,-114.14,85.33
10,-0.46,-0.31,-0.13,36.07,-111.82,82.82
20,-0.24,-0.18,-0.13,36.56,-102.11,86.67
30,-0.05,-0.05,-0.05,24.54,-79.65,75.20
40,0.07,-0.01,0.02,22.16,-69.40,72.69
50,0.20,0.03,0.03,20.75,-55.79,55.48
60,0.32,0.14,0.10,21.48,-38.64,26.31
70,0.37,0.16,0.08,22.03,-19.35,11.66
80,0.35,0.21,-0.04,11.78,10.01,2.69
90,0.38,0.30,-0.24,-22.95,56.09,14.95
100,0.31,0.29,-0.23,-49.93,76.35,15.81
110,0.44,0.23,-0.28,-61.10,90.03,8.12
120,0.21,0.02,-0.18,-52.37,116.52,-36.50
130,-0.08,-0.12,-0.24,-38.39,137.08,-71.84
140,-0.51,-0.34,-0.44,-27.71,142.15,-103.70
150,-1.01,-0.53,-0.61,-26.06,131.65,-133.18
160,-1.53,-0.73,-0.54,-25.70,105.35,-153.93
170,-1.98,-0.87,-0.45,-19.23,79.83,-153.87
180,-2.43,-1.10,-0.32,-8.91,51.21,-130.43
190,-2.76,-1.23,-0.18,-2.44,33.20,-70.68
200,-2.87,-1.14,-0.14,-3.72,28.99,-21.61
210,-2.67,-1.28,-0.14,-5.31,13.55,27.65
220,-2.39,-1.07,-0.05,-6.04,-2.75,33.51
230,-2.09,-1.00,-0.03,13.12,-38.94,52.80
240,-1.83,-0.88,-0.12,28.63,-61.58,59.51
250,-1.49,-0.71,-0.25,32.17,-72.88,69.34
260,-1.27,-0.60,-0.28,28.02,-72.88,75.93
270,-1.03,-0.46,-0.25,26.06,-74.22,82.64
280,-0.75,-0.33,-0.20,28.81,-83.56,85.63
290,-0.55,-0.26,-0.17,31.56,-86.67,83.25
300,-0.40,-0.20,-0.13,35.10,-88.62,77.51
310,-0.24,-0.12,-0.17,31.43,-76.11,72.14
320,-0.07,-0.03,-0.14,19.47,-56.27,62.01
330,0.01,0.00,-0.09,15.14,-47.67,58.35
340,0.20,0.09,-0.08,11.90,-34.85,35.10
350,0.28,0.13,-0.02,13.85,-26.55,17.76
360,0.33,0.16,-0.04,14.77,-11.60,5.43
370,0.25,0.10,-0.11,-0.06,28.93,-2.20
380,0.20,0.08,-0.11,-14.59,58.96,-0.12
390,0.22,0.08,-0.12,-25.09,86.55,1.83
400,0.20,0.13,-0.11,-27.83,116.33,-11.84
410,0.04,0.08,-0.18,-22.83,131.23,-37.11
420,-0.31,-0.07,-0.37,-18.98,136.96,-76.84
430,-0.76,-0.29,-0.60,-22.40,130.62,-111.88
440,-1.36,-0.56,-0.69,-28.63,108.58,-151.37
450,-1.93,-0.88,-0.69,-26.92,80.26,-170.72
460,-2.44,-1.14,-0.61,-21.55,41.63,-171.51
470,-2.77,-1.36,-0.33,-17.58,5.55,-111.15
480,-2.80,-1.48,-0.13,-12.45,-5.92,-45.53
490,-2.61,-1.37,-0.05,-6.84,-8.12,24.48
500,-2.18,-1.12,-0.03,-9.03,-3.66,44.13
510,-1.96,-1.00,0.02,4.64,-27.47,63.96
520,-1.70,-0.85,-0.06,23.50,-54.99,71.17
530,-1.53,-0.71,-0.24,32.23,-73.73,67.87
540,-1.33,-0.59,-0.26,33.81,-85.08,71.96
550,-1.12,-0.51,-0.26,35.77,-93.20,78.67
560,-0.85,-0.40,-0.23,38.82,-99.61,82.34
570,-0.64,-0.30,-0.23,38.94,-103.70,80.14
580,-0.51,-0.27,-0.17,36.99,-99.55,78.67
590,-0.34,-0.19,-0.13,32.04,-88.87,81.30
600,-0.09,-0.10,-0.01,22.09,-65.43,75.68
610,0.11,-0.05,0.03,31.07,-62.93,75.01
620,0.31,0.07,0.00,32.53,-37.78,43.95
630,0.38,0.13,0.03,34.55,-26.79,20.02
640,0.45,0.20,-0.01,30.33,-5.86,7.57
650,0.48,0.26,-0.06,7.02,47.97,4.03
660,0.48,0.29,-0.10,-11.78,88.13,1.04
670,0.41,0.25,-0.17,-24.78,114.26,-12.82
680,0.18,0.12,-0.28,-34.79,133.54,-52.00
690,-0.07,0.00,-0.39,-37.84,143.98,-84.35
700,-0.45,-0.21,-0.52,-38.88,143.07,-121.58
710,-1.26,-0.54,-0.58,-35.34,129.58,-179.38
720,-1.76,-0.76,-0.61,-26.12,103.76,-185.91
730,-2.18,-0.94,-0.63,-21.18,76.48,-175.78
740,-2.62,-1.21,-0.49,-16.78,30.76,-116.03
750,-2.75,-1.33,-0.29,-16.36,6.29,-68.73
760,-2.70,-1.35,-0.15,-17.27,-5.80,-19.90
770,-2.48,-1.29,-0.03,-17.09,-13.37,21.36
780,-2.07,-1.12,0.07,-3.72,-24.11,58.35
790,-1.79,-0.99,-0.03,11.72,-38.64,76.11
800,-1.56,-0.88,-0.14,23.68,-55.42,84.66
810,-1.32,-0.74,-0.26,35.40,-82.34,82.95
820,-1.14,-0.63,-0.28,40.53,-97.17,76.84
830,-1.03,-0.55,-0.27,42.66,-102.11,72.33
840,-0.82,-0.40,-0.17,45.72,-97.29,81.97
850,-0.61,-0.27,-0.16,49.01,-92.10,90.27
860,-0.40,-0.15,-0.18,44.80,-79.83,91.19
870,-0.16,-0.00,-0.17,40.04,-74.52,88.62
880,-0.03,0.11,-0.16,27.59,-62.07,76.78
890,0.18,0.16,-0.08,18.01,-54.81,53.83
900,0.29,0.23,-0.01,12.39,-39.67,24.05
910,0.41,0.31,0.07,12.88,-24.05,-1.46
920,0.50,0.37,0.04,1.83,9.46,-0.61
930,0.59,0.37,-0.01,-29.66,70.62,5.31
940,0.67,0.28,-0.08,-52.00,110.84,-3.48
950,0.49,0.08,-0.11,-62.87,136.23,-34.48
960,0.26,-0.10,-0.15,-61.10,159.97,-68.97
970,-0.15,-0.30,-0.43,-44.86,174.32,-109.62
980,-0.72,-0.58,-0.67,-35.10,170.17,-144.90
990,-1.43,-0.84,-0.85,-27.53,146.73,-187.81
1000,-2.53,-1.20,-0.85,-13.24,81.60,-211.98
1010,-3.09,-1.39,-0.69,-7.75,19.04,-163.88
1020,-3.15,-1.52,-0.37,-14.16,1.95,-81.54
1030,-3.38,-1.62,-0.22,-28.20,21.55,54.69
1040,-2.54,-1.15,-0.13,-40.89,31.86,80.99
1050,-2.19,-1.01,0.00,-20.08,-13.24,105.83
1060,-1.78,-0.87,-0.07,8.00,-59.45,108.46
1070,-1.46,-0.69,-0.25,21.79,-85.33,96.86
1080,-1.28,-0.65,-0.27,22.52,-94.24,94.18
1090,-1.08,-0.54,-0.22,23.32,-96.74,89.72
1100,-0.83,-0.42,-0.18,31.07,-103.70,87.52
1110,-0.69,-0.33,-0.13,37.05,-106.63,84.78
1120,-0.39,-0.19,-0.18,37.60,-103.39,86.00
1130,-0.21,-0.11,-0.15,27.22,-81.30,81.05
1140,-0.07,-0.04,-0.07,25.51,-70.92,77.88
1150,0.06,-0.02,-0.06,25.76,-59.69,65.43
1160,0.15,0.04,-0.04,24.66,-43.46,36.56
1170,0.19,0.08,-0.03,28.08,-32.71,7.02
1180,0.17,0.09,-0.10,20.45,-9.34,-5.68
1190,0.16,0.11,-0.11,-4.03,37.96,-4.94
1200,0.17,0.08,-0.08,-16.85,67.38,-1.40
1210,0.15,0.04,-0.09,-19.96,89.11,-8.42
1220,0.08,-0.00,-0.15,-15.44,102.78,-20.94
1230,-0.07,-0.08,-0.29,-7.20,106.81,-42.60
1240,-0.24,-0.18,-0.41,-10.68,108.46,-66.10
1250,-0.63,-0.34,-0.43,-21.12,127.20,-93.14
1260,-0.94,-0.41,-0.44,-22.52,131.53,-109.31
1270,-1.35,-0.51,-0.43,-16.72,124.57,-123.78
1280,-1.95,-0.66,-0.49,1.89,88.20,-123.05
1290,-2.36,-0.78,-0.50,10.31,54.32,-110.90
1300,-2.67,-0.93,-0.48,9.52,23.38,-80.75
1310,-2.78,-1.00,-0.45,1.40,5.31,-44.13
1320,-2.60,-0.95,-0.33,-11.78,-8.79,12.39
1330,-2.30,-0.88,-0.24,-15.93,-23.80,41.87
1340,-2.00,-0.80,-0.20,-13.12,-42.24,55.54
1350,-1.69,-0.72,-0.18,-0.61,-71.35,59.08
1360,-1.56,-0.68,-0.23,11.96,-92.53,60.85
1370,-1.39,-0.63,-0.28,18.74,-106.93,69.15
1380,-1.09,-0.51,-0.23,22.83,-115.60,78.43
1390,-0.82,-0.40,-0.17,26.12,-115.97,86.79
1400,-0.59,-0.31,-0.15,28.56,-110.47,87.83
1410,-0.35,-0.18,-0.17,28.99,-98.57,85.45
1420,-0.16,-0.07,-0.13,21.79,-87.95,75.07
1430,-0.03,-0.02,-0.09,17.46,-75.74,65.86
1440,0.13,-0.00,-0.06,11.05,-60.79,47.36
1450,0.22,0.03,0.03,8.61,-38.82,12.51
1460,0.28,0.07,0.05,14.95,-27.59,-4.94
1470,0.32,0.12,-0.02,12.15,8.06,-8.48
1480,0.31,0.12,-0.08,-3.85,46.75,-2.75
1490,0.32,0.11,-0.12,-23.38,88.87,0.06
1500,0.25,0.08,-0.16,-31.74,113.53,-6.47
1510,0.13,-0.02,-0.25,-36.32,128.60,-30.58
1520,-0.07,-0.13,-0.32,-37.48,140.87,-64.39
1530,-0.38,-0.25,-0.39,-35.52,153.08,-94.54
1540,-0.89,-0.45,-0.51,-27.34,139.40,-132.32
1550,-1.43,-0.70,-0.53,-20.81,119.93,-166.14
1560,-1.93,-0.83,-0.53,-13.43,90.27,-181.21
1570,-2.56,-1.07,-0.47,-3.42,51.33,-144.59
1580,-2.76,-1.13,-0.45,-2.93,28.50,-87.65
1590,-2.78,-1.17,-0.41,-9.95,18.01,-31.31
1600,-2.58,-1.11,-0.29,-15.87,-0.12,20.08
1610,-2.29,-1.01,-0.19,-9.34,-22.09,43.82
1620,-2.02,-0.92,-0.13,5.13,-49.87,59.57
1630,-1.69,-0.79,-0.20,19.71,-75.62,74.58
1640,-1.48,-0.69,-0.28,23.56,-83.92,83.19
1650,-1.26,-0.59,-0.31,24.54,-91.43,90.27
1660,-0.99,-0.48,-0.29,27.40,-102.48,91.13
1670,-0.78,-0.39,-0.25,32.04,-109.13,92.71
1680,-0.57,-0.31,-0.23,32.96,-107.85,90.52
1690,-0.39,-0.23,-0.20,27.34,-95.46,88.68
1700,-0.17,-0.11,-0.11,19.71,-78.06,84.05
1710,0.02,-0.04,-0.08,20.20,-67.20,81.18
1720,0.27,0.05,-0.06,20.02,-50.42,57.25
1730,0.39,0.14,-0.02,17.88,-37.48,29.48
1740,0.44,0.17,0.01,15.44,-22.52,9.34
1750,0.39,0.18,-0.07,-1.83,28.32,0.67
1760,0.42,0.22,-0.12,-21.00,74.83,11.11
