timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.62,-1.63,-0.02,-1.34,25.63,27.16
10,-2.27,-1.48,-0.17,-6.41,14.40,14.77
20,-2.21,-1.22,-0.21,-11.17,-9.70,-2.38
30,-1.86,-1.17,-0.12,10.62,-50.78,26.98
40,-1.62,-1.11,-0.12,28.99,-75.26,37.90
50,-1.35,-1.02,-0.09,43.15,-89.66,39.73
60,-1.23,-0.97,-0.10,48.71,-89.23,48.34
70,-1.12,-0.94,-0.11,54.63,-84.29,70.86
80,-0.98,-0.88,-0.15,59.88,-78.37,97.05
90,-0.77,-0.73,-0.21,59.63,-65.67,122.56
100,-0.57,-0.55,-0.23,56.95,-59.75,131.23
110,-0.40,-0.42,-0.22,55.24,-58.17,130.37
120,-0.18,-0.21,-0.21,57.13,-59.88,119.93
130,-0.03,-0.06,-0.23,50.66,-50.23,109.62
140,0.13,0.11,-0.12,49.93,-46.45,98.14
150,0.36,0.34,-0.16,44.86,-35.89,62.99
160,0.53,0.52,-0.16,29.48,-19.71,36.56
170,0.59,0.62,-0.14,8.24,-0.43,13.37
180,0.66,0.52,-0.16,-18.01,22.46,-16.85
190,0.56,0.27,-0.13,-38.82,45.17,-48.10
200,0.36,-0.01,-0.07,-51.64,71.72,-76.35
210,0.00,-0.32,-0.12,-61.58,117.19,-101.14
220,-0.30,-0.45,-0.26,-63.42,140.14,-109.99
230,-0.66,-0.63,-0.39,-61.16,141.97,-120.97
240,-1.09,-0.88,-0.48,-58.17,123.17,-160.16
250,-1.80,-1.15,-0.36,-41.93,88.75,-183.17
260,-2.18,-1.27,-0.27,-21.67,45.90,-164.86
270,-2.51,-1.46,-0.16,-3.42,8.00,-89.54
280,-2.46,-1.31,-0.02,-11.41,8.91,-53.59
290,-2.63,-1.62,0.05,-8.73,-0.49,16.72
300,-2.35,-1.45,0.12,-12.39,-9.52,9.28
310,-2.09,-1.28,0.26,0.98,-34.12,34.97
320,-1.76,-1.16,0.26,28.20,-59.63,63.60
330,-1.51,-1.03,0.11,42.72,-69.58,72.88
340,-1.27,-0.90,-0.01,42.66,-72.33,68.97
350,-1.12,-0.82,-0.02,41.87,-69.70,77.09
360,-0.96,-0.75,-0.04,49.07,-71.53,93.32
370,-0.77,-0.65,-0.11,59.33,-74.77,99.85
380,-0.60,-0.53,-0.16,62.87,-75.81,103.52
390,-0.42,-0.40,-0.24,62.44,-67.57,108.89
