timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.10,-0.57,-0.53,-53.53,150.39,-137.45
10,-1.65,-0.77,-0.44,-49.99,141.72,-159.67
20,-2.28,-0.90,-0.44,-13.67,94.06,-135.62
30,-2.73,-1.05,-0.57,2.50,56.21,-106.51
40,-3.05,-1.16,-0.57,-2.93,22.03,-54.81
50,-2.95,-1.14,-0.56,-13.98,2.56,-6.35
60,-2.65,-1.09,-0.43,-20.14,-16.24,32.35
70,-2.27,-1.00,-0.30,-14.77,-43.76,52.49
80,-1.85,-0.89,-0.25,2.99,-74.40,62.74
90,-1.58,-0.79,-0.29,13.43,-86.98,73.00
100,-1.32,-0.69,-0.32,17.40,-91.00,85.51
110,-0.95,-0.53,-0.33,18.86,-97.60,93.14
120,-0.71,-0.42,-0.24,21.30,-101.62,88.75
130,-0.52,-0.32,-0.18,25.45,-106.75,80.69
140,-0.34,-0.24,-0.18,24.17,-99.61,75.50
150,-0.13,-0.14,-0.06,27.59,-88.50,74.22
160,0.01,-0.04,-0.03,28.69,-73.55,70.25
170,0.18,0.02,-0.03,27.71,-61.10,60.55
180,0.35,0.16,-0.09,15.81,-29.60,33.14
190,0.39,0.21,-0.09,4.52,-5.49,17.21
200,0.49,0.27,-0.06,-5.13,20.57,10.62
210,0.46,0.22,-0.02,-9.46,46.45,3.97
220,0.38,0.13,-0.08,-15.63,82.09,-16.24
230,0.25,0.06,-0.16,-21.48,109.19,-31.25
240,0.07,-0.06,-0.25,-28.26,128.78,-46.88
250,-0.21,-0.19,-0.33,-31.49,142.52,-68.18
260,-0.51,-0.30,-0.37,-23.99,137.21,-87.04
270,-0.85,-0.46,-0.48,-13.31,118.10,-118.84
280,-1.53,-0.73,-0.57,-4.09,93.99,-158.51
290,-2.16,-0.94,-0.57,5.00,66.77,-156.98
300,-2.60,-1.11,-0.54,11.60,29.85,-132.45
310,-2.91,-1.27,-0.46,13.67,-0.55,-66.35
320,-2.97,-1.21,-0.46,4.52,3.36,-5.25
330,-2.55,-1.15,-0.34,-4.94,2.26,26.98
340,-2.35,-0.98,-0.22,-8.18,-2.20,49.50
350,-1.81,-0.83,-0.18,11.54,-44.62,68.05
360,-1.58,-0.72,-0.22,23.62,-65.55,63.48
370,-1.37,-0.64,-0.26,29.24,-77.39,64.51
380,-1.11,-0.52,-0.26,32.47,-80.08,73.91
390,-0.92,-0.43,-0.27,31.74,-77.39,82.34
400,-0.77,-0.37,-0.24,32.23,-85.69,79.83
410,-0.66,-0.32,-0.18,34.61,-94.79,70.13
420,-0.54,-0.23,-0.14,42.05,-100.59,68.12
430,-0.39,-0.18,-0.14,40.53,-89.72,72.57
440,-0.26,-0.07,-0.15,31.01,-65.37,73.61
450,-0.13,-0.01,-0.12,22.71,-46.26,77.94
460,0.04,0.07,-0.12,15.38,-28.14,69.15
470,0.20,0.19,-0.13,8.18,-2.50,54.75
480,0.37,0.31,-0.12,2.50,22.95,53.22
490,0.50,0.38,-0.20,-2.99,41.50,46.51
500,0.45,0.33,-0.35,-24.05,71.17,17.58
510,0.40,0.28,-0.40,-46.75,93.08,-4.82
520,0.31,0.13,-0.38,-64.76,111.15,-30.76
530,0.12,-0.06,-0.35,-69.21,121.58,-63.23
540,-0.33,-0.33,-0.39,-60.49,131.77,-108.22
550,-0.76,-0.51,-0.38,-43.09,122.19,-131.59
560,-1.21,-0.70,-0.46,-28.38,100.59,-154.48
