timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.27,0.22,-0.15,13.24,-43.76,52.73
10,0.33,0.20,-0.11,10.62,-36.62,26.92
20,0.33,0.24,-0.08,6.10,-8.48,7.26
30,0.34,0.23,-0.13,-8.97,22.83,3.66
40,0.33,0.17,-0.14,-31.62,60.85,-4.27
50,0.22,0.10,-0.10,-49.07,93.75,-21.06
60,0.21,0.03,-0.16,-46.75,107.97,-30.70
70,0.08,-0.05,-0.25,-41.44,115.36,-53.10
80,-0.26,-0.28,-0.41,-40.34,115.97,-96.19
90,-0.68,-0.51,-0.49,-46.14,125.24,-134.95
100,-1.26,-0.76,-0.37,-41.87,121.89,-175.11
110,-2.04,-1.01,-0.34,-8.48,77.15,-172.73
120,-2.57,-1.21,-0.39,-6.84,60.24,-150.57
130,-2.98,-1.48,-0.33,-13.92,42.05,-107.42
140,-3.18,-1.58,-0.15,-13.67,11.54,2.08
150,-2.80,-1.44,-0.11,-17.27,-12.15,-3.17
160,-2.73,-1.31,-0.07,-8.67,-33.75,17.70
170,-2.23,-1.21,-0.06,15.38,-72.57,61.95
180,-1.70,-1.00,-0.22,28.75,-86.79,83.74
190,-1.37,-0.86,-0.29,30.27,-92.41,91.98
200,-1.09,-0.71,-0.32,33.20,-100.22,97.78
210,-0.75,-0.57,-0.26,41.93,-115.60,102.54
220,-0.56,-0.47,-0.22,50.48,-122.50,98.75
230,-0.35,-0.32,-0.23,55.42,-120.97,100.04
240,-0.11,-0.20,-0.32,44.98,-102.48,101.62
250,0.08,0.01,-0.11,36.44,-83.01,90.45
260,0.35,0.19,-0.16,33.87,-68.85,69.64
270,0.46,0.34,-0.14,21.36,-39.37,46.51
280,0.63,0.48,-0.09,6.47,-15.38,20.81
290,0.64,0.49,-0.08,-5.37,8.73,7.75
300,0.58,0.41,-0.08,-25.82,50.48,0.24
310,0.55,0.33,-0.10,-43.46,87.71,-8.48
320,0.44,0.21,-0.13,-57.68,121.09,-26.67
330,0.30,0.06,-0.19,-64.21,142.09,-51.39
340,-0.03,-0.16,-0.24,-63.29,170.29,-93.63
350,-0.37,-0.37,-0.31,-55.54,180.24,-130.07
360,-0.90,-0.68,-0.50,-44.49,169.31,-173.95
370,-1.80,-1.11,-0.57,-24.84,130.37,-220.09
380,-2.38,-1.31,-0.61,-8.73,89.29,-206.05
390,-3.00,-1.67,-0.57,6.10,34.36,-159.24
