timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.80,-0.82,-0.17,9.77,-75.87,68.05
10,-1.60,-0.77,-0.21,15.01,-83.98,68.30
20,-1.41,-0.68,-0.27,20.02,-91.86,70.37
30,-1.29,-0.60,-0.36,20.20,-93.14,74.40
40,-1.11,-0.50,-0.38,20.39,-101.44,83.68
50,-0.82,-0.39,-0.33,19.59,-109.74,84.05
60,-0.60,-0.30,-0.29,20.39,-112.24,82.09
70,-0.38,-0.21,-0.21,19.29,-107.79,80.81
80,-0.10,-0.08,-0.22,11.17,-89.48,80.08
90,0.12,0.04,0.00,7.63,-73.97,68.66
100,0.32,0.07,-0.01,14.71,-66.35,49.80
110,0.50,0.23,-0.03,9.28,-31.49,23.19
120,0.66,0.28,0.02,5.80,-10.44,11.05
130,0.74,0.31,-0.02,1.46,15.99,-1.71
140,0.70,0.27,-0.08,-11.47,52.49,-9.03
150,0.73,0.21,-0.17,-29.42,94.85,-19.23
160,0.63,0.04,-0.18,-32.41,122.99,-41.44
170,0.35,-0.14,-0.14,-20.08,135.07,-86.12
180,-0.27,-0.42,-0.31,-6.47,157.71,-139.40
190,-0.93,-0.62,-0.53,-10.62,185.73,-155.33
200,-1.65,-0.89,-0.73,-10.44,189.70,-166.38
210,-2.69,-1.10,-0.82,-2.62,129.33,-156.25
220,-3.17,-1.20,-0.84,-0.92,70.92,-110.66
230,-3.29,-1.29,-0.67,-7.14,31.74,-38.64
240,-2.98,-1.23,-0.35,-18.80,10.80,34.55
250,-2.57,-1.09,-0.25,-18.92,-10.19,60.06
260,-2.13,-0.93,-0.19,-10.07,-37.48,81.24
270,-1.64,-0.76,-0.18,3.91,-67.69,91.92
280,-1.41,-0.69,-0.23,14.40,-85.75,83.01
290,-1.32,-0.60,-0.26,23.86,-98.82,67.93
300,-1.24,-0.54,-0.32,30.09,-114.81,53.89
310,-1.13,-0.49,-0.32,31.43,-122.86,53.59
320,-0.98,-0.43,-0.29,30.64,-125.24,58.59
330,-0.73,-0.33,-0.25,28.44,-119.69,64.94
340,-0.47,-0.22,-0.22,28.50,-118.84,74.28
350,-0.25,-0.10,-0.20,19.78,-94.79,79.16
360,-0.00,0.05,-0.01,23.25,-86.67,71.78
370,0.25,0.15,-0.08,26.73,-78.98,52.86
380,0.39,0.25,-0.07,16.05,-55.24,29.11
390,0.57,0.34,-0.03,0.92,-31.74,2.08
400,0.75,0.42,-0.09,-13.49,2.93,-0.49
410,0.79,0.41,-0.04,-31.80,54.26,1.22
420,0.83,0.34,-0.09,-36.87,76.60,-6.47
430,0.60,0.06,-0.14,-35.16,96.92,-47.30
440,0.30,-0.19,-0.19,-38.70,120.54,-86.61
450,-0.12,-0.40,-0.25,-43.27,155.46,-114.50
460,-0.70,-0.58,-0.44,-38.27,182.07,-130.80
470,-1.15,-0.68,-0.63,-29.42,171.94,-145.20
480,-1.68,-0.80,-0.78,-21.73,145.57,-159.79
490,-2.43,-0.98,-0.74,-16.66,93.63,-155.15
500,-2.80,-1.14,-0.65,-17.21,54.93,-107.60
510,-2.91,-1.31,-0.51,-24.41,36.80,-52.00
520,-3.00,-1.25,-0.28,-27.28,23.25,9.16
530,-2.49,-1.17,-0.23,-29.79,-11.84,18.37
540,-2.32,-1.08,-0.08,-20.14,-41.02,27.71
550,-1.99,-1.04,-0.02,1.16,-73.49,50.17
560,-1.67,-0.93,-0.11,18.43,-86.98,57.37
570,-1.46,-0.83,-0.15,26.92,-95.64,60.73
580,-1.23,-0.70,-0.20,34.79,-104.19,69.82
590,-0.94,-0.55,-0.20,40.47,-108.15,78.98
600,-0.73,-0.45,-0.19,44.56,-109.99,82.21
610,-0.55,-0.34,-0.18,46.81,-107.67,79.83
620,-0.31,-0.21,-0.19,46.94,-101.14,80.02
630,-0.15,-0.12,-0.17,40.71,-81.85,80.08
640,0.03,-0.01,-0.17,27.16,-54.81,72.57
650,0.23,0.11,-0.06,24.48,-41.44,59.81
660,0.38,0.22,-0.09,18.86,-22.64,38.09
670,0.44,0.29,-0.10,7.81,0.61,19.10
680,0.53,0.35,-0.08,-1.71,25.27,9.83
