timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.15,0.27,0.11,-63.05,116.64,56.03
10,0.82,0.30,-0.04,-83.68,131.84,103.88
20,0.46,0.25,-0.34,-100.16,135.19,131.41
30,0.09,0.18,-0.58,-108.52,166.44,138.06
40,-0.36,0.10,-0.99,-113.34,214.11,136.11
50,-0.77,0.00,-1.12,-106.93,217.35,142.09
60,-1.20,-0.06,-1.27,-103.58,178.41,164.25
70,-1.98,-0.15,-1.49,-77.76,80.14,224.67
80,-2.80,-0.24,-1.62,-47.49,19.10,263.61
90,-3.60,-0.28,-1.54,-3.42,1.65,252.14
100,-4.19,-0.25,-1.09,33.39,5.37,164.55
110,-4.28,-0.23,-0.79,42.66,-5.86,68.60
120,-3.57,-0.09,-0.56,40.95,-14.40,-43.03
130,-2.70,0.02,-0.47,35.71,-19.23,-95.46
140,-2.00,0.07,-0.41,27.16,-55.05,-120.24
150,-1.70,0.05,-0.54,19.29,-91.86,-117.25
160,-1.54,0.01,-0.81,17.46,-126.83,-109.86
170,-1.47,-0.02,-0.86,30.15,-142.15,-114.26
180,-1.30,0.02,-0.76,44.37,-144.90,-133.54
190,-0.95,0.08,-0.49,55.73,-136.11,-155.03
200,-0.49,0.16,-0.29,42.60,-116.58,-174.44
210,-0.01,0.21,-0.32,34.00,-101.87,-182.86
220,0.33,0.20,-0.30,34.67,-93.87,-166.38
230,0.59,0.20,-0.13,39.18,-100.71,-128.05
240,0.75,0.17,-0.04,27.89,-97.05,-91.67
250,0.88,0.15,-0.02,8.79,-77.70,-57.19
260,0.99,0.10,-0.10,-10.01,-28.56,-17.52
270,1.03,0.10,-0.10,-17.27,20.39,7.87
280,1.05,0.15,-0.04,-25.94,74.77,28.02
290,1.05,0.26,0.04,-48.46,122.68,61.58
300,0.89,0.34,0.03,-68.05,113.53,105.65
310,0.71,0.37,-0.14,-83.13,90.52,147.95
320,-0.09,0.29,-0.59,-113.83,118.23,190.25
330,-0.76,0.12,-1.04,-120.61,148.32,197.02
340,-1.46,-0.04,-1.33,-108.52,165.47,189.45
350,-2.10,-0.21,-1.43,-59.45,163.76,155.33
360,-2.31,-0.21,-1.06,-18.68,125.31,139.53
370,-2.62,-0.22,-0.91,-3.78,56.21,157.23
380,-3.53,-0.29,-1.01,3.48,-11.66,178.83
390,-4.17,-0.35,-1.00,22.03,-24.72,130.43
400,-4.23,-0.34,-0.76,37.84,-15.75,22.83
410,-3.28,-0.12,-0.58,37.48,-9.46,-72.57
420,-2.51,-0.01,-0.54,33.51,-47.55,-101.68
430,-2.26,-0.02,-0.69,28.50,-89.84,-102.23
440,-2.11,-0.04,-0.89,30.64,-112.79,-112.30
450,-1.77,0.00,-0.98,44.98,-119.08,-142.03
460,-1.41,0.07,-0.84,55.24,-118.23,-164.31
470,-0.91,0.17,-0.70,74.34,-132.08,-176.51
480,-0.45,0.25,-0.31,73.30,-135.93,-174.32
490,-0.12,0.28,-0.23,57.98,-130.68,-172.67
500,0.18,0.27,-0.27,47.85,-121.77,-160.22
510,0.52,0.28,-0.23,44.01,-108.40,-138.37
520,0.71,0.27,-0.12,43.40,-94.91,-115.72
530,0.94,0.28,0.00,39.31,-79.35,-94.60
540,1.18,0.30,0.21,26.00,-45.90,-46.39
550,1.30,0.32,0.35,2.20,-18.86,-2.81
560,1.30,0.31,0.38,-27.83,9.70,43.40
570,1.20,0.30,0.29,-60.97,52.98,78.86
580,0.84,0.24,-0.06,-98.75,110.96,109.86
590,0.61,0.19,-0.33,-109.56,140.08,116.27
600,0.57,0.19,-0.50,-119.20,176.45,122.13
610,0.15,0.09,-0.88,-128.60,199.28,152.22
620,-0.29,0.02,-1.11,-125.24,193.30,179.32
630,-0.94,-0.01,-1.37,-125.31,157.17,230.77
640,-2.27,0.01,-1.70,-77.33,97.05,286.87
650,-3.26,-0.00,-1.61,-12.27,31.25,292.85
660,-3.93,0.01,-1.11,43.82,-16.24,264.53
670,-4.54,0.01,-0.56,57.92,-26.67,207.28
680,-4.63,-0.05,-0.42,27.34,-9.34,57.62
690,-3.81,0.10,-0.51,19.71,4.21,-61.83
700,-2.95,0.23,-0.31,21.30,-6.77,-114.07
710,-2.34,0.24,-0.28,7.63,-64.21,-130.92
720,-2.10,0.18,-0.68,-4.39,-103.09,-135.07
730,-1.86,0.12,-0.90,4.52,-104.98,-160.58
740,-1.42,0.14,-0.87,15.56,-91.25,-195.50
750,-0.93,0.16,-0.81,23.74,-81.42,-215.64
760,-0.41,0.18,-0.75,45.41,-102.17,-211.00
770,-0.10,0.15,-0.43,50.17,-123.23,-181.34
780,0.16,0.12,-0.46,38.33,-115.30,-163.94
790,0.30,0.09,-0.39,42.05,-110.78,-140.20
800,0.57,0.11,-0.25,47.18,-100.59,-113.28
810,0.74,0.12,-0.09,50.48,-82.95,-90.58
820,0.93,0.14,0.11,50.35,-61.52,-65.92
830,1.10,0.18,0.28,33.57,-28.87,-35.83
840,1.19,0.19,0.32,-13.55,32.04,7.75
850,1.19,0.20,0.16,-37.96,76.48,39.00
860,1.14,0.24,0.16,-46.81,119.45,64.70
870,0.87,0.30,0.13,-71.35,154.42,100.28
880,0.62,0.32,-0.10,-93.51,169.31,121.70
890,0.19,0.28,-0.46,-116.52,183.17,141.48
900,-0.35,0.21,-1.07,-122.68,201.66,157.17
910,-0.99,0.09,-1.32,-125.49,172.55,191.10
920,-1.82,-0.03,-1.67,-111.15,113.71,228.03
930,-2.95,-0.20,-1.88,-53.34,44.49,238.16
940,-3.52,-0.27,-1.59,8.00,8.06,207.82
950,-3.89,-0.25,-1.17,42.05,-20.08,169.07
960,-4.23,-0.20,-0.67,67.02,-41.87,95.28
