timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.56,0.20,-0.25,-44.01,111.02,-10.25
10,0.34,-0.00,-0.32,-49.68,136.84,-32.84
20,0.02,-0.19,-0.38,-47.49,151.06,-65.37
30,-0.52,-0.35,-0.45,-32.90,150.70,-104.49
40,-1.00,-0.50,-0.62,-23.93,137.45,-130.25
50,-1.53,-0.62,-0.64,-28.14,134.89,-154.05
60,-2.24,-0.75,-0.46,-23.86,116.15,-150.63
70,-2.60,-0.88,-0.43,-9.83,74.71,-121.95
80,-2.90,-1.01,-0.38,-2.56,42.97,-86.06
90,-3.03,-1.08,-0.31,-3.85,20.81,-27.04
100,-2.93,-1.10,-0.24,-6.90,5.00,9.22
110,-2.69,-1.03,-0.13,-3.60,-16.36,34.61
120,-2.31,-0.93,-0.14,13.00,-52.98,55.18
130,-2.03,-0.80,-0.20,23.74,-72.88,66.96
140,-1.76,-0.69,-0.30,29.79,-87.65,79.59
150,-1.46,-0.58,-0.40,30.27,-101.56,90.64
160,-1.21,-0.49,-0.38,31.68,-114.69,95.70
170,-0.91,-0.39,-0.35,32.78,-120.12,97.72
180,-0.57,-0.27,-0.30,35.22,-123.05,97.29
190,-0.28,-0.18,-0.37,30.27,-115.17,98.02
200,0.02,-0.04,-0.25,25.21,-101.68,89.48
210,0.22,0.04,-0.23,24.05,-91.92,87.89
220,0.57,0.21,-0.21,13.24,-66.47,53.89
230,0.79,0.39,-0.12,4.70,-40.34,34.85
240,1.04,0.52,-0.11,-3.91,-18.74,21.61
250,1.10,0.49,-0.04,-22.16,31.98,3.54
260,0.97,0.34,0.01,-29.05,68.97,-12.76
270,0.73,0.14,-0.05,-31.56,99.55,-36.56
280,0.29,-0.07,-0.18,-37.48,147.03,-70.43
290,-0.05,-0.18,-0.31,-41.50,181.58,-84.29
300,-0.52,-0.31,-0.48,-39.37,202.45,-104.74
310,-1.10,-0.44,-0.68,-24.66,191.28,-128.11
320,-1.97,-0.62,-0.84,-8.67,143.13,-176.09
