timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.65,-0.80,-0.52,1.04,-3.72,11.23
10,-3.18,-0.72,-0.41,-8.67,-23.13,53.10
20,-2.49,-0.62,-0.28,-6.47,-60.42,90.76
30,-2.03,-0.54,-0.31,0.85,-81.42,108.15
40,-1.64,-0.45,-0.38,5.62,-100.40,116.03
50,-1.25,-0.37,-0.37,6.41,-120.91,114.26
60,-0.98,-0.32,-0.32,9.64,-139.53,110.66
70,-0.68,-0.24,-0.30,15.69,-147.77,103.94
80,-0.45,-0.17,-0.35,15.63,-136.66,103.94
90,-0.23,-0.07,-0.40,8.67,-117.61,108.83
100,0.26,-0.00,-0.26,4.88,-100.95,80.26
110,0.37,0.08,-0.21,5.00,-88.99,56.27
120,0.51,0.06,-0.15,2.50,-78.37,29.05
130,0.59,0.05,-0.02,9.52,-66.53,-11.78
140,0.60,0.05,-0.05,16.05,-42.79,-21.00
150,0.61,0.05,-0.13,14.71,-4.33,-13.79
160,0.70,0.04,-0.22,8.12,42.60,0.79
170,0.81,-0.00,-0.34,-5.31,98.45,4.64
180,0.77,-0.06,-0.33,-16.30,151.55,-6.41
190,0.65,-0.09,-0.29,-13.18,176.39,-26.06
200,0.46,-0.17,-0.53,1.83,176.94,-68.05
210,0.03,-0.29,-0.77,-2.50,203.74,-122.01
220,-0.97,-0.53,-0.63,-7.51,237.61,-174.01
230,-2.15,-0.63,-0.46,12.21,185.55,-212.16
240,-2.99,-0.73,-0.46,31.37,133.12,-182.92
250,-3.64,-0.78,-0.60,36.62,94.79,-146.67
260,-4.34,-0.44,-0.86,24.66,58.41,-43.76
270,-3.81,-0.69,-0.91,11.47,24.11,23.68
280,-3.18,-0.46,-0.76,-5.55,9.58,35.89
290,-2.51,-0.46,-0.63,-20.39,-45.53,76.90
300,-1.94,-0.43,-0.46,-22.16,-75.68,80.51
310,-1.60,-0.42,-0.43,-17.27,-100.89,72.81
320,-1.36,-0.38,-0.46,-13.61,-131.77,60.18
330,-1.25,-0.38,-0.39,-13.61,-141.11,59.75
340,-1.12,-0.39,-0.29,-10.80,-147.03,66.71
350,-0.94,-0.38,-0.16,-2.69,-148.56,73.36
360,-0.76,-0.32,-0.11,6.53,-150.63,80.08
370,-0.55,-0.23,-0.17,13.06,-138.85,94.24
380,-0.24,-0.17,-0.11,12.27,-113.46,93.44
390,0.01,-0.10,-0.11,19.23,-104.86,82.15
400,0.19,0.02,-0.13,25.51,-99.12,67.75
410,0.42,0.09,-0.12,29.66,-81.60,42.66
420,0.51,0.14,-0.26,25.27,-55.54,21.36
430,0.54,0.20,-0.35,9.89,-6.90,17.40
440,0.70,0.24,-0.33,-16.36,63.84,27.40
450,0.82,0.22,-0.26,-26.98,107.79,27.53
460,0.96,0.19,-0.31,-30.40,141.85,15.81
470,0.92,0.05,-0.32,-23.44,183.47,-26.49
480,0.58,-0.17,-0.35,-14.34,192.14,-80.99
490,-0.07,-0.47,-0.44,-6.59,194.82,-145.81
500,-0.96,-0.59,-0.42,0.98,193.97,-198.49
