timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.66,-0.23,-0.29,36.68,-120.48,61.10
10,-0.38,-0.10,-0.26,24.72,-100.16,72.63
20,-0.18,0.03,-0.21,16.66,-78.37,79.90
30,0.06,0.12,-0.15,10.93,-70.68,80.57
40,0.42,0.33,-0.14,2.56,-44.25,58.29
50,0.61,0.41,-0.11,-4.09,-19.53,35.10
60,0.70,0.42,-0.04,-8.85,8.61,-1.46
70,0.64,0.36,-0.07,-12.63,32.23,-16.60
80,0.58,0.25,-0.17,-25.33,67.38,-23.13
90,0.46,0.12,-0.26,-42.66,111.21,-33.63
100,0.26,-0.02,-0.24,-55.30,143.07,-47.30
110,-0.24,-0.26,-0.19,-52.73,168.46,-78.06
120,-0.61,-0.31,-0.26,-37.23,168.15,-92.10
130,-1.18,-0.52,-0.46,-21.48,152.22,-107.79
140,-1.71,-0.65,-0.54,-17.33,136.72,-120.97
150,-2.19,-0.80,-0.59,-10.01,106.02,-114.07
160,-2.56,-0.90,-0.61,-0.85,64.03,-85.88
170,-2.77,-1.06,-0.55,1.95,17.70,-38.82
180,-2.81,-1.10,-0.44,-0.85,-4.33,-10.13
190,-2.72,-1.13,-0.35,-1.83,-29.24,16.97
200,-2.35,-1.03,-0.17,6.84,-57.01,49.68
210,-2.00,-0.90,-0.15,19.71,-75.81,67.44
220,-1.74,-0.78,-0.14,31.19,-92.59,75.38
230,-1.46,-0.63,-0.19,45.17,-113.46,74.16
240,-1.25,-0.50,-0.21,49.62,-123.29,76.97
250,-1.01,-0.38,-0.20,50.17,-128.23,79.41
260,-0.76,-0.26,-0.18,48.03,-122.50,79.59
270,-0.43,-0.07,-0.17,46.57,-105.77,81.67
280,-0.19,0.08,-0.21,43.64,-91.80,78.92
290,0.11,0.20,-0.21,29.79,-74.95,63.54
300,0.30,0.27,-0.13,16.60,-56.88,36.01
310,0.43,0.35,-0.08,11.96,-41.38,15.14
320,0.65,0.44,-0.14,4.27,-8.18,3.05
330,0.73,0.42,-0.25,-12.57,28.99,-1.77
340,0.69,0.29,-0.26,-34.24,65.31,-11.29
350,0.52,0.07,-0.19,-50.29,100.52,-37.54
360,0.31,-0.06,-0.16,-49.44,122.62,-54.69
370,0.15,-0.13,-0.27,-43.82,145.81,-62.13
380,-0.30,-0.26,-0.48,-45.41,177.43,-82.15
390,-0.67,-0.37,-0.63,-47.85,180.30,-99.24
400,-1.16,-0.48,-0.63,-44.62,169.37,-122.74
410,-1.70,-0.59,-0.67,-31.92,141.30,-133.42
420,-2.44,-0.88,-0.65,-17.09,93.63,-121.46
430,-2.86,-1.07,-0.54,-10.38,54.14,-101.26
440,-3.06,-1.23,-0.46,-6.77,12.94,-68.24
450,-3.05,-1.31,-0.29,-10.50,-17.09,-16.54
460,-2.77,-1.26,-0.16,-8.06,-37.29,24.11
470,-2.36,-1.14,-0.06,0.67,-56.52,50.84
480,-1.90,-0.97,-0.05,19.53,-81.91,66.28
490,-1.65,-0.85,-0.09,35.95,-96.86,73.91
500,-1.44,-0.73,-0.19,48.16,-112.30,81.30
510,-1.13,-0.58,-0.27,53.22,-122.74,89.29
520,-0.90,-0.44,-0.27,52.86,-119.38,93.57
530,-0.67,-0.31,-0.27,51.64,-114.56,93.93
540,-0.46,-0.19,-0.28,52.61,-106.81,92.90
550,-0.23,-0.03,-0.33,49.01,-89.29,89.42
560,-0.07,0.09,-0.31,42.54,-84.96,80.32
570,0.05,0.12,-0.25,36.13,-76.29,74.04
580,0.25,0.23,-0.20,24.11,-53.47,38.15
590,0.26,0.24,-0.15,18.25,-40.83,12.08
600,0.31,0.25,-0.17,6.16,-14.89,-10.38
610,0.24,0.23,-0.14,-5.19,18.62,-11.96
620,0.20,0.20,-0.13,-17.76,53.53,0.18
630,0.25,0.20,-0.15,-32.53,98.75,11.23
640,0.25,0.19,-0.16,-38.57,127.26,3.17
650,0.16,0.11,-0.24,-41.32,148.13,-21.36
660,-0.13,-0.06,-0.36,-38.15,157.65,-70.68
670,-0.51,-0.25,-0.38,-27.71,144.90,-113.34
680,-0.86,-0.38,-0.51,-20.94,127.50,-149.84
690,-1.23,-0.53,-0.63,-25.45,116.76,-169.01
700,-1.90,-0.86,-0.64,-36.99,65.19,-190.31
710,-2.49,-1.24,-0.41,-34.30,14.10,-189.33
720,-2.92,-1.43,-0.17,-21.36,-14.28,-155.52
730,-3.36,-1.56,-0.04,-6.59,-9.58,-23.56
740,-2.76,-1.50,-0.06,-9.34,-9.46,29.60
750,-2.55,-1.23,0.03,-12.45,-5.80,50.11
760,-2.16,-1.10,0.12,8.36,-39.49,86.18
770,-1.69,-0.83,-0.04,35.16,-68.97,95.95
780,-1.45,-0.69,-0.13,43.03,-78.86,100.46
790,-1.20,-0.55,-0.17,46.45,-87.04,105.65
800,-1.00,-0.45,-0.19,49.68,-88.87,114.93
810,-0.83,-0.37,-0.22,51.51,-86.30,119.08
820,-0.65,-0.26,-0.26,51.64,-84.78,118.16
830,-0.40,-0.16,-0.32,46.08,-80.57,118.41
840,-0.21,-0.02,-0.17,40.16,-72.02,102.97
850,-0.05,0.02,-0.15,43.27,-68.48,99.37
860,0.21,0.17,-0.15,36.07,-47.85,69.89
870,0.38,0.28,-0.10,30.03,-33.94,49.56
880,0.50,0.34,-0.11,23.07,-18.55,27.10
890,0.56,0.38,-0.11,5.74,16.42,4.27
900,0.54,0.32,-0.13,-10.31,46.75,-4.76
910,0.46,0.21,-0.17,-26.79,79.83,-19.59
920,0.25,0.10,-0.19,-40.28,120.54,-42.42
930,-0.00,-0.01,-0.27,-40.65,143.01,-59.63
940,-0.31,-0.10,-0.36,-35.34,144.96,-84.47
950,-0.70,-0.21,-0.45,-29.72,140.20,-113.10
960,-1.29,-0.40,-0.65,-32.90,129.09,-137.70
970,-1.78,-0.57,-0.62,-40.71,128.97,-146.67
980,-2.13,-0.67,-0.57,-34.24,92.90,-137.08
990,-2.36,-0.84,-0.44,-15.20,32.17,-100.52
1000,-2.39,-0.90,-0.41,-8.54,2.01,-77.33
1010,-2.46,-1.00,-0.39,-13.00,-20.32,-57.74
1020,-2.43,-1.05,-0.23,-25.45,-35.52,-19.96
1030,-2.23,-1.03,-0.11,-22.16,-49.68,13.24
1040,-2.00,-0.96,-0.03,-6.35,-66.41,33.14
1050,-1.71,-0.83,-0.07,20.02,-87.89,49.62
1060,-1.51,-0.72,-0.15,29.24,-95.58,61.28
1070,-1.30,-0.60,-0.16,31.62,-101.56,72.20
1080,-1.03,-0.50,-0.12,33.20,-106.38,77.09
1090,-0.86,-0.41,-0.04,41.32,-108.15,78.19
1100,-0.65,-0.31,-0.08,48.58,-107.18,84.35
1110,-0.45,-0.24,-0.15,45.53,-89.60,90.58
1120,-0.22,-0.07,-0.02,39.98,-69.82,80.02
1130,-0.06,-0.03,-0.04,43.95,-64.51,79.59
1140,0.15,0.10,-0.08,37.78,-41.02,57.92
1150,0.25,0.17,-0.04,31.43,-23.50,41.75
1160,0.36,0.24,-0.08,27.22,-4.39,29.97
1170,0.42,0.29,-0.15,12.70,34.42,22.40
1180,0.45,0.31,-0.17,-1.28,63.60,21.00
1190,0.46,0.27,-0.21,-14.22,88.50,10.68
1200,0.33,0.19,-0.29,-29.54,129.33,-21.42
1210,0.15,0.07,-0.32,-34.36,141.66,-53.59
1220,-0.18,-0.10,-0.39,-32.47,143.80,-91.06
1230,-0.74,-0.30,-0.56,-27.22,135.86,-126.95
1240,-1.24,-0.47,-0.64,-30.09,132.75,-145.69
1250,-1.79,-0.64,-0.59,-31.56,124.21,-158.63
1260,-2.54,-0.92,-0.52,-24.72,74.10,-151.25
1270,-2.95,-1.13,-0.41,-18.43,35.89,-122.44
1280,-3.17,-1.24,-0.29,-12.15,5.49,-71.66
1290,-3.10,-1.27,-0.21,-11.23,-13.37,-14.89
1300,-2.70,-1.16,-0.06,-11.35,-28.44,43.03
1310,-2.32,-1.02,-0.01,-1.65,-45.59,72.63
1320,-1.94,-0.84,-0.06,9.83,-58.47,91.92
1330,-1.50,-0.64,-0.20,22.40,-78.00,106.99
1340,-1.24,-0.54,-0.25,28.08,-94.73,102.23
1350,-1.02,-0.46,-0.22,32.65,-109.74,92.29
1360,-0.76,-0.35,-0.15,40.28,-115.91,85.51
1370,-0.59,-0.24,-0.18,44.25,-109.99,88.20
1380,-0.35,-0.12,-0.12,40.34,-95.76,86.73
1390,-0.07,-0.00,-0.15,38.64,-87.28,84.59
1400,0.16,0.08,-0.17,35.10,-75.32,69.15
1410,0.30,0.17,-0.09,31.49,-61.58,41.81
1420,0.44,0.27,-0.05,31.56,-47.24,11.90
1430,0.46,0.33,-0.11,18.01,-10.86,1.77
1440,0.51,0.40,-0.18,-6.41,41.02,10.01
1450,0.53,0.36,-0.18,-32.10,89.72,11.60
1460,0.51,0.28,-0.21,-39.18,100.95,-10.38
1470,0.32,0.15,-0.25,-40.34,112.06,-42.60
1480,-0.01,-0.01,-0.37,-43.33,129.70,-74.22
1490,-0.44,-0.16,-0.52,-50.17,140.20,-106.38
1500,-0.84,-0.31,-0.57,-54.81,138.18,-129.15
1510,-1.34,-0.54,-0.57,-55.54,122.31,-157.29
1520,-1.97,-0.77,-0.45,-45.35,84.05,-185.42
1530,-2.46,-1.02,-0.36,-32.10,58.59,-170.47
1540,-2.90,-1.25,-0.28,-9.03,11.23,-112.73
1550,-2.97,-1.31,-0.25,-4.70,-2.08,-51.27
1560,-2.80,-1.27,-0.23,-9.03,-6.59,8.67
1570,-2.50,-1.19,-0.15,-11.11,-12.45,47.49
1580,-2.03,-0.97,-0.09,2.26,-36.44,80.20
1590,-1.72,-0.85,-0.13,17.64,-56.70,90.09
1600,-1.48,-0.73,-0.17,31.62,-74.16,91.61
1610,-1.16,-0.57,-0.23,46.33,-96.86,87.34
1620,-0.95,-0.45,-0.29,48.46,-103.39,83.86
1630,-0.77,-0.35,-0.27,42.18,-101.14,83.92
1640,-0.46,-0.21,-0.21,29.91,-82.03,85.69
1650,-0.29,-0.09,-0.08,33.63,-71.90,91.74
1660,-0.09,0.06,-0.08,39.92,-63.35,88.38
1670,0.10,0.12,-0.07,45.17,-58.35,82.40
1680,0.31,0.28,-0.11,39.49,-46.75,45.78
1690,0.39,0.33,-0.10,28.02,-32.41,22.03
1700,0.44,0.38,-0.09,5.55,6.35,10.07
1710,0.50,0.42,-0.09,-28.32,77.70,23.93
1720,0.66,0.45,-0.09,-40.16,108.52,33.14
1730,0.71,0.42,-0.11,-33.08,128.54,23.13
1740,0.49,0.16,-0.34,-21.85,124.45,-41.99
1750,0.03,-0.17,-0.48,-30.88,129.76,-109.31
1760,-0.59,-0.41,-0.49,-42.36,144.96,-163.02
1770,-1.22,-0.66,-0.48,-34.12,145.51,-161.07
1780,-1.74,-0.86,-0.55,-16.17,122.31,-166.69
1790,-2.40,-1.11,-0.63,-0.37,83.44,-182.25
1800,-3.12,-1.31,-0.61,16.97,16.54,-142.64
1810,-3.27,-1.39,-0.56,15.50,-12.39,-60.61
1820,-3.07,-1.34,-0.47,-1.34,-7.75,15.32
1830,-2.70,-1.20,-0.32,-14.16,-8.00,61.22
1840,-2.16,-0.97,-0.22,-4.46,-36.74,94.36
1850,-1.79,-0.80,-0.21,13.18,-63.29,103.39
1860,-1.49,-0.66,-0.27,29.60,-89.90,103.15
1870,-1.18,-0.54,-0.31,38.27,-114.56,92.77
