timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.97,-0.37,-0.35,32.17,-132.32,90.39
10,-0.79,-0.28,-0.38,32.23,-128.36,89.60
20,-0.52,-0.17,-0.38,26.43,-119.57,94.30
30,-0.31,-0.11,-0.36,17.15,-106.93,100.83
40,0.06,0.03,-0.26,9.34,-90.33,91.25
50,0.26,0.04,-0.18,10.19,-83.25,76.54
60,0.42,0.10,-0.12,8.24,-67.08,48.10
70,0.53,0.12,-0.07,8.61,-53.47,23.74
80,0.61,0.13,-0.06,3.05,-22.46,2.14
90,0.65,0.09,-0.09,-5.98,21.85,3.60
100,0.67,0.05,-0.08,-13.67,67.63,4.21
110,0.65,0.01,-0.17,-15.99,113.22,-7.45
120,0.53,-0.08,-0.26,-13.79,128.42,-34.79
130,0.27,-0.21,-0.41,-8.85,133.67,-78.74
140,-0.16,-0.27,-0.55,-4.39,129.58,-142.03
150,-0.66,-0.56,-0.83,-16.24,139.95,-183.96
160,-1.56,-0.79,-0.70,-22.46,150.09,-257.75
170,-2.36,-0.83,-0.57,-9.22,97.60,-266.36
180,-2.83,-1.03,-0.52,4.46,37.54,-204.04
190,-3.11,-1.17,-0.45,2.56,7.20,-139.28
200,-3.16,-1.18,-0.30,-9.28,-8.24,-83.86
210,-3.07,-1.39,-0.04,-19.10,-27.34,6.23
220,-2.63,-1.20,0.03,-25.09,-17.64,37.72
230,-2.25,-1.09,0.08,-13.85,-23.86,86.49
240,-1.87,-0.97,-0.01,2.14,-43.03,116.09
250,-1.51,-0.82,-0.14,13.73,-62.38,120.91
260,-1.38,-0.73,-0.12,23.32,-85.82,112.06
270,-1.24,-0.62,-0.09,38.27,-113.34,113.83
280,-0.92,-0.51,-0.17,51.15,-125.18,127.75
290,-0.70,-0.38,-0.22,49.32,-111.76,128.17
300,-0.51,-0.28,-0.24,45.17,-102.29,128.72
310,-0.30,-0.13,-0.26,34.24,-82.40,124.57
320,-0.07,-0.04,-0.15,25.94,-69.21,116.64
330,0.22,0.04,-0.14,31.19,-71.78,102.72
340,0.39,0.12,-0.19,31.43,-64.15,74.52
350,0.54,0.17,-0.24,24.90,-44.80,31.92
360,0.63,0.17,-0.27,16.85,-24.05,6.53
370,0.59,0.12,-0.29,7.69,14.40,-2.75
380,0.60,0.08,-0.32,0.92,51.57,4.39
390,0.60,0.05,-0.40,-5.98,87.52,5.25
400,0.56,-0.02,-0.52,-14.40,118.71,-15.44
410,0.33,-0.18,-0.54,-19.65,131.84,-49.26
420,0.08,-0.26,-0.57,-23.32,133.73,-91.19
430,-0.34,-0.45,-0.55,-26.92,147.40,-125.61
440,-1.04,-0.55,-0.46,-26.49,162.48,-172.61
450,-1.64,-0.65,-0.35,-18.74,144.90,-201.23
460,-2.67,-0.88,-0.18,4.33,83.25,-215.39
470,-3.26,-0.99,-0.14,17.58,17.88,-184.57
480,-3.44,-1.08,-0.11,6.47,0.79,-104.31
490,-3.33,-1.12,-0.05,-13.12,27.34,-21.36
500,-3.03,-0.99,0.05,-21.30,37.11,37.48
510,-2.52,-0.85,-0.05,-13.18,2.62,57.01
520,-2.22,-0.75,-0.12,-2.69,-29.91,69.40
530,-1.89,-0.67,-0.22,4.64,-52.31,87.28
540,-1.54,-0.57,-0.31,3.36,-68.30,98.39
550,-1.37,-0.54,-0.31,2.56,-84.72,94.06
560,-1.19,-0.49,-0.29,8.54,-105.10,91.37
570,-1.01,-0.44,-0.29,16.11,-118.41,94.24
580,-0.70,-0.33,-0.30,18.55,-120.18,104.49
590,-0.47,-0.28,-0.28,14.28,-108.95,112.67
600,-0.25,-0.22,-0.28,8.85,-94.97,114.75
610,0.04,-0.10,-0.13,3.36,-68.42,100.22
620,0.23,-0.07,-0.10,13.61,-71.35,88.56
630,0.39,0.01,-0.12,19.04,-64.82,58.84
640,0.52,0.03,-0.09,20.39,-55.73,28.81
650,0.56,0.07,-0.00,20.69,-29.05,-5.62
660,0.55,0.10,-0.02,14.65,8.24,-5.55
670,0.60,0.10,-0.04,0.61,61.65,7.57
680,0.68,0.10,-0.04,-12.70,127.01,6.47
690,0.63,0.05,-0.13,-3.85,145.32,-17.58
700,0.38,-0.07,-0.37,9.28,145.69,-63.23
710,-0.10,-0.17,-0.72,5.25,152.22,-132.32
720,-0.80,-0.53,-0.92,-16.66,174.87,-185.79
730,-1.67,-0.75,-0.82,-29.91,169.92,-249.15
740,-2.45,-0.84,-0.66,-9.95,98.69,-256.10
750,-2.91,-0.99,-0.45,9.58,37.17,-212.10
760,-3.06,-1.11,-0.35,20.51,-15.87,-145.39
770,-2.99,-1.15,-0.25,16.72,-33.14,-85.39
780,-2.79,-1.20,-0.17,-3.17,-35.28,-31.25
790,-2.59,-1.14,-0.11,-13.06,-30.58,7.32
800,-2.19,-0.98,-0.07,-11.41,-31.37,61.65
810,-1.80,-0.88,-0.09,-7.20,-33.20,101.14
820,-1.50,-0.77,-0.16,0.31,-46.69,106.26
830,-1.37,-0.69,-0.17,8.24,-70.31,102.60
840,-1.23,-0.60,-0.19,18.19,-96.01,108.64
850,-1.05,-0.50,-0.18,25.45,-108.70,120.85
860,-0.78,-0.46,-0.23,27.53,-120.79,127.01
870,-0.49,-0.28,-0.23,21.18,-99.18,128.60
880,-0.33,-0.17,-0.17,13.18,-77.94,130.55
890,-0.10,-0.12,-0.19,2.56,-59.08,122.13
