timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.58,-1.03,-0.09,28.63,-60.42,110.11
10,-1.32,-0.90,-0.16,34.91,-69.64,119.14
20,-1.08,-0.76,-0.19,41.63,-79.22,122.19
30,-0.79,-0.55,-0.24,52.31,-89.42,123.47
40,-0.61,-0.41,-0.25,56.15,-91.86,118.41
50,-0.43,-0.25,-0.24,57.62,-91.49,112.06
60,-0.29,-0.13,-0.27,55.30,-85.94,105.29
70,-0.14,0.03,-0.19,44.37,-72.94,92.35
80,0.02,0.10,-0.20,41.63,-67.63,72.57
90,0.07,0.18,-0.19,33.20,-51.21,47.97
100,0.17,0.28,-0.12,25.39,-31.92,29.60
110,0.26,0.38,-0.14,19.41,-15.44,18.80
120,0.30,0.41,-0.17,7.32,5.43,12.02
130,0.29,0.35,-0.15,-15.99,40.47,10.68
140,0.29,0.31,-0.13,-30.33,64.76,3.72
150,0.26,0.18,-0.13,-38.02,86.06,-9.95
160,0.11,0.02,-0.18,-41.14,106.20,-43.27
170,-0.07,-0.15,-0.24,-45.96,117.80,-68.91
180,-0.34,-0.36,-0.31,-56.88,137.02,-96.74
190,-0.61,-0.48,-0.31,-62.62,154.72,-119.02
200,-1.04,-0.61,-0.45,-50.84,151.37,-137.51
210,-1.48,-0.73,-0.47,-34.48,127.01,-150.02
220,-1.94,-0.91,-0.50,-16.42,92.65,-154.42
230,-2.57,-1.10,-0.47,3.30,43.15,-134.34
240,-2.84,-1.24,-0.52,-1.71,22.58,-89.05
250,-2.95,-1.32,-0.45,-17.82,12.88,-41.56
260,-2.81,-1.36,-0.23,-23.62,-22.71,11.78
270,-2.48,-1.27,-0.06,-9.52,-59.94,38.21
280,-2.13,-1.17,-0.01,8.48,-89.11,59.14
290,-1.69,-1.04,-0.03,23.86,-101.32,87.46
300,-1.38,-0.92,-0.08,30.70,-101.01,106.14
310,-1.08,-0.77,-0.15,35.10,-100.04,117.98
320,-0.73,-0.54,-0.20,40.71,-100.22,124.63
330,-0.50,-0.36,-0.22,43.09,-99.12,119.93
340,-0.31,-0.22,-0.22,46.26,-97.05,110.72
350,-0.17,-0.11,-0.24,47.36,-90.33,100.71
360,-0.00,0.06,-0.17,41.63,-75.32,85.08
370,0.15,0.13,-0.16,42.18,-70.68,61.52
380,0.16,0.19,-0.15,34.36,-48.83,24.29
390,0.23,0.24,-0.14,27.83,-32.23,10.99
400,0.25,0.26,-0.19,15.44,-6.04,2.32
410,0.27,0.28,-0.23,-3.78,24.72,3.17
420,0.27,0.23,-0.21,-25.82,61.04,5.25
430,0.27,0.17,-0.21,-30.58,77.21,-3.60
440,0.24,0.11,-0.20,-29.85,88.81,-18.68
450,0.14,-0.02,-0.30,-29.36,108.46,-43.40
460,-0.10,-0.15,-0.39,-38.70,128.91,-68.73
470,-0.36,-0.32,-0.47,-51.27,140.63,-96.86
480,-0.77,-0.51,-0.42,-54.14,149.11,-122.13
490,-1.49,-0.71,-0.29,-34.85,135.44,-143.31
500,-2.05,-0.92,-0.28,-12.82,106.38,-137.94
510,-2.57,-1.05,-0.23,3.97,77.51,-122.80
520,-3.01,-1.21,-0.34,8.54,40.83,-68.85
530,-3.05,-1.20,-0.35,0.12,23.86,-19.04
540,-2.92,-1.13,-0.30,-8.24,3.17,17.88
550,-2.54,-1.04,-0.16,-4.58,-41.50,42.24
560,-2.22,-0.96,-0.13,7.69,-71.11,55.48
570,-1.77,-0.80,-0.16,18.55,-89.97,78.74
580,-1.48,-0.69,-0.19,21.91,-94.60,89.72
590,-1.27,-0.59,-0.20,24.60,-98.39,90.82
600,-1.08,-0.49,-0.23,32.41,-108.09,91.74
610,-0.88,-0.40,-0.28,37.60,-115.48,91.25
620,-0.60,-0.28,-0.31,39.67,-117.68,93.75
630,-0.38,-0.16,-0.30,36.13,-111.94,92.96
640,-0.15,-0.04,-0.29,22.52,-94.18,85.08
650,0.02,0.03,-0.15,20.75,-88.93,70.31
660,0.20,0.08,-0.14,23.07,-83.25,44.62
670,0.29,0.13,-0.10,19.96,-66.96,21.36
680,0.49,0.25,-0.07,14.77,-41.44,6.71
690,0.63,0.29,-0.10,3.72,-10.99,0.43
700,0.67,0.29,-0.18,-13.24,29.24,-0.31
710,0.69,0.21,-0.25,-34.30,76.17,-0.12
720,0.64,0.08,-0.22,-38.64,97.72,-13.49
730,0.52,-0.05,-0.24,-27.65,100.34,-47.42
740,-0.04,-0.32,-0.33,-19.65,126.40,-100.34
750,-0.56,-0.45,-0.41,-36.99,161.07,-130.19
760,-1.15,-0.60,-0.45,-51.82,181.09,-144.17
770,-1.94,-0.71,-0.38,-41.63,171.88,-145.75
780,-2.57,-0.87,-0.39,-10.19,121.15,-128.30
790,-3.01,-1.01,-0.40,8.91,60.12,-112.30
800,-3.21,-1.14,-0.32,11.29,16.11,-67.87
810,-3.11,-1.17,-0.15,-7.39,3.48,0.18
820,-2.81,-1.06,-0.02,-14.47,-7.08,41.26
830,-2.31,-0.91,0.03,2.50,-45.59,70.74
840,-1.93,-0.77,-0.05,16.78,-71.47,81.73
850,-1.66,-0.71,-0.12,22.09,-85.82,83.92
860,-1.46,-0.65,-0.16,22.95,-93.51,84.53
870,-1.18,-0.57,-0.20,28.50,-105.59,90.52
880,-0.92,-0.48,-0.24,30.46,-109.19,93.75
890,-0.69,-0.36,-0.22,31.19,-109.92,95.28
900,-0.38,-0.23,-0.19,31.62,-104.98,96.25
910,-0.17,-0.13,-0.20,26.98,-89.97,94.67
920,-0.01,-0.04,-0.18,17.21,-68.66,89.90
930,0.26,0.07,-0.08,19.59,-59.69,66.22
940,0.40,0.15,-0.12,22.46,-53.77,33.26
950,0.44,0.19,-0.12,18.31,-29.17,13.85
960,0.51,0.28,-0.24,1.22,18.49,-1.04
970,0.48,0.30,-0.29,-14.77,51.39,-1.22
980,0.49,0.25,-0.34,-26.61,58.65,-9.70
990,0.35,0.09,-0.27,-33.45,77.15,-29.79
1000,0.10,-0.05,-0.24,-33.45,106.26,-61.89
1010,-0.16,-0.18,-0.25,-33.26,130.86,-79.53
1020,-0.45,-0.29,-0.29,-36.62,150.70,-93.87
1030,-0.78,-0.34,-0.35,-35.71,155.46,-105.41
1040,-1.41,-0.49,-0.35,-39.31,150.02,-126.65
1050,-1.88,-0.67,-0.39,-33.08,120.42,-133.79
1060,-2.39,-0.90,-0.35,-21.73,88.01,-135.62
1070,-2.80,-0.98,-0.28,-7.39,39.79,-94.18
1080,-2.86,-1.06,-0.26,-14.95,21.73,-54.02
1090,-2.85,-1.09,-0.19,-27.22,14.04,-24.05
1100,-2.60,-1.08,-0.11,-18.07,-28.14,12.94
1110,-2.28,-1.01,-0.04,-3.11,-57.50,31.56
1120,-2.02,-0.92,-0.04,9.34,-73.36,43.40
1130,-1.75,-0.85,-0.16,16.66,-85.02,59.45
1140,-1.54,-0.77,-0.19,16.72,-87.16,74.46
1150,-1.25,-0.64,-0.22,21.79,-96.44,88.13
1160,-0.89,-0.49,-0.21,34.12,-110.66,94.67
1170,-0.65,-0.37,-0.18,42.11,-116.33,91.61
1180,-0.44,-0.26,-0.17,49.01,-117.00,89.36
