timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.77,-1.52,0.04,-23.44,-21.61,-24.54
10,-2.49,-1.40,0.15,-8.06,-43.88,22.34
20,-1.82,-1.16,0.12,31.19,-77.39,70.98
30,-1.55,-0.98,-0.12,43.40,-82.95,72.63
40,-1.35,-0.86,-0.26,44.01,-83.74,73.06
50,-1.14,-0.69,-0.32,46.20,-91.80,79.53
60,-0.99,-0.62,-0.35,52.31,-103.15,91.13
70,-0.83,-0.51,-0.34,58.29,-109.80,95.52
80,-0.58,-0.33,-0.37,60.24,-110.23,95.70
90,-0.38,-0.19,-0.37,56.40,-104.06,91.86
100,-0.19,-0.05,-0.41,45.65,-91.61,85.94
110,0.07,0.10,-0.31,34.24,-77.88,70.86
120,0.21,0.19,-0.24,36.74,-74.71,42.54
130,0.30,0.29,-0.23,35.46,-66.77,16.60
140,0.36,0.32,-0.21,24.35,-49.38,-0.73
150,0.38,0.32,-0.22,-1.40,-12.94,-15.75
160,0.34,0.25,-0.21,-23.01,19.35,-15.75
170,0.32,0.17,-0.17,-33.57,44.31,-12.02
180,0.34,0.18,-0.19,-37.29,71.11,-10.99
190,0.36,0.16,-0.21,-43.33,91.80,-17.33
200,0.28,0.03,-0.20,-51.27,116.03,-37.72
210,-0.02,-0.18,-0.28,-60.97,149.60,-73.49
220,-0.28,-0.34,-0.42,-64.58,170.10,-93.20
230,-0.71,-0.49,-0.50,-57.13,171.45,-111.02
240,-1.40,-0.76,-0.56,-41.08,135.38,-150.76
250,-2.04,-1.04,-0.44,-28.44,94.42,-173.65
260,-2.62,-1.28,-0.19,-9.03,50.42,-151.55
270,-3.00,-1.50,-0.15,3.72,21.24,-75.32
280,-3.23,-1.40,-0.22,-8.85,22.03,-14.04
290,-2.83,-1.51,-0.15,-16.48,4.88,30.64
300,-2.50,-1.27,-0.05,-16.05,-17.82,27.53
310,-2.12,-1.18,0.04,6.10,-58.53,55.05
320,-1.68,-1.01,-0.02,29.72,-85.45,62.87
330,-1.50,-0.93,-0.12,35.71,-92.47,64.27
340,-1.28,-0.81,-0.18,38.39,-95.58,70.37
350,-1.04,-0.67,-0.28,45.59,-103.03,82.70
360,-0.80,-0.53,-0.31,50.17,-106.45,89.84
370,-0.59,-0.39,-0.32,53.10,-105.29,94.54
380,-0.37,-0.26,-0.34,53.22,-102.23,94.67
390,-0.12,-0.08,-0.35,43.03,-83.19,91.13
400,0.06,0.06,-0.29,27.77,-61.52,82.03
410,0.24,0.14,-0.19,29.30,-58.78,70.43
420,0.40,0.26,-0.20,26.06,-43.21,29.91
430,0.43,0.29,-0.17,18.55,-29.11,4.39
440,0.44,0.28,-0.14,5.55,-8.18,-11.72
450,0.32,0.17,-0.12,-21.42,43.58,-13.18
460,0.27,0.10,-0.12,-33.69,73.36,-8.24
470,0.18,-0.01,-0.11,-36.50,93.63,-12.51
480,0.08,-0.08,-0.14,-28.38,109.13,-27.77
