timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.29,0.17,-0.17,2.99,45.59,17.21
10,0.26,0.14,-0.20,-9.89,85.39,19.17
20,0.29,0.12,-0.16,-16.91,122.50,21.48
30,0.34,0.03,-0.15,-10.68,148.07,7.51
40,0.17,-0.10,-0.19,1.77,142.70,-30.70
50,-0.28,-0.22,-0.31,7.02,131.23,-81.91
60,-0.86,-0.34,-0.36,2.50,133.36,-114.14
70,-1.47,-0.41,-0.33,2.20,149.66,-104.55
80,-1.82,-0.40,-0.38,9.28,146.61,-102.42
90,-2.25,-0.40,-0.51,18.68,112.24,-101.01
100,-2.96,-0.45,-0.64,19.35,44.74,-116.39
110,-3.45,-0.47,-0.68,9.95,10.07,-92.47
120,-3.48,-0.46,-0.63,-6.41,-0.31,-37.35
130,-3.18,-0.47,-0.43,-18.25,-4.82,15.81
140,-2.59,-0.44,-0.28,-18.74,-39.98,46.08
150,-2.20,-0.41,-0.23,-13.85,-69.03,56.15
160,-1.74,-0.36,-0.31,-7.20,-97.29,68.79
170,-1.43,-0.31,-0.28,-7.20,-106.99,74.46
180,-1.11,-0.28,-0.25,-7.02,-114.26,80.14
190,-0.82,-0.25,-0.19,-5.43,-115.42,80.44
200,-0.53,-0.22,-0.10,2.08,-122.25,77.76
210,-0.28,-0.15,-0.10,9.34,-122.07,71.11
220,-0.13,-0.14,-0.15,14.89,-112.30,73.61
230,0.12,-0.06,-0.18,10.31,-82.58,68.79
240,0.32,-0.01,-0.15,6.16,-60.97,55.18
250,0.47,0.02,-0.13,7.26,-51.27,37.35
260,0.53,0.03,-0.18,11.23,-30.58,11.17
270,0.50,0.05,-0.28,10.31,-4.94,4.64
280,0.51,0.05,-0.37,0.24,39.92,13.43
290,0.65,-0.01,-0.31,-12.82,101.32,15.08
300,0.65,-0.07,-0.26,-6.71,113.28,-6.35
310,0.50,-0.14,-0.30,5.19,107.48,-41.69
320,0.21,-0.22,-0.39,12.94,122.38,-76.78
330,-0.36,-0.30,-0.50,6.47,165.89,-110.29
340,-0.88,-0.37,-0.35,4.27,169.92,-123.96
350,-1.39,-0.50,-0.27,12.39,151.98,-144.96
360,-2.25,-0.55,-0.25,24.72,101.56,-165.53
370,-3.02,-0.61,-0.33,26.92,73.61,-156.68
380,-3.65,-0.57,-0.46,20.39,64.88,-105.04
390,-4.02,-0.42,-0.60,5.62,52.49,5.25
400,-3.54,-0.34,-0.68,-4.09,18.31,26.79
410,-3.30,-0.32,-0.62,-12.45,-32.90,48.65
420,-2.66,-0.37,-0.45,-19.23,-93.26,64.51
430,-2.21,-0.42,-0.41,-18.55,-116.33,88.75
440,-1.73,-0.41,-0.41,-17.40,-131.41,102.91
450,-1.22,-0.38,-0.35,-16.48,-145.32,105.65
460,-0.95,-0.36,-0.27,-13.18,-155.27,94.60
470,-0.78,-0.32,-0.20,-6.71,-162.23,83.62
480,-0.58,-0.28,-0.18,-1.89,-160.71,75.93
490,-0.25,-0.21,-0.13,9.28,-146.18,80.14
500,0.04,-0.15,-0.18,13.61,-124.76,77.45
510,0.34,-0.05,-0.22,10.68,-98.39,59.20
520,0.61,0.01,-0.15,5.00,-72.08,34.67
530,0.76,0.05,-0.10,4.94,-52.37,12.82
540,0.81,0.05,-0.06,6.59,-32.10,-3.05
550,0.78,0.08,-0.14,2.99,10.62,-4.76
560,0.89,0.10,-0.20,-8.54,81.18,22.71
570,1.11,0.12,-0.21,-19.35,141.60,40.28
580,1.22,0.07,-0.25,-15.63,159.12,22.22
590,0.88,-0.03,-0.62,-3.23,152.04,-52.37
600,0.34,-0.14,-0.89,-12.33,173.40,-106.69
610,-0.41,-0.27,-0.98,-28.32,206.85,-149.78
620,-1.56,-0.48,-0.86,-36.50,199.28,-178.96
630,-2.30,-0.56,-0.78,-31.37,162.11,-193.30
640,-3.28,-0.78,-0.52,-27.40,97.53,-184.45
650,-3.84,-0.90,-0.19,-22.71,51.27,-134.64
660,-3.99,-0.95,-0.08,-20.51,32.35,-68.42
670,-3.83,-0.93,0.05,-16.72,24.17,7.20
680,-3.18,-0.83,0.08,-3.23,-4.82,52.25
690,-2.74,-0.74,-0.00,11.60,-40.53,71.29
700,-2.28,-0.63,-0.16,22.03,-70.07,83.19
710,-1.71,-0.48,-0.34,26.55,-92.59,93.87
720,-1.40,-0.37,-0.41,25.39,-104.25,93.69
730,-1.12,-0.29,-0.43,26.31,-117.37,96.01
740,-0.92,-0.25,-0.41,26.67,-133.00,91.43
750,-0.75,-0.18,-0.39,28.50,-145.75,86.36
760,-0.53,-0.08,-0.40,26.92,-137.02,80.69
770,-0.17,0.03,-0.44,22.89,-116.09,88.01
780,0.12,0.06,-0.42,15.50,-97.90,79.83
790,0.35,0.15,-0.37,7.75,-85.14,50.60
800,0.46,0.15,-0.26,4.33,-74.52,10.19
810,0.47,0.14,-0.21,4.03,-66.04,-10.80
820,0.39,0.13,-0.20,0.18,-37.96,-13.37
830,0.36,0.11,-0.18,-11.29,24.29,13.55
840,0.40,0.09,-0.14,-19.59,73.97,32.84
850,0.47,0.09,-0.10,-22.52,111.51,35.83
860,0.44,0.07,-0.10,-18.80,128.91,21.85
870,0.27,0.03,-0.15,-12.94,150.88,-7.87
880,0.05,-0.01,-0.27,-12.57,175.60,-27.65
890,-0.38,-0.09,-0.34,-9.40,191.10,-53.59
900,-0.74,-0.19,-0.44,0.73,172.73,-82.15
910,-1.33,-0.32,-0.54,10.93,130.55,-124.82
920,-2.07,-0.41,-0.69,6.23,108.95,-159.30
930,-2.85,-0.53,-0.60,-8.12,84.84,-141.24
940,-3.33,-0.63,-0.50,-13.12,55.79,-121.03
950,-3.62,-0.68,-0.38,-11.11,16.42,-82.40
960,-3.56,-0.70,-0.26,-10.44,-28.14,-20.63
970,-3.21,-0.66,-0.21,-8.67,-49.01,25.02
980,-2.71,-0.60,-0.16,-3.17,-67.44,63.11
990,-2.06,-0.50,-0.24,7.51,-98.45,88.99
1000,-1.63,-0.43,-0.25,13.31,-118.71,96.98
1010,-1.12,-0.34,-0.24,20.81,-139.28,99.37
1020,-0.81,-0.25,-0.23,25.15,-144.78,98.14
1030,-0.47,-0.14,-0.22,27.16,-141.60,89.72
1040,-0.23,-0.10,-0.19,31.19,-137.94,89.23
1050,0.02,0.02,-0.19,31.86,-124.02,76.48
1060,0.36,0.09,-0.16,27.28,-102.05,54.63
1070,0.48,0.11,-0.13,23.93,-90.64,29.60
1080,0.51,0.16,-0.15,20.87,-52.06,6.77
1090,0.50,0.18,-0.26,15.75,-21.30,8.61
1100,0.56,0.17,-0.29,4.15,23.68,19.53
1110,0.64,0.14,-0.32,-2.38,54.99,24.23
1120,0.61,0.03,-0.42,-7.45,82.28,3.91
1130,0.43,-0.01,-0.45,-11.17,121.70,-16.24
1140,0.29,-0.03,-0.47,-13.12,158.94,-25.45
1150,0.23,-0.08,-0.56,-11.47,178.04,-39.73
1160,-0.06,-0.18,-0.62,-10.13,179.69,-80.38
