timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.02,0.09,-0.23,29.60,-77.27,70.25
10,0.16,0.16,-0.19,22.34,-62.07,47.42
20,0.36,0.28,-0.12,16.05,-42.05,23.01
30,0.54,0.34,-0.15,8.73,-21.73,10.80
40,0.60,0.35,-0.11,-5.86,9.40,-1.59
50,0.58,0.24,-0.05,-21.30,52.98,-9.03
60,0.49,0.14,-0.02,-27.04,85.27,-24.66
70,0.41,0.09,-0.05,-26.86,106.26,-41.50
80,0.30,0.00,-0.21,-28.50,127.87,-55.66
90,-0.08,-0.19,-0.37,-44.19,166.14,-94.67
100,-0.56,-0.36,-0.45,-43.76,170.35,-121.40
110,-1.29,-0.62,-0.56,-29.54,155.27,-152.28
120,-1.92,-0.82,-0.61,-13.73,127.38,-158.63
130,-2.55,-1.06,-0.63,-3.66,88.01,-149.90
140,-3.00,-1.24,-0.55,-1.77,49.13,-111.08
150,-3.13,-1.31,-0.49,-7.69,29.05,-24.96
160,-2.87,-1.22,-0.41,-15.99,17.40,34.00
170,-2.49,-1.08,-0.30,-15.14,-4.64,63.66
180,-2.04,-0.93,-0.25,-2.69,-47.24,73.00
190,-1.77,-0.84,-0.21,7.87,-70.62,75.07
200,-1.56,-0.76,-0.24,20.57,-87.59,79.71
210,-1.37,-0.67,-0.32,27.95,-98.57,81.05
220,-1.10,-0.53,-0.32,28.63,-107.60,81.42
230,-0.89,-0.43,-0.28,30.52,-117.00,79.10
240,-0.64,-0.33,-0.21,33.94,-115.60,76.11
250,-0.50,-0.24,-0.19,34.42,-106.69,76.29
260,-0.31,-0.12,-0.08,33.57,-92.71,75.20
270,-0.07,0.01,-0.09,35.40,-78.43,76.23
280,0.13,0.11,-0.08,30.70,-65.67,60.42
290,0.30,0.22,-0.05,26.73,-57.50,31.68
300,0.37,0.27,0.00,25.76,-41.50,11.60
310,0.46,0.40,-0.07,11.29,5.55,6.16
320,0.59,0.48,-0.16,-11.72,57.31,21.61
330,0.70,0.49,-0.22,-33.08,98.14,24.60
340,0.67,0.39,-0.24,-43.52,113.46,-4.09
350,0.37,0.05,-0.28,-42.60,114.26,-70.56
360,-0.07,-0.19,-0.31,-43.76,132.14,-116.88
370,-0.67,-0.42,-0.38,-45.04,157.17,-139.40
380,-1.18,-0.66,-0.44,-39.43,161.50,-142.03
390,-1.71,-0.81,-0.51,-29.17,150.57,-147.46
400,-2.21,-0.93,-0.58,-17.88,117.37,-147.52
410,-2.76,-1.13,-0.57,-1.65,54.81,-99.85
