timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.62,-1.19,-0.47,-14.95,62.44,-86.06
10,-2.67,-1.23,-0.40,-19.96,41.63,-58.04
20,-2.88,-1.38,-0.33,-24.78,21.36,14.89
30,-2.64,-1.27,-0.17,-30.40,-4.15,0.98
40,-2.46,-1.26,-0.03,-8.00,-51.21,16.91
50,-2.13,-1.19,-0.04,18.49,-86.12,38.70
60,-1.78,-1.04,-0.15,28.26,-95.15,53.89
70,-1.54,-0.91,-0.20,29.66,-98.45,69.82
80,-1.31,-0.78,-0.23,33.63,-104.98,86.06
90,-1.14,-0.71,-0.23,39.92,-113.83,91.55
100,-0.88,-0.54,-0.26,52.92,-126.04,97.72
110,-0.70,-0.44,-0.28,58.41,-127.81,99.91
120,-0.52,-0.33,-0.29,58.23,-121.64,97.72
130,-0.24,-0.15,-0.35,46.45,-100.65,93.75
140,-0.10,-0.02,-0.25,36.44,-85.08,83.25
150,0.12,0.03,-0.19,39.73,-82.82,66.65
160,0.26,0.17,-0.13,46.88,-72.02,26.37
170,0.36,0.29,-0.11,47.61,-56.40,15.38
180,0.45,0.37,-0.16,30.58,-25.21,14.95
190,0.58,0.46,-0.17,-12.57,35.77,24.23
200,0.63,0.45,-0.12,-35.58,71.66,27.65
210,0.64,0.37,-0.10,-45.17,96.37,10.01
220,0.42,0.17,-0.12,-44.62,125.06,-36.62
230,0.17,0.00,-0.23,-44.86,140.93,-67.32
240,-0.18,-0.20,-0.29,-47.00,156.68,-99.00
250,-0.82,-0.48,-0.39,-42.85,158.81,-135.38
260,-1.27,-0.63,-0.51,-43.09,150.82,-151.25
270,-1.93,-0.95,-0.52,-39.73,123.84,-163.76
280,-2.52,-1.23,-0.44,-23.68,100.28,-146.18
290,-2.79,-1.34,-0.44,-4.82,41.32,-109.68
300,-2.87,-1.47,-0.36,-1.53,-0.06,-41.69
310,-2.80,-1.49,-0.22,-8.91,-9.83,-7.63
320,-2.60,-1.43,-0.07,-7.02,-25.63,22.16
330,-2.12,-1.23,-0.00,11.84,-51.64,60.30
340,-1.78,-1.05,-0.05,27.40,-66.59,76.66
350,-1.50,-0.89,-0.16,39.73,-80.75,85.69
360,-1.20,-0.72,-0.23,46.88,-94.54,89.78
370,-1.06,-0.62,-0.25,50.66,-101.07,87.34
380,-0.91,-0.49,-0.26,53.96,-106.38,88.87
390,-0.64,-0.33,-0.23,52.06,-102.97,96.62
400,-0.48,-0.19,-0.21,46.63,-94.48,97.66
410,-0.24,-0.03,-0.17,42.66,-84.66,90.64
420,-0.08,0.10,-0.17,41.75,-79.41,85.94
430,0.16,0.17,-0.16,29.66,-68.54,59.88
440,0.29,0.24,-0.06,19.53,-53.83,33.94
450,0.47,0.34,0.00,17.27,-39.37,22.16
460,0.76,0.50,-0.04,1.77,6.96,21.61
470,0.83,0.52,-0.13,-22.09,54.93,20.32
480,0.87,0.32,-0.22,-47.42,106.20,2.50
490,0.73,0.13,-0.23,-50.96,128.60,-35.71
500,0.48,-0.07,-0.32,-51.45,146.36,-77.45
510,0.00,-0.37,-0.43,-58.35,168.76,-124.76
520,-0.89,-0.67,-0.38,-59.51,188.84,-175.48
530,-1.61,-0.86,-0.43,-40.53,176.51,-185.67
540,-2.27,-1.06,-0.51,-16.66,142.21,-175.05
550,-3.00,-1.27,-0.56,-1.28,84.17,-131.35
560,-3.26,-1.42,-0.53,-1.10,41.38,-74.77
570,-3.38,-1.36,-0.46,-13.49,22.89,-12.76
580,-2.82,-1.24,-0.25,-22.46,-3.23,30.46
590,-2.54,-1.14,-0.12,-8.61,-38.70,55.36
600,-2.08,-1.03,-0.14,16.91,-78.19,77.21
610,-1.75,-0.91,-0.21,30.46,-98.21,81.97
620,-1.43,-0.81,-0.23,36.62,-113.28,86.06
630,-1.24,-0.74,-0.21,39.31,-116.76,91.00
