timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.14,0.04,-0.22,-63.48,126.22,64.76
10,-0.61,-0.07,-0.36,-70.68,133.30,73.97
20,-1.08,-0.26,-0.48,-70.07,144.35,62.50
30,-1.42,-0.39,-0.59,-69.27,153.26,58.59
40,-1.83,-0.45,-0.48,-46.33,123.72,73.06
50,-2.37,-0.53,-0.40,-32.23,66.77,102.48
60,-2.94,-0.65,-0.46,-23.38,18.68,112.55
70,-3.31,-0.70,-0.51,-11.66,-2.08,96.44
80,-3.53,-0.73,-0.58,0.43,-18.68,42.79
90,-3.27,-0.69,-0.57,11.35,-28.14,-14.95
100,-2.63,-0.57,-0.54,21.24,-37.41,-56.82
110,-1.92,-0.45,-0.49,30.58,-54.50,-72.69
120,-1.52,-0.38,-0.53,39.12,-83.86,-68.12
130,-1.32,-0.31,-0.54,48.28,-103.15,-56.70
140,-1.20,-0.23,-0.41,55.91,-117.37,-48.28
150,-1.10,-0.19,-0.38,54.08,-130.19,-51.70
160,-0.80,-0.13,-0.38,46.14,-115.91,-68.60
170,-0.57,-0.09,-0.58,43.64,-97.17,-87.46
180,-0.08,-0.02,-0.43,59.20,-82.21,-91.00
190,0.14,0.05,-0.21,52.37,-64.70,-73.97
200,0.23,0.10,-0.12,38.70,-63.11,-48.16
210,0.29,0.13,-0.14,32.65,-68.12,-32.59
220,0.31,0.15,-0.13,26.43,-48.28,-22.03
230,0.35,0.16,-0.06,13.61,7.26,-19.65
240,0.49,0.18,-0.04,4.15,43.64,-19.17
250,0.61,0.19,0.04,-5.92,69.52,-6.10
260,0.52,0.15,0.08,-22.89,84.96,25.39
270,0.39,0.10,0.04,-39.37,105.22,38.94
280,0.18,0.01,-0.13,-58.41,131.71,45.47
290,0.05,-0.05,-0.35,-66.83,158.81,43.15
300,-0.08,-0.06,-0.31,-65.31,172.79,52.37
310,-0.42,-0.16,-0.43,-73.06,155.58,78.61
320,-0.93,-0.29,-0.65,-73.06,133.54,100.77
330,-1.59,-0.41,-0.82,-53.71,117.61,109.68
340,-2.10,-0.46,-0.72,-32.78,103.21,118.65
350,-2.61,-0.51,-0.56,-16.36,67.57,125.06
360,-3.05,-0.57,-0.53,-15.44,25.63,109.56
370,-3.21,-0.58,-0.83,-15.26,7.14,87.65
380,-3.29,-0.54,-0.81,13.37,-18.07,57.68
390,-3.05,-0.43,-0.49,35.89,-44.43,9.46
400,-2.62,-0.35,-0.42,37.11,-56.34,-29.30
410,-2.09,-0.25,-0.35,37.60,-58.78,-52.80
420,-1.60,-0.18,-0.33,34.48,-81.54,-56.76
430,-1.40,-0.15,-0.38,33.81,-107.54,-47.73
440,-1.32,-0.15,-0.39,35.16,-129.46,-39.86
450,-1.21,-0.14,-0.41,32.41,-132.63,-47.06
460,-0.84,-0.10,-0.50,31.25,-114.14,-75.38
470,-0.45,-0.06,-0.42,33.02,-100.83,-83.44
480,-0.25,-0.03,-0.41,29.36,-86.49,-76.05
490,-0.01,0.03,-0.33,33.33,-80.93,-74.65
500,0.19,0.08,-0.23,30.70,-75.13,-68.05
510,0.42,0.14,-0.09,27.47,-58.90,-58.72
520,0.58,0.17,-0.02,12.51,-41.44,-30.94
530,0.68,0.18,-0.07,2.75,-3.66,-13.61
540,0.72,0.22,-0.03,-5.37,45.96,-2.93
550,0.74,0.22,0.05,-16.17,83.56,8.18
560,0.76,0.19,-0.11,-36.50,106.93,27.34
570,0.76,0.18,-0.16,-46.33,135.44,40.95
580,0.44,0.13,-0.35,-63.78,158.08,69.52
590,0.04,0.09,-0.55,-70.43,161.38,87.71
600,-0.42,0.03,-0.63,-72.39,156.56,104.19
610,-1.32,-0.15,-0.95,-69.15,117.92,126.46
620,-1.96,-0.25,-0.95,-49.74,94.24,132.75
630,-2.59,-0.34,-0.84,-24.66,71.04,139.22
640,-2.99,-0.38,-0.63,-5.86,49.87,127.08
650,-3.40,-0.39,-0.48,-2.50,3.85,115.72
660,-3.66,-0.41,-0.56,-0.55,-29.17,93.44
670,-3.65,-0.39,-0.56,9.34,-43.88,39.37
680,-3.15,-0.23,-0.33,24.17,-40.65,-38.45
690,-2.50,-0.10,-0.23,21.24,-50.17,-77.21
700,-1.98,-0.03,-0.23,15.14,-71.96,-86.18
710,-1.75,-0.07,-0.43,11.29,-113.89,-79.53
720,-1.53,-0.09,-0.55,18.01,-127.26,-91.74
730,-1.23,-0.06,-0.47,23.07,-115.60,-107.60
740,-0.90,-0.02,-0.38,23.56,-114.01,-112.30
750,-0.70,0.01,-0.46,27.34,-143.07,-105.96
760,-0.50,0.03,-0.28,33.57,-144.23,-99.67
770,-0.48,0.01,-0.21,24.60,-133.61,-97.41
780,-0.19,0.06,-0.22,16.17,-105.29,-117.25
790,0.17,0.12,-0.18,12.70,-84.17,-122.19
