timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.92,-0.53,-0.51,-43.40,185.55,-146.36
10,-1.79,-0.81,-0.49,-23.80,154.79,-197.27
20,-2.46,-0.97,-0.50,-1.89,103.33,-199.16
30,-3.21,-1.30,-0.49,19.90,36.44,-143.80
40,-3.33,-1.29,-0.37,18.49,20.32,-87.28
50,-3.49,-1.46,-0.44,8.36,13.73,40.04
60,-2.88,-1.16,-0.43,-9.40,18.74,65.06
70,-2.39,-0.91,-0.28,-9.77,-20.14,86.43
80,-1.96,-0.78,-0.25,7.87,-67.93,90.45
90,-1.70,-0.67,-0.35,19.23,-91.55,86.79
100,-1.38,-0.55,-0.39,21.91,-113.83,87.34
110,-1.13,-0.45,-0.36,20.20,-127.01,90.45
120,-0.76,-0.36,-0.24,22.22,-130.00,93.38
130,-0.53,-0.26,-0.20,24.78,-125.18,88.44
140,-0.36,-0.15,-0.15,27.28,-119.81,87.16
150,-0.11,-0.04,-0.11,22.46,-110.66,77.21
160,0.13,0.03,-0.09,24.66,-90.82,72.14
170,0.30,0.06,-0.06,19.59,-68.30,54.75
180,0.52,0.22,0.01,13.85,-38.94,27.04
190,0.60,0.27,0.05,10.68,-19.53,12.88
200,0.74,0.34,-0.03,-1.95,39.79,5.43
210,0.73,0.35,-0.07,-12.88,85.33,7.69
220,0.80,0.35,-0.18,-15.87,106.14,4.03
230,0.76,0.24,-0.36,-14.40,113.10,-16.66
240,0.32,-0.10,-0.62,-19.84,130.19,-78.80
250,-0.46,-0.53,-0.61,-35.95,174.74,-143.25
260,-1.24,-0.63,-0.55,-31.92,186.83,-179.20
270,-1.81,-0.70,-0.53,-15.63,159.85,-174.93
280,-2.60,-0.88,-0.51,6.23,112.61,-148.32
290,-3.04,-1.01,-0.57,18.92,62.07,-112.73
300,-3.24,-1.06,-0.50,20.20,17.46,-57.07
310,-3.05,-1.08,-0.43,-2.44,0.06,21.06
320,-2.74,-1.00,-0.26,-21.30,1.89,53.65
330,-2.37,-0.87,-0.14,-19.78,-22.34,76.05
340,-1.90,-0.73,-0.12,-1.22,-65.86,85.39
350,-1.65,-0.62,-0.17,10.07,-87.16,77.82
360,-1.47,-0.55,-0.21,14.34,-103.76,71.78
370,-1.23,-0.45,-0.20,11.90,-108.22,71.04
380,-1.04,-0.38,-0.17,12.39,-108.34,73.18
390,-0.77,-0.29,-0.18,18.19,-112.12,75.93
400,-0.63,-0.21,-0.19,18.74,-106.93,77.70
410,-0.42,-0.13,-0.17,14.71,-96.56,73.79
420,-0.18,-0.05,-0.16,18.01,-93.63,78.00
430,-0.04,0.04,-0.14,14.53,-78.31,76.17
440,0.31,0.16,-0.11,7.32,-56.40,47.67
450,0.46,0.23,-0.06,7.93,-41.02,23.86
460,0.60,0.31,-0.05,9.28,-23.93,4.64
470,0.73,0.36,-0.14,5.98,-0.92,-1.77
480,0.73,0.31,-0.17,-8.73,39.92,0.12
490,0.65,0.19,-0.20,-34.91,102.54,-8.42
500,0.53,0.09,-0.21,-44.92,140.08,-23.74
510,0.40,0.04,-0.28,-39.86,160.10,-37.90
520,0.09,-0.12,-0.50,-31.86,172.73,-70.13
530,-0.53,-0.40,-0.51,-28.75,179.93,-119.63
540,-1.23,-0.65,-0.56,-17.33,164.55,-167.60
550,-2.27,-0.86,-0.60,-1.22,137.51,-196.84
560,-2.86,-0.97,-0.64,9.16,98.39,-152.71
570,-3.05,-1.04,-0.65,8.97,57.56,-89.05
580,-2.99,-1.04,-0.52,-3.54,33.81,-18.37
590,-2.83,-0.97,-0.43,-10.80,13.92,19.47
600,-2.55,-0.92,-0.37,-18.01,-8.54,31.13
610,-2.30,-0.85,-0.21,-15.69,-34.18,41.56
620,-1.93,-0.77,-0.09,2.87,-70.92,57.25
630,-1.73,-0.68,-0.12,15.44,-84.72,59.57
640,-1.56,-0.58,-0.24,24.11,-99.91,63.72
650,-1.33,-0.47,-0.33,27.71,-114.56,68.54
660,-1.15,-0.40,-0.34,26.61,-121.83,72.69
670,-0.97,-0.36,-0.29,23.93,-125.31,73.49
680,-0.71,-0.29,-0.22,25.45,-124.21,77.82
690,-0.48,-0.24,-0.24,25.94,-116.21,84.66
700,-0.24,-0.12,-0.12,29.60,-105.41,84.90
710,-0.01,0.02,-0.15,33.45,-93.08,85.88
720,0.44,0.19,-0.21,27.47,-78.12,67.50
730,0.65,0.34,-0.16,19.04,-48.22,45.23
740,0.80,0.41,-0.14,10.74,-27.22,20.87
750,0.86,0.45,-0.15,-2.44,2.56,4.52
760,0.87,0.38,-0.18,-16.97,42.79,3.48
770,0.78,0.23,-0.25,-35.71,100.83,-10.25
780,0.57,0.12,-0.27,-43.70,137.27,-32.65
790,0.30,-0.01,-0.34,-47.79,163.88,-58.65
800,-0.09,-0.21,-0.42,-44.19,179.57,-92.04
810,-0.82,-0.49,-0.54,-22.58,164.18,-144.71
820,-1.58,-0.66,-0.65,-12.82,157.04,-182.37
830,-2.15,-0.75,-0.67,-12.88,133.30,-190.98
840,-2.82,-1.04,-0.57,-7.75,76.42,-142.76
850,-3.13,-1.22,-0.45,-3.05,40.28,-99.98
860,-3.23,-1.26,-0.36,1.46,10.68,-42.85
870,-2.95,-1.21,-0.33,-5.68,-9.52,31.98
880,-2.57,-1.08,-0.20,-13.37,-17.15,64.88
890,-2.19,-0.95,-0.14,-6.65,-39.73,82.64
900,-1.81,-0.79,-0.17,16.48,-78.00,92.22
910,-1.55,-0.69,-0.27,29.17,-100.89,99.61
920,-1.28,-0.57,-0.33,33.87,-117.55,101.68
930,-1.02,-0.46,-0.32,32.41,-120.54,98.57
940,-0.68,-0.28,-0.27,33.63,-120.67,94.06
950,-0.52,-0.18,-0.23,34.36,-121.58,91.98
960,-0.24,-0.06,-0.15,33.26,-113.34,82.82
970,-0.02,0.05,-0.11,36.80,-102.36,80.57
980,0.13,0.10,-0.07,36.99,-88.26,73.67
990,0.44,0.27,-0.06,31.07,-70.31,41.38
1000,0.61,0.37,-0.03,25.76,-49.38,23.68
1010,0.73,0.44,-0.10,12.45,-10.74,10.19
1020,0.76,0.44,-0.14,-5.55,32.96,4.94
1030,0.77,0.37,-0.19,-21.42,77.94,3.42
1040,0.72,0.23,-0.26,-32.47,104.86,-14.53
1050,0.48,0.02,-0.33,-43.64,140.08,-53.96
1060,-0.09,-0.31,-0.41,-51.88,172.36,-111.02
1070,-0.60,-0.50,-0.41,-41.50,178.47,-148.68
1080,-1.25,-0.66,-0.45,-21.36,174.99,-159.24
1090,-1.76,-0.72,-0.55,-7.57,152.04,-162.11
1100,-2.26,-0.80,-0.57,1.59,121.95,-150.27
1110,-2.84,-1.00,-0.63,8.91,69.82,-108.46
1120,-3.12,-1.09,-0.58,8.67,34.91,-61.58
1130,-3.07,-1.08,-0.54,1.46,8.97,-7.75
1140,-2.71,-0.98,-0.37,-12.02,-10.62,40.77
1150,-2.35,-0.86,-0.25,-10.68,-32.10,59.88
1160,-1.95,-0.74,-0.22,5.07,-65.43,72.45
1170,-1.71,-0.64,-0.27,18.98,-88.20,77.64
1180,-1.50,-0.54,-0.36,26.12,-110.90,81.85
1190,-1.24,-0.46,-0.37,27.04,-125.18,83.13
1200,-0.91,-0.33,-0.29,26.73,-135.86,78.92
1210,-0.71,-0.26,-0.23,24.96,-135.68,75.74
1220,-0.47,-0.19,-0.17,22.58,-124.69,76.66
1230,-0.28,-0.09,-0.05,23.86,-113.59,76.42
1240,-0.06,0.00,-0.07,25.09,-105.41,72.81
1250,0.19,0.09,-0.02,24.35,-84.53,59.08
1260,0.34,0.19,-0.03,20.69,-61.77,35.46
1270,0.43,0.28,-0.05,13.43,-33.26,20.20
1280,0.55,0.38,-0.11,0.98,9.22,19.10
1290,0.75,0.48,-0.19,-7.14,39.73,23.13
1300,0.77,0.39,-0.26,-9.83,54.32,6.90
1310,0.63,0.19,-0.34,-24.54,77.15,-31.25
1320,0.22,-0.14,-0.34,-53.83,133.54,-80.02
1330,-0.21,-0.32,-0.29,-64.39,176.15,-102.36
1340,-0.52,-0.35,-0.22,-59.81,195.07,-103.52
1350,-0.84,-0.50,-0.29,-44.37,197.88,-98.88
1360,-1.36,-0.64,-0.34,-26.25,195.98,-122.68
1370,-2.21,-0.83,-0.49,7.45,133.67,-149.78
1380,-2.81,-0.98,-0.65,24.90,69.03,-130.80
1390,-3.15,-1.08,-0.69,19.96,32.71,-84.29
1400,-3.22,-1.10,-0.65,1.22,21.30,-26.49
1410,-2.95,-1.04,-0.50,-16.05,0.24,34.30
1420,-2.64,-0.97,-0.38,-14.04,-31.74,53.41
1430,-2.32,-0.86,-0.34,-5.98,-62.74,64.94
1440,-2.01,-0.77,-0.34,0.85,-86.36,79.90
1450,-1.63,-0.65,-0.35,5.62,-106.38,93.51
1460,-1.35,-0.55,-0.35,8.18,-122.13,96.01
1470,-1.07,-0.45,-0.33,8.91,-135.25,92.35
1480,-0.83,-0.39,-0.24,12.63,-145.39,85.75
1490,-0.54,-0.25,-0.14,22.46,-147.52,79.04
1500,-0.26,-0.14,-0.16,26.06,-140.01,75.32
1510,-0.09,-0.04,-0.15,27.10,-120.67,75.26
1520,0.22,0.11,-0.21,15.26,-84.90,63.90
1530,0.45,0.24,-0.20,1.95,-59.51,48.71
1540,0.66,0.36,-0.13,-3.42,-43.03,30.64
1550,0.79,0.46,-0.08,-8.54,-18.86,14.34
1560,0.86,0.44,-0.07,-19.84,22.03,7.20
1570,0.75,0.30,-0.08,-36.01,72.88,5.37
1580,0.57,0.17,-0.11,-52.86,140.69,-2.50
