timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.36,-0.98,-0.46,-6.29,73.73,-168.52
10,-2.83,-1.16,-0.46,13.55,29.54,-112.37
20,-3.00,-1.27,-0.51,19.04,-9.95,-71.41
30,-3.01,-1.32,-0.48,9.64,-32.47,-31.01
40,-2.69,-1.26,-0.24,-8.24,-31.07,26.55
50,-2.29,-1.09,-0.13,-1.28,-43.27,60.67
60,-1.78,-0.89,-0.17,15.81,-73.85,81.30
70,-1.49,-0.75,-0.18,25.88,-94.54,82.52
80,-1.23,-0.64,-0.19,34.00,-112.55,82.09
90,-0.93,-0.48,-0.15,44.43,-125.85,80.38
100,-0.71,-0.37,-0.14,50.42,-126.28,84.35
110,-0.47,-0.27,-0.17,50.17,-118.59,86.24
120,-0.25,-0.12,-0.13,45.04,-101.38,84.53
130,0.02,0.02,-0.13,40.65,-83.01,82.34
140,0.21,0.12,-0.12,34.73,-68.36,70.25
150,0.37,0.18,-0.08,29.48,-49.93,47.06
160,0.49,0.31,-0.03,29.48,-34.00,20.39
170,0.48,0.30,-0.04,21.12,-12.27,5.92
180,0.37,0.17,-0.09,-3.91,35.34,5.74
190,0.27,0.10,0.00,-10.62,65.61,9.95
200,0.28,0.09,0.01,-4.46,87.04,16.85
210,0.21,0.01,-0.12,2.08,100.22,5.43
220,-0.01,-0.04,-0.35,-2.75,122.01,-16.72
230,-0.22,-0.10,-0.48,-14.28,142.64,-35.34
240,-0.44,-0.15,-0.53,-19.10,157.35,-52.19
250,-0.83,-0.27,-0.60,-24.41,151.00,-97.84
260,-1.24,-0.40,-0.65,-19.59,123.23,-129.33
270,-1.74,-0.64,-0.65,-16.42,82.95,-159.61
280,-2.41,-0.95,-0.44,-11.54,47.73,-160.95
290,-2.66,-1.07,-0.36,-12.51,24.60,-133.36
300,-2.64,-1.11,-0.18,-19.23,20.63,-94.73
310,-2.76,-1.34,-0.05,-20.51,-4.88,2.62
320,-2.51,-1.19,0.05,-27.95,-6.90,-9.58
330,-2.31,-1.12,0.22,-11.11,-40.22,5.74
340,-2.04,-1.09,0.24,17.27,-74.28,22.40
350,-1.75,-0.92,0.01,32.04,-80.26,40.71
360,-1.54,-0.81,-0.09,31.31,-75.93,58.59
370,-1.28,-0.69,-0.14,35.64,-78.80,81.18
380,-1.11,-0.60,-0.16,42.48,-86.18,88.01
390,-0.94,-0.49,-0.18,47.79,-89.66,93.93
400,-0.73,-0.39,-0.23,49.74,-87.34,104.37
410,-0.53,-0.28,-0.24,44.80,-74.77,109.74
420,-0.29,-0.14,-0.27,36.62,-57.50,111.57
430,-0.03,-0.02,-0.29,26.67,-40.04,95.70
440,0.13,0.08,-0.16,33.14,-40.41,85.94
450,0.26,0.16,-0.19,31.19,-26.18,63.90
460,0.39,0.28,-0.16,28.26,-14.04,44.49
470,0.50,0.34,-0.19,24.48,-7.02,21.91
480,0.41,0.27,-0.20,12.57,13.49,4.82
490,0.32,0.20,-0.17,-4.27,43.03,-0.43
500,0.28,0.12,-0.09,-14.59,81.36,-3.48
510,0.24,0.09,-0.14,-11.11,102.54,-12.33
520,0.14,0.05,-0.31,-8.54,117.68,-30.27
530,-0.11,-0.06,-0.50,-21.42,148.01,-58.35
540,-0.48,-0.21,-0.52,-24.35,149.84,-80.81
550,-0.93,-0.39,-0.59,-23.38,142.70,-111.57
560,-1.64,-0.66,-0.58,-19.65,116.21,-142.76
570,-2.22,-0.86,-0.44,-16.78,103.39,-139.47
580,-2.67,-0.99,-0.27,-9.64,73.18,-112.37
