timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.19,-0.57,-0.49,-45.59,165.53,-137.02
10,-1.58,-0.66,-0.56,-23.74,135.13,-130.07
20,-2.01,-0.88,-0.65,-12.15,106.69,-113.22
30,-2.46,-1.08,-0.61,-11.90,71.29,-85.69
40,-2.65,-1.19,-0.54,-9.58,39.49,-51.33
50,-2.65,-1.19,-0.45,-11.35,16.42,-19.04
60,-2.48,-1.16,-0.27,-13.49,-9.28,17.58
70,-2.28,-1.13,-0.18,-7.26,-32.10,30.03
80,-2.04,-1.04,-0.14,6.16,-57.19,33.63
90,-1.77,-0.89,-0.16,26.98,-80.81,46.14
100,-1.56,-0.76,-0.25,37.05,-91.92,60.24
110,-1.41,-0.68,-0.31,40.53,-98.27,69.89
120,-1.19,-0.56,-0.34,40.53,-108.46,76.97
130,-0.99,-0.47,-0.33,38.82,-110.05,84.78
140,-0.77,-0.37,-0.29,36.62,-108.28,90.82
150,-0.51,-0.23,-0.23,31.86,-94.91,95.28
160,-0.31,-0.16,-0.24,27.95,-81.97,97.66
170,-0.09,0.03,-0.08,26.49,-72.57,83.50
180,0.17,0.11,-0.09,36.99,-73.30,69.34
190,0.29,0.22,-0.09,34.61,-57.98,37.84
200,0.33,0.26,-0.06,29.05,-35.16,18.49
210,0.44,0.38,-0.12,18.19,6.90,24.17
220,0.57,0.43,-0.20,1.83,43.95,37.23
230,0.58,0.41,-0.23,-17.09,71.90,33.39
240,0.54,0.26,-0.21,-34.61,97.35,2.26
250,0.40,0.14,-0.23,-43.03,123.11,-35.52
260,0.13,-0.07,-0.28,-54.38,157.78,-75.74
270,-0.24,-0.29,-0.30,-56.46,181.27,-117.13
280,-0.82,-0.53,-0.42,-24.54,166.08,-146.36
290,-1.30,-0.67,-0.57,5.80,131.23,-167.85
300,-2.10,-0.94,-0.82,20.81,90.70,-184.08
310,-2.67,-1.20,-0.87,11.41,61.58,-166.02
320,-3.10,-1.42,-0.78,0.79,32.29,-119.26
330,-3.39,-1.33,-0.70,-4.52,5.86,-32.29
340,-2.68,-1.37,-0.40,-17.82,-9.34,29.97
350,-2.49,-1.17,-0.29,-24.48,-16.36,40.28
360,-2.08,-1.09,-0.14,-4.64,-57.74,69.40
370,-1.68,-0.89,-0.23,21.48,-89.05,73.55
380,-1.45,-0.75,-0.34,26.73,-102.48,78.55
390,-1.14,-0.59,-0.32,20.20,-104.74,86.55
400,-0.93,-0.48,-0.22,17.40,-105.35,88.75
410,-0.75,-0.38,-0.14,23.38,-110.60,87.10
420,-0.59,-0.32,-0.12,32.35,-112.98,84.72
430,-0.35,-0.18,-0.17,33.08,-99.06,80.44
440,-0.18,-0.02,-0.05,38.45,-93.38,82.40
450,-0.01,0.06,-0.12,39.25,-82.58,81.18
460,0.29,0.24,-0.09,26.00,-57.62,49.80
470,0.43,0.35,-0.01,24.72,-48.16,27.53
480,0.62,0.45,-0.02,25.21,-34.91,16.85
490,0.89,0.57,-0.10,15.99,8.12,20.32
500,1.04,0.56,-0.24,0.49,43.70,21.12
510,0.94,0.28,-0.30,-25.33,90.76,-5.55
520,0.49,-0.09,-0.28,-51.51,151.79,-65.00
530,0.30,-0.17,-0.32,-49.50,182.31,-82.40
540,-0.09,-0.36,-0.48,-32.65,188.42,-107.06
550,-0.79,-0.65,-0.73,-19.23,174.87,-154.66
560,-2.05,-0.98,-0.80,-15.50,150.02,-216.19
570,-2.70,-1.06,-0.79,-5.55,99.98,-192.63
580,-3.12,-1.23,-0.78,1.04,59.57,-110.23
590,-3.07,-1.20,-0.56,-9.22,38.45,-17.94
600,-3.04,-1.25,-0.44,-14.04,11.84,44.80
610,-2.59,-1.07,-0.29,-18.07,-12.39,37.48
620,-2.23,-0.94,-0.08,-4.03,-60.30,60.30
630,-1.85,-0.84,-0.05,13.00,-87.71,75.13
640,-1.55,-0.72,-0.15,22.64,-97.53,77.27
650,-1.30,-0.61,-0.20,25.15,-100.89,67.26
660,-1.17,-0.55,-0.20,28.08,-109.68,62.68
670,-1.04,-0.51,-0.21,31.74,-116.58,64.03
680,-0.82,-0.40,-0.19,31.49,-112.06,73.30
690,-0.63,-0.31,-0.21,26.25,-99.24,82.34
700,-0.44,-0.22,-0.22,19.10,-83.98,91.13
710,-0.19,-0.05,-0.09,13.61,-67.93,86.18
720,0.04,0.07,-0.11,17.40,-59.27,72.75
730,0.27,0.19,-0.10,16.36,-50.84,44.86
740,0.45,0.30,-0.02,16.78,-42.60,10.38
750,0.62,0.35,-0.08,15.99,-21.79,-2.87
760,0.67,0.38,-0.16,1.71,17.33,-9.28
770,0.67,0.31,-0.17,-32.29,83.13,-10.56
780,0.75,0.23,-0.25,-45.17,110.72,-20.14
790,0.58,0.03,-0.31,-44.19,127.69,-51.09
800,0.20,-0.22,-0.46,-42.30,151.79,-105.53
810,-0.26,-0.39,-0.51,-38.15,174.80,-132.93
820,-0.83,-0.61,-0.64,-28.32,180.18,-153.56
830,-1.49,-0.82,-0.73,-13.24,164.37,-169.92
840,-2.53,-1.18,-0.76,7.75,93.81,-164.61
850,-3.05,-1.30,-0.72,6.84,54.87,-115.60
860,-3.33,-1.05,-0.58,-8.48,49.62,-30.21
870,-2.93,-1.34,-0.32,-22.64,36.13,57.68
880,-2.82,-1.12,-0.31,-25.45,12.27,45.78
890,-2.42,-1.07,-0.17,-4.76,-50.35,69.82
900,-2.00,-0.95,-0.16,13.49,-88.50,73.12
910,-1.61,-0.78,-0.16,20.87,-99.98,70.25
920,-1.38,-0.66,-0.15,24.90,-102.48,71.35
930,-1.17,-0.57,-0.17,32.17,-110.41,73.61
940,-1.00,-0.50,-0.21,36.80,-118.23,72.39
950,-0.90,-0.43,-0.17,39.43,-117.43,72.08
960,-0.71,-0.34,-0.19,40.41,-113.34,77.27
970,-0.51,-0.23,-0.25,34.48,-98.39,83.37
980,-0.26,-0.04,-0.14,26.73,-85.33,72.08
990,-0.05,0.05,-0.17,31.74,-83.37,73.79
1000,0.21,0.20,-0.25,21.55,-68.48,44.56
1010,0.36,0.28,-0.19,12.51,-53.22,23.19
1020,0.41,0.32,-0.15,9.03,-34.30,6.23
1030,0.54,0.40,-0.19,-3.05,-0.24,0.00
1040,0.59,0.37,-0.20,-19.35,40.53,-0.67
1050,0.55,0.27,-0.21,-36.56,79.77,-10.25
1060,0.43,0.14,-0.24,-46.26,105.83,-23.32
1070,0.33,0.02,-0.28,-52.80,133.12,-37.05
1080,0.12,-0.10,-0.35,-51.70,157.96,-53.53
1090,-0.24,-0.21,-0.49,-38.33,165.47,-77.33
1100,-0.67,-0.40,-0.63,-32.04,162.17,-102.91
1110,-1.24,-0.58,-0.67,-31.31,156.80,-138.61
1120,-2.07,-0.84,-0.61,-18.19,120.06,-154.48
1130,-2.67,-1.10,-0.53,-0.06,68.54,-131.23
1140,-3.03,-1.27,-0.48,4.21,34.73,-94.48
1150,-3.31,-1.47,-0.46,0.06,15.75,-41.56
1160,-3.11,-1.44,-0.28,-5.86,-4.94,35.28
1170,-2.75,-1.22,-0.23,-8.79,-16.72,40.77
1180,-2.42,-1.10,-0.19,3.91,-50.72,66.35
1190,-1.95,-0.91,-0.28,21.30,-85.14,74.04
1200,-1.70,-0.78,-0.37,27.10,-102.84,77.27
1210,-1.47,-0.68,-0.42,28.69,-115.05,81.36
1220,-1.16,-0.50,-0.41,27.10,-120.61,86.73
1230,-0.91,-0.40,-0.40,29.72,-129.82,92.04
1240,-0.63,-0.26,-0.38,29.11,-130.13,87.71
1250,-0.27,-0.11,-0.36,26.55,-128.78,79.53
1260,-0.03,0.03,-0.18,28.69,-126.28,62.81
1270,0.09,0.10,-0.15,33.69,-122.74,54.14
1280,0.37,0.25,-0.12,17.88,-88.75,18.37
1290,0.49,0.31,-0.06,8.06,-64.64,-4.09
1300,0.59,0.35,-0.05,3.23,-43.64,-20.57
1310,0.58,0.35,-0.04,-4.64,-1.89,-18.98
1320,0.58,0.30,-0.08,-12.82,29.72,-5.19
1330,0.59,0.23,-0.13,-23.50,58.59,-1.95
1340,0.46,0.09,-0.10,-36.38,96.74,-11.54
1350,0.21,-0.05,-0.09,-47.42,147.40,-27.83
1360,0.04,-0.08,-0.19,-46.81,175.90,-32.78
1370,-0.14,-0.12,-0.31,-41.87,197.39,-36.07
1380,-0.52,-0.27,-0.52,-30.21,198.24,-61.65
1390,-0.97,-0.48,-0.63,-22.71,177.25,-108.15
1400,-1.58,-0.70,-0.69,-11.35,135.19,-160.58
1410,-2.43,-0.99,-0.65,4.27,75.01,-159.79
1420,-2.80,-1.18,-0.68,5.25,44.13,-117.37
1430,-3.12,-1.42,-0.63,-6.23,30.21,-80.20
1440,-3.33,-1.50,-0.46,-11.23,14.71,-5.68
1450,-2.81,-1.36,-0.33,-17.03,-29.91,-4.88
1460,-2.65,-1.26,-0.17,-13.61,-54.38,19.53
1470,-2.16,-1.16,-0.05,4.21,-84.72,53.89
1480,-1.83,-1.00,-0.10,18.07,-90.52,66.47
