timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.42,-0.70,-0.12,-12.45,-81.30,69.89
10,-2.08,-0.61,-0.24,-2.38,-94.91,91.67
20,-1.73,-0.50,-0.37,-2.01,-99.98,116.58
30,-1.21,-0.39,-0.37,-7.39,-105.83,136.29
40,-0.89,-0.33,-0.29,-5.74,-117.43,133.97
50,-0.62,-0.28,-0.24,1.89,-133.97,124.94
60,-0.42,-0.19,-0.25,6.96,-139.47,118.23
70,-0.13,-0.16,-0.23,2.81,-125.92,108.89
80,0.16,-0.09,-0.12,7.20,-102.48,104.13
90,0.44,0.02,-0.18,6.23,-80.99,81.18
100,0.66,0.12,-0.14,2.93,-60.06,56.03
110,0.85,0.16,-0.07,3.91,-46.14,24.96
120,0.90,0.17,-0.08,4.27,-17.27,-12.76
130,0.77,0.06,-0.11,-1.59,31.62,-21.79
140,0.64,-0.01,-0.14,-6.41,82.09,-23.86
150,0.59,-0.04,-0.17,-4.52,116.52,-23.62
160,0.41,-0.06,-0.37,0.61,139.04,-47.73
170,0.09,-0.08,-0.49,-4.52,158.94,-84.59
180,-0.38,-0.14,-0.54,-11.60,180.11,-122.80
190,-1.05,-0.17,-0.55,-9.89,180.73,-148.44
200,-1.73,-0.26,-0.64,0.06,143.55,-151.55
210,-2.24,-0.40,-0.65,3.30,105.22,-147.83
220,-2.79,-0.51,-0.63,1.71,71.53,-137.33
230,-3.30,-0.63,-0.45,-10.44,27.34,-90.15
240,-3.35,-0.73,-0.21,-18.37,6.16,-42.11
250,-3.24,-0.78,-0.13,-18.62,-11.66,-1.34
260,-2.77,-0.76,-0.14,-13.85,-36.87,53.10
270,-2.33,-0.70,-0.11,-10.80,-53.77,82.15
280,-1.93,-0.62,-0.06,-5.43,-67.32,97.47
290,-1.48,-0.51,-0.12,7.45,-88.75,103.33
300,-1.27,-0.43,-0.19,14.34,-111.02,95.09
310,-1.11,-0.37,-0.19,18.37,-122.56,87.77
320,-0.84,-0.25,-0.22,22.89,-123.29,88.26
330,-0.61,-0.17,-0.29,22.46,-115.48,90.15
340,-0.30,-0.07,-0.33,15.32,-96.31,88.38
350,-0.09,0.02,-0.21,14.77,-83.74,77.39
360,0.11,0.06,-0.24,18.86,-82.21,60.24
370,0.26,0.10,-0.27,18.25,-74.22,38.09
380,0.32,0.09,-0.23,17.76,-59.75,17.03
390,0.39,0.10,-0.28,13.24,-26.92,1.77
400,0.44,0.10,-0.33,4.64,5.49,2.87
410,0.48,0.09,-0.31,-5.49,41.63,6.10
420,0.48,0.06,-0.27,-10.93,69.09,2.38
430,0.47,0.00,-0.34,-13.06,95.09,-15.81
440,0.37,0.01,-0.36,-17.21,111.27,-38.21
450,0.27,-0.02,-0.43,-20.87,129.21,-55.79
460,-0.04,-0.08,-0.46,-23.74,165.10,-86.67
470,-0.71,-0.16,-0.38,-25.15,190.92,-133.42
480,-1.30,-0.27,-0.35,-13.18,171.75,-154.05
490,-2.03,-0.44,-0.37,3.17,123.29,-178.65
500,-2.99,-0.67,-0.39,10.13,52.12,-171.69
510,-3.42,-0.83,-0.23,3.05,13.24,-129.39
520,-3.54,-0.91,-0.08,-3.17,5.07,-69.46
530,-3.31,-0.85,-0.07,-2.50,2.69,5.68
540,-2.93,-0.75,-0.13,0.85,-12.63,46.69
550,-2.47,-0.64,-0.21,3.85,-37.54,73.12
560,-1.95,-0.51,-0.31,6.53,-61.58,93.81
570,-1.69,-0.45,-0.38,8.79,-83.98,98.57
580,-1.51,-0.41,-0.43,12.33,-110.72,97.17
590,-1.30,-0.38,-0.48,15.99,-131.04,96.31
600,-0.96,-0.29,-0.48,12.88,-140.99,98.27
610,-0.65,-0.23,-0.43,8.85,-138.12,102.60
620,-0.39,-0.18,-0.37,4.70,-125.73,105.22
630,0.02,-0.06,-0.19,5.25,-114.38,92.41
640,0.22,-0.07,-0.13,13.92,-112.67,80.87
650,0.40,0.02,-0.13,15.32,-100.59,51.64
660,0.48,0.03,-0.06,13.61,-72.57,17.09
670,0.52,0.07,-0.02,13.85,-49.44,-5.37
680,0.47,0.07,-0.00,13.79,-17.70,-12.08
690,0.40,0.06,-0.01,9.77,22.40,-6.41
700,0.43,0.06,-0.04,-1.89,92.65,17.52
710,0.52,0.10,-0.08,-6.77,137.88,22.71
720,0.57,0.12,-0.23,-2.56,154.54,-4.88
730,0.46,0.07,-0.36,-0.06,150.27,-47.85
740,0.09,-0.09,-0.49,-0.98,158.81,-101.07
750,-0.39,-0.22,-0.53,-7.20,173.77,-153.87
760,-1.23,-0.49,-0.51,-10.25,169.62,-197.02
770,-1.84,-0.59,-0.49,-6.65,140.50,-221.07
780,-2.60,-0.75,-0.57,-0.92,106.45,-213.26
790,-3.46,-0.89,-0.48,4.03,51.82,-155.94
800,-3.65,-0.76,-0.41,8.12,14.34,-90.39
810,-3.69,-1.02,-0.56,1.71,-9.64,7.69
820,-3.11,-0.75,-0.38,-21.73,-10.44,39.73
830,-2.63,-0.73,-0.22,-19.78,-49.19,87.77
840,-2.04,-0.64,-0.14,-10.38,-73.73,103.76
850,-1.70,-0.54,-0.19,1.40,-91.06,107.54
860,-1.35,-0.45,-0.33,9.09,-119.38,111.63
870,-1.10,-0.37,-0.30,11.11,-131.65,111.08
880,-0.85,-0.30,-0.28,11.84,-134.77,109.86
890,-0.55,-0.23,-0.27,13.31,-130.49,108.58
900,-0.34,-0.14,-0.24,13.55,-123.96,105.35
910,-0.09,-0.09,-0.20,9.77,-107.85,95.21
920,0.19,-0.05,-0.11,19.90,-95.89,78.98
930,0.30,0.03,-0.16,21.61,-81.67,57.13
940,0.40,0.05,-0.12,18.98,-65.86,36.50
950,0.49,0.06,-0.10,18.98,-45.10,4.33
