timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.72,-0.56,-0.26,48.34,-93.26,122.44
10,-0.51,-0.43,-0.25,42.91,-84.05,122.19
20,-0.26,-0.26,-0.19,41.87,-72.94,122.31
30,-0.02,-0.06,-0.16,39.25,-60.30,111.57
40,0.16,0.08,-0.09,47.24,-58.96,104.74
50,0.48,0.36,-0.17,44.07,-40.77,66.16
60,0.56,0.48,-0.17,29.54,-20.02,34.97
70,0.59,0.51,-0.19,4.39,14.71,12.21
80,0.54,0.49,-0.20,-32.84,65.43,0.98
90,0.47,0.37,-0.14,-45.90,88.81,-10.68
100,0.34,0.20,-0.12,-43.70,98.94,-38.70
110,0.17,0.04,-0.20,-35.95,105.35,-66.59
120,-0.11,-0.14,-0.29,-37.72,115.97,-95.40
130,-0.38,-0.38,-0.35,-48.03,123.96,-124.51
140,-0.86,-0.67,-0.31,-49.50,126.95,-162.72
150,-1.11,-0.78,-0.39,-32.71,112.18,-167.48
160,-1.48,-0.93,-0.52,-13.06,84.66,-161.68
170,-1.84,-1.11,-0.58,-2.87,56.27,-153.81
180,-2.40,-1.40,-0.53,-2.14,23.07,-132.63
190,-2.64,-1.54,-0.41,-3.78,-1.34,-90.52
200,-2.77,-1.41,-0.24,-10.86,-1.77,-36.68
210,-2.48,-1.50,-0.17,-9.83,-15.01,14.77
220,-2.23,-1.31,-0.09,-2.56,-22.77,38.51
230,-1.91,-1.21,-0.09,16.72,-48.16,70.68
240,-1.67,-1.10,-0.16,31.62,-62.44,83.92
250,-1.41,-0.96,-0.25,40.04,-71.47,98.14
260,-1.21,-0.85,-0.28,41.93,-73.73,112.12
270,-0.90,-0.67,-0.30,44.07,-74.77,133.54
280,-0.67,-0.54,-0.31,45.04,-75.87,139.10
290,-0.46,-0.38,-0.28,49.13,-77.64,136.41
300,-0.29,-0.24,-0.27,54.87,-80.81,130.19
310,0.00,0.02,-0.23,51.76,-72.69,110.96
320,0.15,0.14,-0.15,56.52,-76.48,98.88
330,0.33,0.33,-0.19,48.77,-63.48,64.88
340,0.46,0.49,-0.16,21.42,-30.88,24.48
350,0.55,0.55,-0.12,0.85,-5.68,0.98
360,0.56,0.54,-0.11,-16.48,19.53,-14.71
370,0.50,0.43,-0.12,-27.65,38.88,-28.93
380,0.40,0.21,-0.19,-42.66,61.65,-56.27
390,0.35,0.07,-0.30,-55.18,83.92,-73.97
400,0.13,-0.16,-0.47,-68.60,113.04,-99.12
410,-0.13,-0.38,-0.49,-71.47,121.77,-127.50
420,-0.61,-0.69,-0.47,-66.89,119.32,-165.04
430,-1.16,-0.99,-0.51,-58.17,104.31,-203.43
440,-1.86,-1.22,-0.42,-46.39,82.03,-191.10
450,-2.35,-1.49,-0.34,-27.16,52.92,-142.64
460,-2.67,-1.58,-0.26,-13.61,25.70,-94.85
470,-2.84,-1.76,-0.06,-6.47,17.03,21.55
480,-2.47,-1.56,-0.12,-15.63,2.32,21.36
490,-2.46,-1.39,-0.08,-23.44,8.12,18.31
500,-1.96,-1.21,0.09,10.44,-36.80,74.77
510,-1.68,-1.08,-0.06,32.59,-54.75,82.28
520,-1.52,-0.97,-0.21,38.88,-61.58,78.19
530,-1.34,-0.83,-0.28,38.94,-67.26,84.59
540,-1.16,-0.71,-0.31,43.58,-76.90,98.94
550,-0.97,-0.61,-0.30,48.46,-86.18,107.67
560,-0.79,-0.50,-0.29,51.94,-91.19,111.51
570,-0.53,-0.36,-0.26,48.95,-89.17,110.05
580,-0.35,-0.26,-0.24,43.21,-80.75,108.03
590,-0.10,-0.04,-0.13,35.77,-64.64,94.42
600,0.11,0.05,-0.08,43.52,-66.96,84.05
610,0.27,0.21,-0.10,42.05,-54.81,54.26
620,0.32,0.31,-0.04,32.29,-36.13,27.83
630,0.39,0.38,-0.02,18.07,-11.29,9.09
640,0.44,0.45,-0.04,-6.59,32.17,2.26
650,0.48,0.46,-0.09,-21.61,56.09,0.12
660,0.43,0.30,-0.20,-38.64,80.44,-20.26
670,0.29,0.13,-0.23,-46.94,101.07,-46.20
680,0.10,-0.04,-0.28,-49.68,116.64,-71.23
690,-0.18,-0.23,-0.44,-58.47,143.19,-93.69
700,-0.49,-0.42,-0.55,-62.99,150.33,-115.30
710,-0.83,-0.63,-0.64,-56.58,136.41,-141.24
720,-1.40,-0.85,-0.73,-41.99,102.17,-174.99
730,-1.76,-1.02,-0.71,-30.52,66.41,-169.25
740,-2.13,-1.24,-0.56,-23.01,32.35,-141.66
750,-2.36,-1.38,-0.43,-21.18,15.99,-99.73
760,-2.41,-1.21,-0.24,-26.12,5.80,-56.70
770,-2.38,-1.53,-0.14,-19.04,-15.93,-0.06
780,-2.23,-1.41,-0.04,-17.52,-17.40,-11.11
790,-2.07,-1.30,0.05,5.98,-45.78,26.92
800,-1.80,-1.17,0.01,28.26,-64.58,48.65
810,-1.61,-1.07,-0.12,39.37,-71.78,55.05
820,-1.47,-0.97,-0.18,43.82,-75.56,60.00
830,-1.25,-0.84,-0.22,48.10,-77.70,82.95
840,-1.05,-0.74,-0.24,51.21,-76.42,103.39
850,-0.78,-0.57,-0.27,56.09,-75.68,123.72
860,-0.57,-0.44,-0.31,54.69,-71.41,127.14
870,-0.37,-0.30,-0.30,51.88,-67.14,125.92
880,-0.17,-0.16,-0.31,48.65,-63.05,121.46
890,0.12,0.13,-0.22,40.83,-49.26,101.87
900,0.31,0.25,-0.15,40.65,-47.79,85.94
910,0.43,0.36,-0.19,30.27,-30.64,53.83
920,0.44,0.39,-0.12,3.17,5.43,17.88
930,0.40,0.35,-0.07,-14.77,34.67,0.92
940,0.31,0.26,-0.06,-27.71,67.44,-10.01
950,0.20,0.15,-0.11,-31.01,82.15,-21.18
960,0.15,0.09,-0.18,-35.40,94.18,-32.59
970,0.06,-0.01,-0.28,-41.02,112.43,-45.41
980,-0.19,-0.21,-0.37,-49.38,129.03,-77.39
990,-0.43,-0.35,-0.41,-52.92,135.99,-104.13
1000,-0.72,-0.52,-0.44,-47.49,136.78,-128.30
1010,-1.13,-0.68,-0.60,-34.73,129.27,-148.56
1020,-1.54,-0.89,-0.69,-21.85,102.66,-156.25
1030,-1.98,-1.12,-0.66,-8.42,65.73,-150.94
1040,-2.41,-1.33,-0.59,-0.67,30.15,-131.04
1050,-2.57,-1.14,-0.53,-12.76,16.42,-75.62
1060,-2.67,-1.56,-0.47,-22.77,5.80,15.87
1070,-2.41,-1.42,-0.40,-36.87,2.32,1.28
1080,-2.28,-1.33,-0.22,-24.72,-28.32,35.52
1090,-1.91,-1.18,-0.21,5.25,-60.42,73.36
1100,-1.62,-1.03,-0.35,23.13,-77.64,89.54
1110,-1.30,-0.87,-0.43,25.76,-87.89,95.83
1120,-1.09,-0.75,-0.40,26.49,-94.24,107.91
1130,-0.81,-0.62,-0.38,31.13,-100.22,121.34
1140,-0.51,-0.42,-0.33,38.88,-103.82,127.62
1150,-0.34,-0.31,-0.30,42.24,-101.20,124.39
1160,-0.14,-0.16,-0.28,39.86,-92.35,113.89
1170,0.04,-0.01,-0.20,32.96,-77.21,97.23
1180,0.23,0.12,-0.06,42.30,-75.20,80.38
1190,0.32,0.24,-0.04,41.20,-62.26,48.16
1200,0.46,0.37,-0.03,29.48,-29.54,17.88
1210,0.49,0.43,-0.04,13.79,4.46,5.80
1220,0.50,0.41,-0.07,-5.13,36.50,-4.39
1230,0.47,0.34,-0.09,-25.02,68.12,-18.31
1240,0.40,0.22,-0.25,-43.15,82.21,-42.54
1250,0.35,0.14,-0.39,-54.32,86.12,-62.19
1260,0.29,-0.00,-0.49,-66.71,105.96,-82.76
1270,-0.14,-0.41,-0.58,-75.01,143.01,-139.04
1280,-0.71,-0.65,-0.51,-61.65,148.68,-187.68
1290,-1.18,-0.86,-0.63,-33.94,120.61,-214.29
1300,-1.96,-1.24,-0.65,-7.32,83.86,-220.15
1310,-2.80,-1.62,-0.54,15.56,15.81,-170.78
1320,-3.38,-1.43,-0.61,3.91,-0.49,-80.75
1330,-2.80,-1.74,-0.27,-10.44,16.30,49.80
1340,-2.60,-1.45,-0.37,-39.25,38.45,16.05
1350,-2.36,-1.30,-0.22,-25.15,7.02,54.32
1360,-1.93,-1.13,-0.11,10.19,-42.48,87.40
1370,-1.60,-1.01,-0.32,33.63,-72.27,94.67
1380,-1.42,-0.88,-0.41,32.90,-75.38,90.52
1390,-1.20,-0.74,-0.44,34.18,-83.19,106.75
1400,-1.00,-0.63,-0.40,37.35,-97.53,118.04
1410,-0.80,-0.53,-0.34,43.76,-106.87,123.72
1420,-0.56,-0.38,-0.29,47.79,-113.28,121.34
1430,-0.37,-0.27,-0.28,47.30,-110.41,116.64
1440,-0.13,-0.09,-0.22,41.56,-97.23,97.11
1450,0.08,0.00,-0.14,48.16,-97.29,95.15
1460,0.33,0.21,-0.14,40.95,-71.35,58.59
1470,0.48,0.33,-0.09,31.07,-51.57,34.18
1480,0.55,0.39,-0.06,19.23,-26.06,12.02
1490,0.62,0.46,-0.06,3.60,9.34,5.00
1500,0.64,0.42,-0.11,-16.91,58.78,3.78
1510,0.62,0.35,-0.20,-29.11,80.51,-11.35
1520,0.47,0.12,-0.28,-41.50,102.42,-38.02
1530,0.14,-0.13,-0.33,-49.07,127.62,-79.65
1540,-0.10,-0.25,-0.40,-49.93,144.35,-93.99
1550,-0.39,-0.39,-0.49,-49.68,157.04,-106.75
1560,-0.89,-0.58,-0.63,-44.31,154.54,-134.16
1570,-1.32,-0.74,-0.69,-36.68,137.82,-155.70
1580,-1.83,-0.86,-0.69,-24.78,113.34,-154.72
1590,-2.30,-1.04,-0.66,-11.11,71.04,-106.87
1600,-2.56,-1.18,-0.59,-9.89,45.90,-71.04
1610,-2.68,-1.27,-0.52,-13.85,18.74,-47.61
1620,-2.61,-1.28,-0.36,-14.95,-14.47,-16.72
1630,-2.45,-1.27,-0.23,-12.39,-35.22,6.65
1640,-2.22,-1.21,-0.15,-2.08,-56.52,22.95
1650,-1.91,-1.10,-0.12,17.15,-84.41,35.71
1660,-1.70,-1.03,-0.14,31.74,-97.66,46.26
1670,-1.52,-0.94,-0.23,41.32,-103.21,60.79
1680,-1.32,-0.85,-0.31,45.29,-105.71,75.13
1690,-1.05,-0.70,-0.31,50.23,-107.18,94.97
1700,-0.83,-0.59,-0.32,56.82,-107.18,109.92
1710,-0.58,-0.42,-0.38,58.84,-102.66,115.17
1720,-0.32,-0.24,-0.40,50.54,-91.67,118.23
1730,-0.10,-0.13,-0.40,36.01,-78.61,108.09
1740,0.00,-0.04,-0.22,33.57,-68.18,91.98
