timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.32,-0.45,-0.39,18.62,-139.10,80.26
10,-1.09,-0.44,-0.27,20.75,-140.01,84.41
20,-0.89,-0.38,-0.23,26.67,-141.48,86.79
30,-0.73,-0.32,-0.22,30.82,-145.39,90.52
40,-0.47,-0.19,-0.25,29.42,-135.62,97.11
50,-0.16,-0.04,-0.13,15.01,-101.38,92.41
60,0.05,0.05,-0.11,19.35,-97.66,86.36
70,0.24,0.14,-0.15,18.68,-87.40,61.58
80,0.45,0.24,-0.02,16.72,-77.94,22.34
90,0.58,0.27,-0.03,20.39,-67.50,-2.75
100,0.58,0.27,-0.05,14.34,-37.48,-19.96
110,0.55,0.22,-0.08,0.00,0.55,-19.59
120,0.51,0.12,-0.17,-26.55,64.94,-5.13
130,0.51,0.07,-0.20,-39.55,113.77,0.61
140,0.51,0.08,-0.23,-34.61,136.41,-6.90
150,0.25,-0.08,-0.41,-14.95,140.99,-47.18
160,-0.29,-0.31,-0.60,-17.40,151.55,-105.59
170,-0.95,-0.44,-0.55,-28.32,169.43,-140.81
180,-1.66,-0.59,-0.50,-24.17,173.83,-140.38
190,-2.19,-0.56,-0.56,-10.68,151.00,-127.62
200,-2.60,-0.65,-0.65,-4.09,105.29,-95.15
210,-2.88,-0.73,-0.60,-8.73,65.80,-73.00
220,-3.09,-0.84,-0.35,-14.04,21.00,-30.70
230,-3.02,-0.88,-0.19,-15.87,-7.63,-1.28
240,-2.84,-0.87,-0.04,-13.98,-32.17,22.03
250,-2.56,-0.83,0.04,-4.39,-57.56,43.70
260,-2.15,-0.74,-0.02,10.56,-88.99,60.36
270,-1.85,-0.65,-0.07,16.36,-104.06,69.46
280,-1.55,-0.54,-0.12,20.32,-115.66,79.28
290,-1.26,-0.47,-0.17,22.03,-123.11,84.29
300,-0.94,-0.37,-0.18,23.50,-120.97,79.22
310,-0.73,-0.31,-0.18,28.20,-121.34,78.19
320,-0.51,-0.23,-0.19,31.31,-115.66,79.28
330,-0.25,-0.17,-0.33,24.90,-97.05,79.47
340,0.04,-0.04,-0.15,27.47,-88.56,68.24
350,0.24,0.04,-0.25,27.04,-78.80,46.88
360,0.48,0.16,-0.23,21.61,-61.77,32.29
370,0.69,0.22,-0.20,20.39,-51.88,17.15
380,0.83,0.27,-0.20,8.30,-10.01,-0.98
390,0.80,0.23,-0.18,-6.96,33.14,-5.25
400,0.76,0.15,-0.19,-19.53,74.28,-5.19
410,0.63,0.05,-0.23,-26.86,126.89,-17.33
420,0.44,-0.02,-0.32,-24.35,151.49,-36.07
430,0.12,-0.11,-0.45,-24.17,171.45,-61.28
440,-0.41,-0.26,-0.54,-32.47,191.04,-103.27
450,-1.00,-0.39,-0.54,-31.92,193.18,-135.56
460,-1.58,-0.51,-0.57,-23.07,179.08,-156.62
470,-2.12,-0.57,-0.59,-13.79,148.68,-164.37
