timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.13,-0.32,-0.47,-8.30,225.04,-91.13
10,-0.68,-0.42,-0.56,9.03,209.23,-131.59
20,-1.73,-0.62,-0.62,34.12,142.70,-200.13
30,-2.70,-0.76,-0.66,48.65,78.98,-217.29
40,-3.47,-0.86,-0.74,50.05,30.33,-175.78
50,-4.31,-0.63,-0.79,15.69,31.13,-40.16
60,-3.74,-0.97,-0.69,-11.66,44.25,46.26
70,-3.06,-0.69,-0.49,-26.92,39.43,50.29
80,-2.52,-0.65,-0.27,-12.33,-48.95,84.05
90,-2.04,-0.58,-0.25,0.92,-86.30,87.95
100,-1.76,-0.51,-0.35,5.49,-101.26,88.81
110,-1.48,-0.47,-0.38,0.43,-116.82,88.56
120,-1.31,-0.43,-0.35,-1.40,-129.94,87.46
130,-1.18,-0.41,-0.32,1.22,-134.40,92.71
140,-1.00,-0.33,-0.35,3.91,-136.05,95.64
150,-0.72,-0.24,-0.27,7.63,-146.48,96.44
160,-0.51,-0.20,-0.29,8.79,-144.47,95.83
170,-0.26,-0.08,-0.14,11.41,-143.01,80.51
180,-0.02,-0.03,-0.10,23.44,-138.31,61.71
190,0.15,0.08,-0.12,22.52,-120.24,39.25
200,0.31,0.15,-0.07,16.85,-95.21,23.99
210,0.55,0.23,-0.06,6.84,-53.96,3.66
220,0.64,0.26,-0.01,-2.08,-15.44,-1.34
230,0.74,0.29,0.01,-8.24,24.11,3.30
240,0.77,0.22,0.00,-9.83,59.81,7.75
250,0.77,0.10,-0.12,-12.76,97.96,-4.21
260,0.62,-0.01,-0.22,-14.89,128.78,-29.05
270,0.33,-0.14,-0.37,-15.50,150.88,-58.17
280,-0.20,-0.26,-0.59,-19.53,172.49,-97.41
290,-0.61,-0.31,-0.66,-22.89,182.98,-116.64
300,-1.07,-0.34,-0.70,-23.19,190.61,-130.68
310,-1.72,-0.39,-0.75,-17.15,163.21,-162.41
320,-2.41,-0.50,-0.72,-11.35,121.77,-176.27
330,-2.97,-0.65,-0.62,-7.14,61.40,-162.29
340,-3.26,-0.81,-0.39,-14.59,10.56,-93.20
350,-3.26,-0.90,-0.16,-26.18,3.66,-44.80
360,-3.14,-0.94,0.08,-28.69,-13.49,-6.53
370,-2.70,-0.86,0.20,-16.36,-37.66,40.83
380,-2.28,-0.73,0.16,-2.75,-51.82,68.60
390,-1.89,-0.57,0.03,8.36,-66.04,85.94
400,-1.60,-0.43,-0.03,14.53,-75.20,91.49
410,-1.34,-0.30,-0.16,20.32,-99.79,90.82
420,-1.14,-0.23,-0.23,26.25,-108.95,94.60
430,-0.92,-0.17,-0.35,31.62,-115.60,96.86
440,-0.63,-0.12,-0.46,31.01,-118.71,97.23
450,-0.40,-0.12,-0.51,23.19,-118.84,99.85
460,-0.15,-0.12,-0.53,9.95,-108.09,99.98
470,0.23,-0.13,-0.31,4.15,-90.64,84.23
480,0.45,-0.11,-0.26,6.10,-73.06,57.98
490,0.55,-0.10,-0.21,7.32,-55.54,33.45
500,0.63,-0.08,-0.11,3.66,-14.83,6.90
510,0.64,-0.07,-0.09,0.00,21.18,-2.14
520,0.59,-0.12,-0.05,-3.42,59.75,-4.33
530,0.52,-0.13,-0.04,-3.23,94.97,-8.79
540,0.48,-0.07,-0.09,0.00,142.82,-12.82
550,0.42,-0.01,-0.23,4.70,180.79,-22.89
560,0.10,0.03,-0.49,12.76,195.37,-64.70
570,-0.46,-0.05,-0.68,11.35,186.52,-131.90
580,-1.30,-0.25,-0.79,1.83,172.85,-207.58
590,-2.22,-0.48,-0.78,-2.93,126.59,-258.06
600,-3.29,-0.80,-0.58,3.60,46.45,-224.55
610,-3.79,-1.03,-0.48,3.48,2.32,-170.65
620,-3.76,-0.90,-0.32,-0.49,-13.18,-88.99
630,-3.32,-1.11,-0.33,-15.93,-22.64,48.16
640,-2.70,-0.86,-0.23,-31.13,-13.92,74.04
650,-2.04,-0.79,-0.08,-23.56,-53.22,118.96
660,-1.60,-0.64,-0.11,-6.53,-76.72,128.17
670,-1.31,-0.53,-0.24,7.26,-104.68,128.11
680,-1.11,-0.46,-0.28,11.54,-121.89,117.31
690,-0.87,-0.35,-0.23,16.05,-128.85,111.39
700,-0.64,-0.32,-0.21,19.41,-128.11,111.94
710,-0.45,-0.23,-0.19,20.32,-115.66,109.86
720,-0.10,-0.17,-0.12,20.57,-106.26,107.60
730,0.10,-0.08,-0.07,21.61,-93.26,88.99
740,0.17,-0.01,-0.02,25.15,-80.51,69.89
750,0.36,0.12,0.03,32.23,-58.90,53.53
760,0.57,0.22,0.00,34.42,-41.50,40.47
770,0.64,0.27,-0.04,26.06,-12.02,22.64
780,0.61,0.21,-0.04,5.07,39.79,5.13
790,0.52,0.15,0.01,-1.53,81.85,3.05
800,0.50,0.11,-0.05,3.11,113.89,2.32
810,0.48,0.12,-0.23,12.15,136.41,-6.35
820,0.20,-0.06,-0.71,14.22,145.45,-50.84
830,-0.40,-0.32,-0.90,-5.98,150.82,-116.15
840,-1.18,-0.44,-0.70,-21.97,151.06,-171.14
850,-1.66,-0.44,-0.51,-13.73,123.11,-151.12
860,-2.02,-0.46,-0.44,-8.42,110.17,-142.88
870,-2.41,-0.47,-0.35,-3.66,91.67,-128.78
880,-2.85,-0.52,-0.25,4.70,44.56,-105.83
890,-3.15,-0.60,-0.21,8.79,8.61,-73.06
900,-3.23,-0.59,-0.18,2.38,-9.28,-35.03
910,-2.86,-0.55,-0.12,-4.76,-31.13,25.82
920,-2.43,-0.51,-0.11,-3.78,-50.35,55.97
930,-2.07,-0.43,-0.11,-1.65,-69.82,68.42
940,-1.80,-0.40,-0.06,0.98,-87.04,73.91
950,-1.56,-0.39,-0.02,11.96,-101.87,81.42
960,-1.33,-0.35,-0.12,21.85,-109.86,93.57
970,-1.06,-0.29,-0.21,26.79,-106.02,106.93
980,-0.66,-0.18,-0.37,23.50,-97.29,117.00
990,-0.42,-0.12,-0.45,15.20,-86.98,119.20
1000,-0.17,-0.07,-0.47,0.24,-69.58,111.82
1010,0.08,-0.04,-0.25,0.00,-66.04,83.74
1020,0.19,-0.02,-0.22,6.90,-61.58,59.75
1030,0.33,0.03,-0.20,10.99,-51.57,41.38
1040,0.56,0.12,-0.21,10.07,-23.62,18.49
1050,0.62,0.16,-0.25,0.79,6.96,4.27
1060,0.66,0.15,-0.22,-11.41,38.64,-3.05
1070,0.68,0.08,-0.17,-25.15,81.48,-22.16
1080,0.55,-0.00,-0.16,-30.27,111.39,-51.09
1090,0.35,-0.07,-0.14,-25.51,131.10,-80.69
1100,0.05,-0.12,-0.34,-10.25,132.81,-118.29
