timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.51,0.04,-0.08,2.75,-63.54,54.87
10,0.75,0.04,0.04,8.61,-56.03,7.81
20,0.87,0.09,-0.01,17.15,-34.06,-17.70
30,0.91,0.11,-0.18,12.70,5.55,-25.57
40,0.82,0.03,-0.37,-14.34,79.41,-30.76
50,0.78,-0.01,-0.46,-30.76,120.48,-44.13
60,0.63,-0.08,-0.55,-34.30,131.23,-78.12
70,0.22,-0.21,-0.74,-41.20,132.63,-156.07
80,-0.25,-0.32,-0.90,-75.50,164.12,-226.32
90,-0.92,-0.69,-0.78,-112.24,179.93,-284.42
100,-2.14,-1.17,-0.26,-94.60,133.91,-346.19
110,-3.13,-1.30,0.41,-4.03,-12.76,-303.59
120,-3.31,-1.55,0.31,52.73,-63.48,-151.73
130,-3.58,-1.30,0.02,51.94,-28.14,1.59
140,-2.85,-1.23,-0.12,5.55,26.73,63.54
150,-2.62,-1.00,0.12,-9.40,45.10,105.65
160,-2.25,-0.88,0.07,12.45,4.82,132.93
170,-1.83,-0.63,-0.18,36.99,-38.76,149.41
180,-1.63,-0.55,-0.28,35.03,-59.94,148.32
190,-1.47,-0.47,-0.26,29.91,-72.94,148.93
200,-1.23,-0.44,-0.18,28.26,-78.67,156.68
210,-0.94,-0.37,-0.21,30.33,-83.62,155.52
220,-0.74,-0.30,-0.22,28.87,-80.57,155.82
230,-0.41,-0.20,-0.18,15.14,-61.10,150.45
240,-0.15,-0.09,-0.08,9.52,-51.33,143.92
250,0.06,-0.03,-0.02,10.50,-48.83,127.38
260,0.30,0.06,0.01,7.57,-40.28,74.46
270,0.47,0.09,0.04,10.68,-36.62,36.25
280,0.56,0.10,0.02,14.53,-25.39,2.69
290,0.64,0.09,-0.10,10.44,10.44,-13.61
300,0.75,0.09,-0.19,2.75,47.79,-5.00
310,0.85,0.01,-0.28,-6.59,89.42,-4.82
320,0.86,-0.05,-0.39,-13.55,121.34,-32.29
330,0.56,-0.24,-0.50,-9.64,129.70,-95.52
340,-0.03,-0.44,-0.58,-8.54,129.27,-151.73
350,-0.95,-0.49,-0.53,-12.82,154.24,-196.29
360,-1.66,-0.60,-0.46,-13.12,154.66,-192.75
370,-2.33,-0.63,-0.40,-3.42,132.81,-189.76
380,-2.85,-0.66,-0.51,6.04,94.12,-161.44
390,-3.43,-0.77,-0.46,8.18,44.98,-91.00
400,-3.48,-0.79,-0.42,-2.69,21.00,-33.45
410,-3.29,-0.79,-0.31,-14.77,8.00,16.72
420,-2.78,-0.68,-0.14,-13.49,-18.98,65.12
430,-2.34,-0.61,-0.13,-5.19,-43.33,90.45
440,-1.95,-0.52,-0.17,0.06,-62.56,102.54
450,-1.55,-0.45,-0.14,5.31,-87.10,100.34
460,-1.35,-0.41,-0.12,13.55,-108.58,90.52
470,-1.15,-0.36,-0.18,21.00,-121.03,85.21
480,-0.84,-0.27,-0.27,23.50,-121.52,84.59
490,-0.62,-0.18,-0.30,16.60,-108.09,88.81
500,-0.35,-0.12,-0.29,5.31,-89.23,87.59
510,-0.02,0.01,-0.17,1.04,-80.02,79.90
520,0.18,0.01,-0.11,1.40,-71.23,58.04
530,0.31,0.07,-0.07,3.66,-58.47,25.63
540,0.43,0.08,-0.08,11.29,-54.08,0.98
550,0.59,0.07,-0.18,5.19,-27.53,-20.20
560,0.63,0.05,-0.16,-5.00,12.94,-22.22
570,0.65,0.02,-0.19,-8.79,45.35,-15.20
580,0.75,0.05,-0.37,-4.76,77.76,-8.61
590,0.74,0.07,-0.59,-8.12,94.91,-19.65
600,0.66,-0.03,-0.73,-19.10,108.34,-47.06
610,0.18,-0.22,-0.76,-33.26,144.04,-97.29
620,-0.29,-0.32,-0.68,-41.63,166.32,-128.85
630,-0.93,-0.56,-0.55,-44.37,169.49,-157.35
640,-1.71,-0.74,-0.27,-31.74,146.79,-195.74
650,-2.72,-0.89,-0.13,4.46,81.42,-179.08
660,-3.28,-0.98,-0.19,15.14,55.05,-121.22
670,-3.51,-1.09,-0.27,7.57,55.24,-46.57
680,-3.37,-1.00,-0.33,-3.54,50.17,53.22
690,-2.97,-0.85,-0.24,-9.70,28.20,48.52
700,-2.78,-0.77,-0.19,-2.26,-16.17,57.50
710,-2.30,-0.66,-0.27,7.69,-55.66,81.60
720,-1.97,-0.55,-0.32,6.84,-64.82,93.69
730,-1.69,-0.47,-0.35,5.13,-81.24,92.71
740,-1.42,-0.40,-0.33,6.59,-111.82,79.90
750,-1.27,-0.38,-0.30,10.50,-133.54,71.17
760,-1.09,-0.34,-0.25,12.51,-138.73,70.86
770,-0.80,-0.26,-0.25,13.31,-136.41,78.25
780,-0.57,-0.19,-0.25,11.96,-126.59,87.28
790,-0.28,-0.07,-0.21,6.10,-106.69,82.28
800,0.05,0.01,-0.15,7.51,-95.46,78.61
810,0.26,0.09,-0.16,4.09,-78.43,55.05
820,0.48,0.13,-0.09,2.01,-66.35,30.27
830,0.57,0.08,-0.04,8.54,-49.01,-7.39
840,0.56,0.08,-0.06,10.38,-25.94,-19.41
850,0.56,0.04,-0.10,5.55,9.03,-7.39
860,0.59,0.04,-0.16,-5.43,62.62,13.61
870,0.84,0.07,-0.27,-13.37,112.06,28.63
880,0.88,0.05,-0.32,-6.53,104.49,4.39
890,0.69,-0.12,-0.52,2.75,82.40,-62.32
900,0.24,-0.27,-0.61,-14.47,127.38,-100.40
910,-0.34,-0.41,-0.53,-33.94,192.20,-125.98
920,-1.04,-0.58,-0.35,-29.91,203.13,-147.83
930,-1.93,-0.74,-0.31,-0.73,157.41,-182.80
940,-2.81,-0.91,-0.47,23.50,103.94,-190.19
950,-3.45,-0.92,-0.54,31.49,40.83,-169.19
