timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.00,-1.14,-0.09,24.11,-64.15,63.60
10,-1.69,-0.96,-0.21,43.03,-91.06,69.46
20,-1.45,-0.83,-0.27,44.80,-92.47,77.58
30,-1.26,-0.71,-0.30,44.74,-90.58,90.76
40,-0.98,-0.57,-0.32,46.81,-95.46,115.78
50,-0.78,-0.45,-0.30,49.38,-99.85,123.96
60,-0.54,-0.31,-0.28,49.87,-99.00,127.44
70,-0.29,-0.14,-0.25,44.19,-90.76,117.07
80,-0.14,-0.05,-0.27,34.67,-79.22,104.80
90,-0.02,0.06,-0.15,31.49,-73.24,86.43
100,0.19,0.11,-0.14,38.39,-72.94,49.32
110,0.17,0.12,-0.10,34.55,-57.19,14.22
120,0.18,0.13,-0.03,32.29,-46.02,-9.77
130,0.15,0.12,-0.02,21.06,-20.20,-23.56
140,0.11,0.10,-0.05,0.61,14.34,-17.15
150,0.07,0.08,-0.06,-30.40,70.07,2.14
160,0.08,0.10,-0.10,-40.28,96.68,7.26
170,0.06,0.09,-0.14,-40.59,111.82,-3.78
180,-0.05,0.09,-0.30,-42.72,131.16,-32.29
190,-0.17,0.06,-0.42,-48.89,141.91,-55.60
200,-0.37,-0.06,-0.53,-56.70,142.88,-86.12
210,-0.83,-0.34,-0.59,-62.56,123.35,-145.26
220,-1.20,-0.56,-0.57,-60.30,104.00,-189.33
230,-1.70,-0.78,-0.49,-47.55,77.15,-205.63
240,-2.12,-1.02,-0.37,-20.81,28.32,-178.71
250,-2.56,-1.43,-0.31,-4.03,-14.53,-121.64
260,-2.90,-1.80,-0.19,-4.09,-36.62,-87.46
270,-2.84,-1.85,0.16,2.81,-37.84,-0.55
280,-2.36,-1.48,0.15,-6.10,-39.12,26.25
290,-2.15,-1.32,0.19,-2.50,-32.35,82.03
300,-1.68,-1.09,0.14,13.37,-44.25,121.58
310,-1.29,-0.81,-0.08,31.86,-60.36,128.85
320,-1.11,-0.66,-0.22,41.14,-76.05,118.47
330,-0.98,-0.53,-0.27,43.33,-83.50,111.57
340,-0.77,-0.38,-0.29,43.82,-86.55,116.58
350,-0.61,-0.25,-0.29,42.60,-84.72,115.72
360,-0.43,-0.14,-0.30,38.27,-78.12,109.25
370,-0.30,-0.02,-0.29,29.42,-67.81,97.66
380,-0.13,0.10,-0.15,29.11,-67.38,79.47
390,0.05,0.18,-0.17,29.91,-65.80,56.03
400,0.12,0.21,-0.14,20.63,-51.09,29.36
410,0.16,0.23,-0.07,11.29,-27.89,2.01
420,0.12,0.20,-0.16,2.26,-1.65,-8.67
430,0.09,0.17,-0.23,-11.90,24.72,-8.73
440,0.04,0.07,-0.23,-27.22,49.26,-11.11
450,-0.07,-0.05,-0.19,-33.63,64.09,-25.82
460,-0.22,-0.17,-0.17,-32.35,71.78,-42.36
470,-0.40,-0.27,-0.16,-28.69,84.72,-55.24
480,-0.52,-0.31,-0.17,-28.99,97.23,-61.28
490,-0.67,-0.37,-0.22,-33.75,111.45,-65.37
500,-0.82,-0.37,-0.24,-38.39,121.70,-71.84
