timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.06,-0.01,-0.15,20.51,-118.84,71.90
10,0.16,0.02,-0.12,24.84,-104.19,51.51
20,0.34,0.12,-0.09,24.48,-87.10,30.03
30,0.52,0.19,-0.08,20.94,-70.31,16.85
40,0.68,0.24,-0.09,7.63,-13.92,7.02
50,0.77,0.28,-0.10,-5.19,34.85,7.51
60,0.88,0.29,-0.14,-11.41,68.91,11.84
70,0.86,0.18,-0.24,-12.21,91.06,-3.85
80,0.48,-0.04,-0.40,-25.33,133.91,-55.60
90,0.07,-0.20,-0.45,-40.04,165.59,-88.32
100,-0.40,-0.33,-0.38,-34.30,177.43,-113.65
110,-0.79,-0.41,-0.53,-13.98,161.74,-127.81
120,-1.29,-0.48,-0.70,-10.86,156.37,-153.93
130,-2.05,-0.70,-0.65,-15.63,147.89,-177.73
140,-2.72,-0.81,-0.55,-5.80,103.15,-168.15
150,-3.29,-1.01,-0.54,7.63,38.39,-92.65
160,-3.42,-1.05,-0.50,0.92,20.69,-36.50
170,-3.22,-1.03,-0.37,-7.87,-1.46,33.87
180,-2.85,-0.92,-0.25,-5.37,-27.40,54.87
190,-2.49,-0.82,-0.23,6.41,-62.01,73.85
200,-2.01,-0.69,-0.32,17.15,-98.02,90.82
210,-1.73,-0.62,-0.34,19.35,-113.34,95.70
220,-1.42,-0.52,-0.32,21.06,-130.49,97.41
230,-1.05,-0.42,-0.24,25.21,-144.47,95.95
240,-0.78,-0.33,-0.21,28.20,-144.65,96.13
250,-0.52,-0.23,-0.21,29.60,-140.26,99.91
260,-0.12,-0.05,-0.19,29.30,-126.28,95.15
270,0.11,0.05,-0.20,26.31,-109.99,87.10
280,0.36,0.11,-0.18,21.06,-94.85,68.79
290,0.64,0.22,-0.21,13.55,-72.45,43.64
300,0.90,0.29,-0.12,3.66,-41.14,13.85
310,1.01,0.29,-0.13,-2.44,-14.28,-3.30
320,0.98,0.25,-0.14,-10.19,38.15,0.24
330,0.93,0.17,-0.19,-20.87,84.66,1.71
340,0.75,0.05,-0.30,-28.93,134.52,-14.22
350,0.40,-0.05,-0.36,-27.47,156.13,-42.79
360,-0.17,-0.16,-0.50,-31.25,184.94,-85.75
370,-0.79,-0.34,-0.47,-34.55,194.70,-122.01
