timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.13,-0.53,-0.29,40.41,-100.59,65.19
10,-1.00,-0.50,-0.26,43.27,-116.15,63.05
20,-0.78,-0.45,-0.15,48.03,-123.78,69.15
30,-0.60,-0.38,-0.09,45.35,-111.45,75.62
40,-0.35,-0.22,-0.11,38.51,-88.44,84.84
50,0.02,-0.04,0.01,35.52,-70.25,91.80
60,0.28,0.23,-0.10,36.44,-52.00,70.31
70,0.50,0.42,-0.16,26.67,-31.07,57.19
80,0.85,0.68,-0.14,7.93,-1.04,34.12
90,0.95,0.70,-0.17,-7.75,21.18,6.84
100,0.92,0.55,-0.19,-28.56,53.16,-22.89
110,0.62,0.21,-0.17,-52.00,98.27,-71.04
120,0.38,0.02,-0.24,-60.79,129.15,-94.67
130,0.04,-0.21,-0.38,-63.96,148.44,-111.08
140,-0.53,-0.45,-0.57,-66.22,160.28,-139.47
150,-1.04,-0.67,-0.67,-62.44,151.55,-156.49
160,-1.59,-0.90,-0.61,-49.62,124.02,-179.93
170,-2.57,-1.33,-0.34,-14.89,67.02,-167.72
180,-2.86,-1.40,-0.25,2.75,29.79,-113.59
190,-2.85,-1.38,-0.25,0.49,21.67,-34.18
200,-2.61,-1.28,-0.20,-23.50,38.09,42.05
210,-2.35,-1.14,-0.13,-22.40,15.20,61.71
220,-2.10,-1.06,-0.04,-7.75,-24.96,63.60
230,-1.85,-0.98,0.04,16.54,-68.54,61.46
240,-1.68,-0.90,0.03,28.87,-80.20,68.42
250,-1.38,-0.72,-0.07,35.22,-81.12,81.73
260,-1.16,-0.58,-0.11,38.82,-82.09,84.23
270,-0.98,-0.48,-0.12,42.91,-88.01,77.64
280,-0.85,-0.42,-0.08,53.10,-100.10,70.25
290,-0.71,-0.38,-0.09,60.91,-101.62,68.73
300,-0.57,-0.30,-0.07,64.82,-95.40,73.06
310,-0.38,-0.21,-0.16,60.67,-80.99,75.68
320,-0.10,-0.08,-0.08,54.50,-67.75,70.43
330,0.08,0.06,-0.16,49.80,-53.53,54.26
340,0.26,0.19,-0.21,34.73,-29.36,44.13
350,0.53,0.39,-0.22,16.48,4.76,33.94
360,0.70,0.54,-0.28,4.27,29.66,26.67
370,0.78,0.55,-0.37,-11.47,48.58,11.90
380,0.76,0.43,-0.45,-32.10,73.36,-14.22
390,0.51,0.18,-0.45,-59.27,108.09,-65.86
400,0.31,0.01,-0.48,-70.98,126.34,-96.19
410,0.01,-0.21,-0.46,-77.88,150.88,-124.88
