timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.55,0.34,-0.28,46.51,-47.91,-88.68
10,-2.02,0.38,-0.33,23.62,-67.08,-123.96
20,-1.70,0.37,-0.52,14.22,-86.06,-136.41
30,-1.58,0.34,-0.70,13.61,-104.00,-138.24
40,-1.41,0.28,-0.66,23.56,-126.28,-149.35
50,-1.26,0.26,-0.58,25.21,-128.66,-167.91
60,-0.97,0.28,-0.58,26.73,-124.69,-188.78
70,-0.52,0.30,-0.46,27.40,-101.26,-204.90
80,-0.28,0.30,-0.38,28.56,-94.97,-200.26
90,-0.05,0.31,-0.27,25.63,-97.72,-190.12
100,0.24,0.25,-0.26,8.48,-81.60,-166.32
110,0.47,0.21,-0.36,-3.05,-62.44,-149.11
120,0.73,0.16,-0.40,-2.01,-38.02,-128.48
130,0.94,0.13,-0.26,6.65,-19.04,-95.09
140,1.16,0.14,-0.17,4.21,13.12,-72.02
150,1.36,0.17,-0.13,-14.28,78.80,-39.18
160,1.49,0.27,0.03,-44.25,159.36,14.40
170,1.47,0.42,0.01,-79.10,160.89,86.61
180,0.81,0.41,-0.24,-108.09,114.50,176.70
190,0.04,0.32,-0.81,-127.20,69.70,221.50
200,-0.63,0.22,-1.47,-120.97,99.00,246.03
210,-1.33,0.11,-1.54,-75.32,133.61,244.32
220,-2.07,0.08,-1.07,-18.13,104.37,236.82
230,-2.65,0.08,-0.85,2.44,49.26,248.90
240,-3.31,-0.06,-0.67,11.11,15.75,232.67
250,-3.65,-0.10,-0.62,8.54,8.12,169.43
260,-3.68,-0.14,-0.62,3.60,12.76,83.37
270,-3.19,-0.04,-0.54,9.40,-13.12,-4.76
280,-2.96,-0.01,-0.46,12.08,-47.85,-36.93
290,-2.61,-0.00,-0.61,7.51,-73.49,-83.74
300,-2.26,0.03,-0.68,9.03,-72.39,-119.69
310,-1.80,0.07,-0.75,9.70,-78.74,-146.73
320,-1.30,0.09,-0.84,22.28,-98.21,-154.91
330,-1.08,0.11,-0.75,34.79,-115.30,-153.81
340,-0.87,0.11,-0.67,37.48,-117.37,-153.75
350,-0.54,0.13,-0.60,36.44,-107.79,-157.17
360,-0.28,0.16,-0.58,35.89,-94.42,-153.44
370,-0.07,0.15,-0.49,37.84,-80.81,-141.17
380,0.12,0.15,-0.33,39.92,-73.36,-124.51
390,0.29,0.16,-0.24,33.26,-62.87,-108.83
400,0.49,0.15,-0.22,26.61,-50.96,-88.50
410,0.66,0.16,-0.12,22.09,-27.53,-65.98
420,0.95,0.16,-0.08,7.02,28.50,-45.23
430,1.28,0.21,-0.06,-4.09,92.96,-33.39
440,1.59,0.33,0.05,-19.23,142.03,-8.06
450,1.71,0.54,0.28,-50.84,155.27,70.92
460,1.60,0.73,0.08,-96.86,145.39,157.84
470,0.73,0.73,-0.40,-123.78,123.11,238.04
480,-0.43,0.70,-0.90,-134.40,108.52,284.73
490,-1.17,0.62,-1.14,-139.83,85.45,316.77
500,-1.82,0.51,-1.58,-112.61,69.82,323.79
510,-2.59,0.40,-1.75,-43.09,40.47,320.68
520,-3.36,0.27,-1.19,20.14,58.47,265.50
530,-3.83,0.18,-1.01,16.17,63.60,210.02
540,-4.07,0.09,-1.11,18.98,34.85,136.41
550,-3.76,0.12,-0.78,40.16,-11.17,26.37
560,-3.37,0.15,-0.52,45.84,-19.17,-38.94
570,-2.88,0.23,-0.27,37.48,-27.89,-92.04
580,-2.35,0.29,-0.37,11.96,-39.43,-131.77
590,-1.88,0.29,-0.80,4.52,-62.93,-148.44
600,-1.72,0.26,-0.88,16.24,-88.68,-152.22
610,-1.56,0.27,-0.87,28.56,-113.16,-157.17
620,-1.32,0.26,-0.75,41.20,-135.86,-166.32
630,-1.11,0.28,-0.60,50.48,-152.53,-168.27
640,-0.89,0.29,-0.40,45.53,-145.20,-178.10
650,-0.47,0.30,-0.43,32.78,-129.46,-188.42
660,-0.15,0.28,-0.38,28.38,-110.29,-183.96
670,0.16,0.25,-0.37,23.25,-96.62,-171.14
680,0.49,0.20,-0.38,18.13,-73.43,-146.91
690,0.70,0.18,-0.35,22.16,-63.17,-122.99
700,0.93,0.18,-0.23,30.27,-42.60,-97.84
710,1.17,0.19,-0.04,21.79,16.97,-57.74
720,1.37,0.23,-0.01,0.73,72.45,-34.55
730,1.55,0.33,0.03,-20.08,116.88,-7.51
740,1.68,0.54,0.03,-52.98,150.33,66.71
750,1.15,0.53,-0.29,-83.37,134.03,145.51
760,0.58,0.50,-0.71,-93.87,129.33,180.42
770,-0.19,0.44,-1.15,-103.76,167.66,195.31
780,-0.55,0.43,-1.25,-94.85,196.11,197.81
790,-1.08,0.41,-1.15,-90.27,160.64,228.58
800,-1.84,0.37,-1.32,-80.93,67.32,293.03
810,-3.40,0.17,-1.45,-8.18,-13.79,348.02
820,-4.31,0.02,-1.02,44.19,4.03,285.03
830,-4.51,-0.05,-0.34,44.92,58.72,120.42
840,-4.05,-0.02,-0.16,13.61,56.52,-5.00
850,-3.11,0.12,-0.42,-5.43,15.93,-61.77
860,-2.91,0.09,-0.51,0.73,-40.95,-73.24
870,-2.55,0.11,-0.52,2.75,-79.47,-115.97
880,-2.14,0.16,-0.62,0.43,-86.18,-144.35
890,-1.82,0.17,-0.70,-1.59,-98.45,-159.18
900,-1.31,0.18,-0.93,5.68,-125.85,-170.59
910,-1.11,0.18,-0.94,18.43,-139.34,-165.65
920,-0.98,0.18,-0.94,22.46,-143.55,-168.33
930,-0.71,0.21,-1.01,33.08,-141.72,-177.37
940,-0.35,0.26,-0.76,48.58,-118.23,-185.73
950,0.00,0.31,-0.57,48.65,-101.99,-186.34
960,0.34,0.31,-0.38,51.09,-90.33,-164.25
970,0.52,0.31,-0.19,51.51,-83.80,-139.47
980,0.68,0.28,-0.05,41.26,-60.85,-113.40
990,0.91,0.22,0.02,7.93,5.80,-84.23
1000,1.13,0.20,-0.06,-16.72,68.36,-72.33
1010,1.42,0.25,-0.03,-29.60,123.60,-71.53
1020,1.88,0.42,-0.05,-50.90,147.34,-9.09
1030,1.80,0.56,-0.05,-60.91,125.61,90.64
1040,1.06,0.54,-0.13,-79.04,104.25,183.41
1050,0.10,0.43,-0.42,-96.68,109.19,226.81
1060,-0.68,0.29,-0.73,-112.85,131.23,237.67
1070,-1.49,0.07,-1.06,-115.78,128.30,233.76
1080,-1.83,-0.02,-1.35,-97.72,141.66,212.83
1090,-2.43,-0.11,-1.35,-45.35,121.34,202.70
1100,-2.96,-0.13,-1.15,-17.70,69.34,205.02
1110,-3.64,-0.24,-1.20,-6.77,11.78,186.10
1120,-4.07,-0.26,-1.12,26.12,-34.79,110.35
1130,-4.05,-0.23,-0.73,45.72,-49.99,33.75
1140,-3.70,-0.14,-0.42,36.01,-45.29,-49.26
1150,-2.76,0.01,-0.62,13.18,-46.14,-137.15
1160,-2.13,0.07,-0.73,13.37,-63.90,-164.92
1170,-1.69,0.12,-0.89,17.76,-96.25,-172.36
1180,-1.44,0.15,-0.92,36.50,-149.29,-158.26
1190,-1.37,0.18,-0.84,47.49,-172.73,-158.63
1200,-1.15,0.23,-0.67,51.64,-169.31,-177.55
1210,-0.75,0.29,-0.58,46.75,-144.53,-200.81
1220,-0.02,0.36,-0.46,42.18,-99.67,-212.40
1230,0.36,0.35,-0.36,45.96,-102.17,-189.33
1240,0.62,0.32,-0.20,50.17,-109.37,-157.65
1250,0.97,0.27,-0.09,33.14,-84.72,-110.29
1260,1.19,0.22,-0.11,11.72,-34.24,-81.60
1270,1.46,0.20,-0.12,-6.77,24.35,-57.74
1280,1.78,0.26,-0.22,-25.94,91.19,-11.96
1290,1.87,0.37,-0.17,-28.75,105.41,47.55
1300,1.63,0.44,-0.09,-37.66,103.27,130.98
1310,0.70,0.39,-0.24,-62.99,98.51,208.13
1320,0.09,0.30,-0.61,-80.08,119.69,221.92
1330,-0.27,0.28,-0.77,-78.74,169.68,209.41
1340,-0.68,0.27,-0.79,-79.96,194.21,207.34
1350,-1.32,0.22,-0.84,-77.15,130.25,229.00
1360,-1.88,0.20,-1.08,-77.09,65.55,273.80
1370,-2.88,0.03,-1.27,-48.95,45.90,291.38
1380,-3.92,-0.04,-1.21,-0.37,31.49,230.77
1390,-4.26,-0.06,-0.97,24.48,17.21,159.06
1400,-4.46,-0.06,-0.67,28.87,2.50,78.43
1410,-3.99,-0.01,-0.63,19.90,-14.71,-57.92
1420,-3.00,0.14,-0.64,20.75,-15.63,-132.87
1430,-2.29,0.20,-0.59,22.83,-28.87,-168.52
1440,-1.61,0.25,-0.81,17.09,-67.75,-173.28
1450,-1.48,0.21,-0.99,27.77,-111.33,-156.74
1460,-1.44,0.19,-0.95,46.63,-139.89,-150.27
1470,-1.22,0.21,-0.71,59.63,-145.94,-173.10
1480,-0.86,0.27,-0.59,59.57,-129.94,-197.33
1490,-0.36,0.29,-0.45,56.40,-106.51,-214.78
1500,0.18,0.27,-0.36,55.73,-93.44,-197.69
1510,0.37,0.26,-0.21,57.25,-105.10,-167.48
1520,0.46,0.23,-0.05,49.99,-112.85,-130.31
1530,0.42,0.13,0.05,24.11,-105.41,-85.33
1540,0.49,0.10,0.02,1.46,-70.43,-70.37
1550,0.79,0.06,-0.09,-18.49,-4.94,-74.34
1560,1.22,0.07,-0.19,-22.52,73.12,-90.82
1570,2.00,0.24,-0.02,-25.45,174.68,-90.52
1580,2.49,0.61,0.16,-42.36,192.75,-28.63
1590,2.25,0.80,0.35,-83.37,178.22,114.93
1600,1.10,0.78,0.01,-132.93,115.84,242.31
1610,-0.30,0.57,-0.91,-166.63,61.34,306.64
1620,-1.07,0.42,-1.48,-187.93,46.20,354.92
1630,-2.43,0.08,-2.09,-54.69,72.33,327.15
1640,-2.90,-0.01,-1.19,16.36,114.32,260.25
1650,-2.99,-0.00,-0.66,27.34,118.23,192.63
1660,-3.56,-0.04,-0.60,-8.42,37.60,187.62
1670,-4.17,-0.15,-0.88,-5.25,-30.21,171.69
1680,-4.51,-0.24,-0.80,22.22,-35.83,96.98
1690,-4.14,-0.19,-0.41,37.11,-12.33,-26.37
1700,-2.52,0.01,-0.32,11.54,11.78,-142.88
1710,-1.69,0.08,-0.44,3.72,-16.24,-154.48
1720,-1.35,0.06,-0.86,5.98,-92.65,-122.80
1730,-1.41,0.02,-0.83,28.50,-140.63,-98.57
1740,-1.51,0.00,-0.65,34.55,-154.97,-102.97
1750,-1.41,-0.00,-0.81,26.49,-141.85,-127.20
1760,-0.87,0.07,-0.76,40.47,-108.64,-166.87
1770,-0.45,0.11,-0.56,48.28,-96.50,-178.83
1780,-0.04,0.17,-0.47,48.46,-95.52,-172.91
1790,0.30,0.17,-0.32,49.99,-102.78,-141.66
1800,0.43,0.18,-0.17,44.25,-89.54,-118.41
1810,0.58,0.17,-0.11,33.39,-69.58,-95.34
1820,0.77,0.15,-0.08,13.79,-22.71,-65.19
1830,0.91,0.14,-0.11,-0.12,22.40,-45.65
1840,1.09,0.15,-0.11,-6.71,70.37,-34.91
1850,1.32,0.25,0.01,-13.79,117.31,-21.42
1860,1.17,0.36,0.16,-39.18,123.05,72.02
1870,0.55,0.32,0.04,-58.23,95.28,128.48
1880,0.03,0.31,-0.10,-79.71,106.38,146.73
1890,-0.41,0.23,-0.48,-96.56,151.25,136.11
1900,-0.68,0.20,-0.60,-102.66,171.45,139.16
1910,-1.30,0.07,-0.77,-104.61,151.25,153.56
1920,-2.03,-0.13,-0.96,-99.06,138.43,155.15
1930,-2.35,-0.31,-1.11,-85.94,128.42,118.53
1940,-2.49,-0.42,-1.27,-76.35,98.08,97.47
1950,-3.03,-0.56,-1.46,-51.88,24.84,113.89
1960,-3.61,-0.65,-1.50,-24.96,-11.05,89.05
1970,-3.76,-0.67,-1.56,3.54,-11.05,18.68
1980,-2.81,-0.44,-1.09,46.33,-4.64,-84.29
1990,-2.12,-0.29,-0.76,54.75,-29.60,-98.45
