timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.20,-0.08,-0.10,-31.62,114.87,-74.10
10,-0.05,-0.21,-0.16,-18.62,116.76,-104.13
20,-0.40,-0.35,-0.37,-18.19,128.97,-126.53
30,-1.02,-0.66,-0.58,-35.58,143.74,-165.22
40,-1.74,-1.00,-0.68,-34.55,111.15,-210.02
50,-2.45,-1.21,-0.62,-12.15,52.92,-217.53
60,-2.96,-1.39,-0.57,15.38,-11.84,-142.58
70,-3.20,-1.61,-0.53,2.62,-13.18,-75.32
80,-3.03,-1.49,-0.35,-12.70,-7.81,9.58
90,-2.39,-1.17,-0.20,-23.86,-9.46,44.98
100,-2.04,-1.01,-0.06,-8.30,-35.46,78.74
110,-1.65,-0.88,-0.07,14.95,-66.53,92.47
120,-1.44,-0.78,-0.16,27.95,-84.47,87.10
130,-1.16,-0.65,-0.18,31.92,-100.40,81.67
140,-0.97,-0.57,-0.12,33.20,-104.19,80.44
150,-0.77,-0.45,-0.08,38.39,-113.16,80.20
160,-0.47,-0.34,-0.08,46.26,-107.12,86.55
170,-0.30,-0.21,-0.07,44.80,-86.79,85.39
180,-0.14,-0.11,-0.13,38.88,-70.01,87.40
190,0.05,0.06,-0.06,29.97,-48.16,83.37
200,0.22,0.09,-0.07,28.93,-39.37,74.34
210,0.33,0.17,-0.07,23.13,-21.24,46.51
220,0.37,0.21,-0.07,21.00,-8.67,23.01
230,0.46,0.28,-0.18,10.07,24.96,9.64
240,0.46,0.27,-0.26,-9.58,60.79,3.05
250,0.38,0.18,-0.29,-35.28,99.18,-15.14
260,0.24,0.07,-0.32,-46.57,118.53,-38.57
270,0.08,-0.06,-0.36,-50.60,132.32,-65.86
280,-0.17,-0.22,-0.43,-49.87,142.09,-92.83
290,-0.73,-0.50,-0.55,-40.89,128.60,-135.19
300,-1.27,-0.75,-0.51,-29.97,101.38,-169.80
310,-2.00,-0.98,-0.39,-11.47,51.39,-185.24
320,-2.44,-1.15,-0.25,-5.43,32.90,-148.99
330,-2.69,-1.22,-0.14,-7.39,31.19,-89.05
340,-2.63,-1.11,-0.09,-14.65,41.99,-28.63
350,-2.49,-1.24,-0.05,-13.37,29.91,40.59
360,-2.35,-1.05,-0.09,-8.91,11.90,33.87
370,-2.01,-0.96,-0.09,13.49,-33.75,61.28
380,-1.76,-0.87,-0.18,22.22,-50.17,66.10
390,-1.56,-0.78,-0.27,24.66,-61.28,66.65
400,-1.40,-0.72,-0.30,26.12,-74.58,65.73
410,-1.29,-0.69,-0.31,30.88,-87.89,66.16
420,-1.06,-0.57,-0.29,39.67,-103.94,77.15
430,-0.85,-0.48,-0.28,41.56,-105.10,89.78
440,-0.54,-0.35,-0.22,41.50,-99.79,97.84
450,-0.35,-0.23,-0.20,36.80,-86.91,97.78
460,-0.11,-0.09,-0.16,28.50,-69.76,92.22
470,0.05,0.04,-0.05,26.61,-57.68,88.68
480,0.28,0.14,-0.08,23.80,-40.59,62.32
490,0.45,0.31,-0.05,15.93,-19.41,40.59
500,0.57,0.40,-0.04,7.81,-0.67,23.25
510,0.58,0.41,-0.10,-11.05,34.91,-2.62
520,0.48,0.31,-0.10,-28.20,64.21,-19.53
530,0.37,0.18,-0.11,-39.67,87.77,-34.00
540,0.18,0.00,-0.14,-43.88,114.62,-56.70
550,-0.04,-0.15,-0.23,-38.57,125.31,-78.80
560,-0.36,-0.31,-0.37,-37.48,138.18,-100.83
570,-0.82,-0.48,-0.52,-36.62,143.19,-120.91
580,-1.12,-0.62,-0.62,-29.42,126.71,-138.67
590,-1.61,-0.80,-0.69,-17.82,88.75,-159.30
600,-2.31,-1.12,-0.63,-3.97,25.88,-155.94
610,-2.67,-1.26,-0.49,-9.70,15.93,-117.07
620,-2.78,-1.34,-0.36,-20.32,14.16,-57.62
630,-2.63,-1.33,-0.11,-19.41,1.53,26.31
640,-2.27,-1.21,-0.04,-15.20,-9.77,33.02
650,-2.14,-1.10,0.06,-2.20,-25.82,43.33
660,-1.83,-1.00,0.03,18.01,-47.91,65.43
