timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.32,-0.20,-1.77,-184.08,166.50,163.15
10,-1.99,-0.41,-2.11,-122.38,109.44,183.96
20,-2.62,-0.55,-1.95,-47.24,50.72,195.86
30,-3.42,-0.69,-1.65,-5.31,0.61,196.11
40,-4.11,-0.77,-1.30,21.24,-6.04,109.31
50,-3.90,-0.68,-1.11,28.26,12.88,4.09
60,-3.09,-0.47,-0.89,37.72,10.31,-72.94
70,-2.19,-0.25,-0.63,46.94,-36.25,-93.63
80,-1.91,-0.19,-0.67,38.76,-81.97,-86.98
90,-1.76,-0.18,-0.92,37.66,-109.74,-81.54
100,-1.48,-0.12,-1.02,48.52,-111.51,-95.15
110,-1.24,-0.04,-0.95,61.58,-115.48,-104.06
120,-0.93,0.02,-0.86,70.01,-123.11,-114.69
130,-0.43,0.14,-0.56,82.21,-124.63,-117.86
140,-0.25,0.16,-0.40,77.82,-126.83,-108.34
150,0.06,0.21,-0.29,71.59,-116.82,-102.60
160,0.31,0.23,-0.19,63.17,-102.54,-87.10
170,0.45,0.23,-0.06,53.41,-84.84,-61.89
180,0.59,0.24,0.06,39.55,-58.17,-48.10
190,0.65,0.21,0.06,16.36,-30.27,-31.74
200,1.02,0.26,0.03,4.46,22.95,-28.99
210,1.17,0.33,0.18,-2.44,68.79,-7.51
220,1.19,0.39,0.28,-25.33,83.62,32.78
230,1.00,0.44,0.24,-59.20,96.13,83.44
240,0.30,0.36,-0.07,-95.21,106.26,122.13
250,-0.17,0.24,-0.49,-118.10,118.65,123.72
260,-0.36,0.10,-1.02,-118.16,157.65,105.16
270,-0.51,0.02,-1.16,-104.86,180.11,111.45
280,-1.03,-0.09,-1.13,-91.00,166.02,134.95
290,-1.80,-0.27,-1.34,-93.99,109.44,164.06
300,-2.36,-0.45,-1.91,-91.98,56.27,192.08
310,-3.01,-0.57,-2.28,-22.22,0.92,192.87
320,-3.72,-0.58,-1.52,59.27,-7.02,161.93
330,-3.81,-0.44,-0.51,82.03,15.38,34.55
340,-3.24,-0.26,-0.21,50.42,16.66,-38.45
350,-2.63,-0.13,-0.29,32.47,-22.46,-66.71
360,-2.31,-0.09,-0.45,23.68,-65.73,-74.58
370,-2.16,-0.10,-0.56,23.74,-93.75,-84.11
380,-2.00,-0.10,-0.78,14.53,-100.83,-101.50
390,-1.63,-0.10,-1.19,21.67,-108.64,-128.60
400,-1.34,-0.09,-1.22,42.54,-107.48,-146.73
410,-0.85,-0.01,-1.14,61.04,-112.06,-160.10
420,-0.46,0.07,-0.97,77.82,-124.94,-156.13
430,0.02,0.18,-0.63,92.22,-134.58,-135.56
440,0.22,0.25,-0.33,92.59,-127.38,-114.87
450,0.31,0.26,-0.11,84.90,-124.88,-91.86
