timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.11,-0.09,-0.29,-59.27,151.67,-69.58
10,-0.54,-0.50,-0.24,-43.70,147.64,-134.16
20,-1.16,-0.71,-0.27,-29.91,140.56,-170.23
30,-1.68,-0.85,-0.43,-21.79,129.70,-178.41
40,-2.39,-1.04,-0.54,-18.98,112.00,-157.23
50,-2.80,-1.19,-0.61,-8.48,71.78,-123.23
60,-2.95,-1.23,-0.63,2.69,27.10,-76.78
70,-2.87,-1.23,-0.52,-1.40,-13.85,-15.32
80,-2.62,-1.15,-0.33,-11.60,-28.81,18.13
90,-2.29,-1.06,-0.17,-13.49,-42.66,44.56
100,-1.96,-0.96,-0.09,-2.62,-61.77,66.89
110,-1.58,-0.82,-0.08,20.45,-91.67,75.62
120,-1.39,-0.77,-0.12,32.59,-107.73,69.82
130,-1.20,-0.68,-0.14,40.77,-116.64,69.09
140,-0.92,-0.55,-0.15,44.07,-116.39,74.95
150,-0.70,-0.44,-0.13,44.31,-108.15,79.77
160,-0.48,-0.31,-0.12,44.01,-97.84,83.13
170,-0.20,-0.11,-0.15,41.99,-78.55,88.20
180,0.03,0.03,-0.16,34.00,-60.06,86.73
190,0.21,0.13,-0.11,35.52,-51.82,75.44
200,0.40,0.31,-0.19,30.21,-30.94,42.72
210,0.49,0.37,-0.20,15.81,-3.54,24.41
220,0.54,0.41,-0.26,-3.11,30.58,10.44
230,0.57,0.43,-0.32,-23.74,66.35,-1.46
240,0.50,0.30,-0.31,-29.17,71.78,-25.15
250,0.34,0.14,-0.28,-36.19,82.40,-56.46
260,0.21,-0.01,-0.25,-44.62,94.30,-80.87
270,-0.22,-0.29,-0.22,-57.68,138.85,-104.19
280,-0.55,-0.44,-0.21,-60.79,163.45,-118.77
290,-1.05,-0.60,-0.27,-40.59,153.14,-135.56
300,-1.61,-0.80,-0.35,-20.14,127.20,-150.33
310,-2.08,-0.96,-0.44,-2.69,90.03,-148.01
320,-2.58,-1.20,-0.44,6.96,49.62,-128.30
330,-3.00,-1.40,-0.42,-6.96,28.50,-78.12
340,-3.21,-1.40,-0.39,-15.75,20.94,-10.50
350,-2.78,-1.33,-0.32,-12.70,-6.65,21.24
360,-2.40,-1.15,-0.28,-0.49,-45.10,43.09
370,-2.05,-1.08,-0.25,12.88,-74.65,67.93
380,-1.74,-0.96,-0.28,21.85,-90.94,79.41
390,-1.48,-0.87,-0.31,26.18,-100.28,89.66
400,-1.11,-0.71,-0.33,26.92,-104.92,101.20
410,-0.85,-0.59,-0.31,24.54,-102.11,111.39
420,-0.57,-0.43,-0.23,28.75,-105.41,115.11
430,-0.29,-0.28,-0.17,39.49,-108.95,104.92
440,-0.12,-0.15,-0.14,42.66,-100.16,96.19
450,0.02,0.00,-0.04,44.68,-89.72,84.53
460,0.26,0.14,-0.07,47.73,-74.22,70.50
470,0.38,0.28,-0.09,33.08,-43.52,45.96
480,0.49,0.39,-0.08,19.17,-17.40,27.47
490,0.50,0.42,-0.11,4.76,16.48,4.88
500,0.41,0.35,-0.17,-8.18,42.48,-2.99
510,0.31,0.25,-0.20,-24.72,72.02,-6.04
520,0.22,0.18,-0.22,-35.22,95.34,-13.85
530,0.12,0.07,-0.28,-37.48,112.49,-31.56
540,-0.05,-0.09,-0.37,-45.10,135.31,-53.41
550,-0.51,-0.37,-0.40,-61.40,170.41,-86.67
560,-0.82,-0.46,-0.35,-55.42,175.72,-94.18
570,-1.09,-0.53,-0.38,-32.53,159.42,-92.90
580,-1.44,-0.59,-0.48,-16.05,138.31,-104.80
590,-1.98,-0.75,-0.48,-3.78,102.54,-108.70
600,-2.31,-0.90,-0.47,3.30,72.27,-94.06
610,-2.61,-1.07,-0.48,3.23,44.49,-78.74
620,-2.73,-1.10,-0.43,2.44,7.63,-44.92
630,-2.64,-1.09,-0.39,2.14,-20.45,-16.05
640,-2.45,-1.06,-0.34,1.28,-45.84,2.75
650,-2.10,-0.96,-0.27,5.55,-71.78,21.24
660,-1.79,-0.83,-0.27,12.88,-85.69,40.34
670,-1.56,-0.76,-0.27,21.24,-99.85,51.70
680,-1.28,-0.68,-0.27,32.41,-119.02,56.58
690,-1.13,-0.65,-0.27,39.25,-128.17,61.22
700,-0.92,-0.56,-0.24,41.87,-124.94,75.13
710,-0.65,-0.44,-0.21,39.67,-108.95,91.92
720,-0.40,-0.30,-0.21,40.77,-98.94,96.01
730,-0.25,-0.21,-0.23,41.69,-86.61,99.12
740,-0.04,-0.01,-0.27,38.02,-73.73,94.79
750,0.10,0.06,-0.19,40.65,-74.89,84.05
760,0.19,0.11,-0.19,39.06,-66.65,51.94
770,0.24,0.16,-0.12,31.37,-42.24,22.95
780,0.33,0.24,-0.11,24.41,-16.66,17.52
790,0.41,0.33,-0.15,8.61,21.18,17.21
800,0.43,0.36,-0.19,-13.49,61.89,13.43
810,0.42,0.34,-0.21,-35.34,99.06,-6.77
820,0.35,0.22,-0.22,-42.97,111.51,-34.79
830,0.19,0.06,-0.21,-43.58,115.42,-71.53
840,-0.25,-0.23,-0.23,-36.80,112.18,-125.49
850,-0.61,-0.40,-0.25,-35.83,119.08,-154.24
860,-1.12,-0.64,-0.23,-33.26,118.77,-173.83
870,-2.00,-1.07,-0.28,-32.53,108.95,-202.03
880,-2.49,-1.25,-0.29,-16.11,82.82,-169.01
890,-2.93,-1.44,-0.33,1.53,44.98,-114.32
900,-3.06,-1.52,-0.41,2.62,9.46,-37.48
910,-2.90,-1.44,-0.40,-10.13,-6.96,18.68
920,-2.58,-1.29,-0.22,-21.06,-17.46,41.99
930,-2.26,-1.14,-0.12,-12.88,-41.38,68.60
940,-1.78,-0.98,-0.12,10.01,-74.89,93.32
950,-1.49,-0.85,-0.17,20.32,-88.01,99.37
960,-1.12,-0.69,-0.19,26.49,-99.12,102.42
970,-0.87,-0.57,-0.16,30.64,-103.88,99.61
980,-0.66,-0.44,-0.15,37.48,-109.19,95.89
990,-0.44,-0.31,-0.15,43.15,-108.95,93.57
1000,-0.19,-0.14,-0.19,39.06,-92.71,91.43
1010,-0.02,0.01,-0.10,36.80,-81.36,85.21
1020,0.18,0.11,-0.12,38.70,-74.58,76.48
1030,0.36,0.28,-0.15,32.04,-52.73,44.25
1040,0.50,0.40,-0.14,24.90,-35.34,23.99
1050,0.56,0.45,-0.16,10.31,-7.20,5.92
1060,0.57,0.44,-0.21,-10.01,27.95,-2.50
1070,0.47,0.28,-0.24,-34.61,66.89,-11.35
1080,0.38,0.12,-0.25,-43.82,92.10,-23.01
1090,0.17,-0.07,-0.31,-45.72,120.42,-47.06
1100,-0.00,-0.15,-0.38,-46.33,140.63,-61.40
1110,-0.19,-0.19,-0.45,-49.26,156.80,-73.06
1120,-0.48,-0.32,-0.50,-53.41,164.67,-95.46
1130,-0.98,-0.54,-0.47,-45.17,141.17,-138.55
1140,-1.36,-0.64,-0.43,-32.47,110.66,-164.31
1150,-1.89,-0.92,-0.36,-19.90,80.51,-164.92
1160,-2.72,-1.42,-0.26,-9.70,53.04,-138.79
1170,-3.03,-0.97,-0.37,-6.96,44.56,-86.00
1180,-3.01,-1.45,-0.35,3.17,29.24,58.53
1190,-2.60,-1.12,-0.36,-20.02,23.50,10.74
1200,-2.47,-1.04,-0.23,-13.12,-18.86,27.89
1210,-2.01,-0.96,-0.09,9.34,-63.78,53.59
1220,-1.72,-0.89,-0.14,27.89,-94.67,50.17
1230,-1.55,-0.85,-0.21,32.84,-97.72,51.09
1240,-1.38,-0.75,-0.24,36.38,-102.05,61.46
1250,-1.17,-0.66,-0.27,40.28,-105.16,82.58
1260,-0.90,-0.55,-0.26,43.76,-109.86,95.58
1270,-0.70,-0.44,-0.23,46.14,-109.13,97.60
1280,-0.41,-0.29,-0.23,48.83,-109.19,93.32
1290,-0.26,-0.19,-0.18,49.99,-99.55,87.40
1300,-0.12,-0.09,-0.18,45.59,-85.39,75.93
1310,0.02,0.01,-0.11,46.33,-81.24,65.67
1320,0.20,0.16,-0.15,39.79,-63.54,48.34
1330,0.36,0.30,-0.15,19.23,-25.21,30.33
1340,0.52,0.43,-0.19,1.28,9.89,24.11
1350,0.60,0.54,-0.27,-21.97,50.23,21.18
1360,0.69,0.49,-0.34,-30.88,54.44,10.25
1370,0.55,0.22,-0.32,-41.38,65.61,-21.24
1380,0.24,-0.09,-0.22,-50.54,95.95,-71.41
1390,0.01,-0.25,-0.25,-50.72,125.98,-84.72
1400,-0.29,-0.38,-0.38,-47.73,154.36,-88.20
1410,-0.72,-0.49,-0.55,-48.03,175.42,-94.85
1420,-1.06,-0.57,-0.64,-48.77,166.26,-120.42
1430,-1.58,-0.75,-0.58,-41.56,143.98,-138.31
1440,-2.26,-0.93,-0.43,-12.76,94.67,-119.45
1450,-2.63,-1.10,-0.43,2.69,48.10,-95.95
1460,-2.86,-1.24,-0.36,4.21,13.67,-70.98
1470,-3.21,-1.32,-0.23,-5.19,0.61,-21.79
1480,-2.70,-1.34,-0.04,-8.18,-25.33,3.72
1490,-2.46,-1.15,0.01,-5.62,-36.62,21.61
1500,-2.06,-1.05,0.04,14.22,-63.66,56.70
1510,-1.74,-0.92,-0.07,29.17,-78.92,63.35
