timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.74,-0.51,-0.40,1.28,141.11,-159.42
10,-2.35,-0.58,-0.33,8.18,115.48,-152.59
20,-2.88,-0.65,-0.40,16.78,81.30,-131.90
30,-3.38,-0.60,-0.43,16.54,51.03,-70.56
40,-3.39,-0.56,-0.43,4.39,30.09,-10.25
50,-3.13,-0.54,-0.33,-6.23,10.93,31.43
60,-2.69,-0.50,-0.18,-9.40,-31.19,53.83
70,-2.35,-0.48,-0.15,-6.65,-59.27,66.47
80,-2.03,-0.47,-0.17,-2.26,-79.65,80.75
90,-1.62,-0.41,-0.23,3.54,-100.46,91.61
100,-1.35,-0.37,-0.27,6.23,-116.27,93.08
110,-1.13,-0.33,-0.28,8.24,-126.28,90.70
120,-0.87,-0.27,-0.29,10.07,-130.49,89.90
130,-0.57,-0.20,-0.28,10.80,-125.92,91.67
140,-0.39,-0.15,-0.28,10.01,-113.46,94.67
150,-0.13,-0.07,-0.28,6.90,-99.55,95.70
160,0.19,0.02,-0.18,13.61,-83.44,72.02
170,0.33,0.13,-0.24,12.76,-73.67,52.73
180,0.44,0.15,-0.20,6.47,-54.50,35.46
190,0.56,0.16,-0.14,2.38,-28.87,6.53
200,0.47,0.17,-0.15,-2.26,4.09,-4.33
210,0.46,0.13,-0.12,-6.35,41.63,3.91
220,0.40,0.06,-0.11,-8.79,88.99,3.11
230,0.31,-0.00,-0.12,-7.75,120.42,-7.75
240,0.12,-0.09,-0.17,-6.10,140.99,-29.24
250,-0.16,-0.13,-0.20,-2.93,156.80,-57.50
260,-0.40,-0.18,-0.23,3.78,163.88,-70.86
270,-0.74,-0.19,-0.29,11.35,168.95,-87.46
280,-1.10,-0.23,-0.41,15.14,162.23,-104.61
290,-1.73,-0.31,-0.53,14.47,142.70,-138.98
300,-2.33,-0.35,-0.66,15.38,110.78,-146.85
310,-2.89,-0.42,-0.71,12.76,73.06,-128.17
320,-3.32,-0.47,-0.66,-0.73,24.23,-79.28
330,-3.37,-0.53,-0.54,-14.04,2.56,-32.47
340,-3.23,-0.57,-0.32,-22.46,-21.97,6.84
350,-2.74,-0.55,-0.15,-18.31,-60.91,48.22
360,-2.35,-0.50,-0.15,-12.08,-79.53,70.68
370,-1.98,-0.44,-0.24,-5.37,-98.27,87.71
380,-1.51,-0.37,-0.28,-1.77,-121.22,95.58
390,-1.18,-0.32,-0.24,1.83,-137.63,92.53
400,-0.88,-0.26,-0.24,7.26,-152.53,82.52
410,-0.52,-0.15,-0.26,13.31,-158.14,75.26
420,-0.28,-0.07,-0.32,13.24,-144.71,77.09
430,0.02,0.00,-0.28,8.06,-122.38,71.59
440,0.41,0.10,-0.26,5.07,-92.90,57.31
450,0.61,0.17,-0.29,-0.18,-67.02,44.86
460,0.73,0.17,-0.22,-6.29,-38.02,23.93
470,0.72,0.14,-0.18,-7.51,0.49,-2.01
480,0.60,0.07,-0.20,-5.98,28.32,-8.36
490,0.57,0.02,-0.17,-2.38,54.02,-9.95
