timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.00,0.28,-0.14,-58.23,182.07,67.32
10,0.75,0.34,-0.14,-67.02,172.06,110.35
20,0.37,0.34,-0.14,-81.79,151.86,144.65
30,-0.37,0.21,-0.77,-118.84,136.90,179.08
40,-0.93,0.05,-1.29,-118.77,144.65,190.73
50,-1.56,-0.09,-1.50,-92.29,141.78,196.47
60,-2.30,-0.24,-1.36,-44.01,115.78,182.43
70,-2.79,-0.29,-1.20,-24.96,74.10,179.81
80,-3.47,-0.39,-1.15,-3.54,11.29,161.93
90,-3.85,-0.35,-0.96,17.46,-26.86,129.39
100,-4.05,-0.34,-0.69,34.18,-53.77,69.52
110,-3.80,-0.26,-0.39,32.47,-51.27,-16.72
120,-2.83,-0.10,-0.42,12.45,-35.83,-114.75
130,-2.14,-0.04,-0.49,7.45,-43.58,-144.04
140,-1.56,0.02,-0.66,7.93,-70.68,-153.99
150,-1.13,0.01,-0.74,18.86,-112.18,-139.04
160,-0.95,-0.01,-0.73,23.44,-121.70,-133.54
170,-0.75,0.01,-0.71,26.31,-117.00,-137.51
180,-0.43,0.05,-0.61,30.03,-104.19,-146.79
190,-0.07,0.10,-0.56,31.98,-90.15,-146.91
200,0.13,0.12,-0.44,39.12,-93.38,-134.46
210,0.33,0.18,-0.16,37.11,-89.17,-109.68
220,0.46,0.18,-0.09,23.07,-80.32,-90.03
230,0.56,0.17,-0.09,8.97,-68.97,-62.56
240,0.64,0.11,-0.19,-1.83,-42.54,-27.40
250,0.82,0.10,-0.19,-4.46,9.52,-13.12
260,0.93,0.10,-0.18,-7.57,77.64,4.52
270,1.01,0.20,0.08,-4.46,146.91,29.60
280,1.02,0.32,0.38,-20.14,166.63,63.35
290,0.89,0.42,0.42,-71.66,155.64,116.09
300,0.25,0.40,-0.20,-128.66,105.83,185.24
310,-0.46,0.28,-0.92,-141.66,70.86,222.84
320,-1.29,0.10,-1.37,-127.14,73.61,244.93
330,-2.30,-0.15,-1.30,-63.17,102.42,209.72
340,-2.74,-0.21,-1.10,-39.55,99.98,174.50
350,-3.22,-0.28,-1.07,-27.16,52.67,154.48
360,-3.56,-0.32,-1.10,-10.56,-0.31,125.92
370,-3.78,-0.31,-1.03,17.58,-30.70,66.77
380,-3.73,-0.26,-0.78,33.33,-36.44,6.59
390,-3.28,-0.19,-0.59,33.57,-32.78,-58.90
400,-2.53,-0.09,-0.72,28.87,-33.87,-115.36
410,-1.95,-0.03,-0.78,32.78,-42.48,-140.50
420,-1.52,0.01,-0.83,40.95,-67.02,-146.61
430,-1.10,0.05,-0.80,53.04,-109.99,-130.86
440,-1.08,0.04,-0.74,60.18,-140.20,-112.55
450,-1.09,0.05,-0.64,62.81,-153.81,-113.10
460,-0.89,0.08,-0.59,59.14,-145.94,-130.68
470,-0.42,0.11,-0.53,54.20,-116.46,-150.45
480,-0.04,0.13,-0.46,54.69,-93.57,-157.78
490,0.32,0.17,-0.32,60.00,-84.53,-149.84
500,0.68,0.21,0.00,70.98,-77.27,-123.84
510,0.90,0.24,0.26,70.07,-68.18,-96.44
520,1.09,0.25,0.54,30.09,-42.42,-41.81
530,1.14,0.22,0.46,-9.95,-11.41,1.59
540,1.04,0.17,0.32,-38.21,39.31,32.96
550,1.02,0.15,0.14,-58.29,89.97,47.97
560,1.10,0.21,-0.05,-76.60,137.76,75.13
570,0.97,0.28,-0.15,-84.17,148.01,113.83
580,0.52,0.25,-0.39,-100.71,144.41,150.94
590,-0.08,0.12,-1.15,-119.08,166.63,169.31
600,-0.49,0.01,-1.45,-114.56,204.35,174.74
610,-0.87,-0.02,-1.63,-73.00,212.04,173.77
620,-1.26,0.03,-1.17,-28.50,191.53,176.51
630,-2.04,0.16,-0.76,-27.83,97.23,222.60
640,-2.86,0.17,-0.98,-48.10,11.54,279.30
650,-3.98,0.07,-1.38,-34.36,-58.17,283.33
660,-4.71,0.01,-1.07,26.92,-48.10,166.87
670,-4.89,-0.04,-0.57,41.69,-18.49,46.20
680,-3.33,0.20,-0.34,21.00,-10.01,-107.91
690,-2.55,0.19,-0.32,13.06,-35.34,-127.99
700,-2.07,0.18,-0.39,3.60,-67.99,-143.68
710,-1.56,0.17,-0.64,-0.92,-96.68,-151.73
720,-1.24,0.10,-0.79,7.20,-112.37,-150.88
730,-1.00,0.08,-0.81,16.78,-123.90,-153.87
740,-0.81,0.07,-0.77,26.79,-130.43,-154.85
750,-0.52,0.08,-0.70,34.42,-124.63,-167.91
760,-0.06,0.14,-0.62,38.33,-96.01,-180.24
770,0.23,0.15,-0.51,44.43,-82.82,-168.64
780,0.38,0.18,-0.28,50.29,-79.96,-145.81
790,0.55,0.17,-0.04,40.53,-75.44,-116.03
800,0.73,0.16,-0.02,20.02,-50.17,-94.54
810,0.87,0.11,-0.11,-1.46,-16.72,-64.09
820,1.01,0.08,-0.12,-8.54,34.73,-25.02
830,1.04,0.08,-0.04,-11.96,75.44,2.26
840,1.05,0.14,0.04,-24.54,109.74,33.45
850,0.74,0.17,-0.05,-51.94,117.55,89.23
860,0.39,0.16,-0.23,-67.75,125.49,108.95
870,0.18,0.16,-0.47,-80.44,144.71,117.86
880,-0.24,0.11,-0.76,-101.75,183.35,125.73
890,-0.69,0.04,-1.24,-115.60,202.94,129.39
900,-1.19,-0.11,-1.43,-94.42,192.44,124.82
910,-1.38,-0.20,-1.34,-54.63,161.74,107.54
920,-1.61,-0.20,-1.09,-30.27,123.35,126.22
930,-2.26,-0.21,-0.82,-17.40,67.75,165.34
940,-3.40,-0.27,-0.78,-19.59,5.74,180.73
950,-3.89,-0.28,-0.91,-16.54,-22.58,125.12
960,-3.93,-0.26,-1.00,-8.06,-34.00,47.79
970,-3.53,-0.21,-0.98,6.41,-33.94,-24.05
980,-2.69,-0.10,-0.77,17.27,-53.10,-74.46
990,-2.26,-0.07,-0.74,13.61,-74.22,-93.20
1000,-1.84,-0.08,-0.96,8.67,-90.03,-105.96
1010,-1.52,-0.08,-1.19,26.92,-111.08,-110.53
1020,-1.32,-0.03,-1.06,47.67,-138.43,-114.07
1030,-1.15,0.00,-0.94,53.71,-154.54,-118.47
1040,-0.81,-0.00,-1.00,53.71,-148.01,-137.82
1050,-0.44,0.04,-0.92,65.00,-135.19,-149.23
1060,-0.10,0.09,-0.71,75.44,-114.81,-151.31
1070,0.22,0.13,-0.33,82.40,-104.68,-129.94
1080,0.43,0.16,-0.08,78.67,-106.08,-116.27
1090,0.65,0.18,0.07,66.16,-94.54,-98.88
1100,0.91,0.17,0.19,47.06,-51.15,-69.82
1110,1.06,0.18,0.32,28.50,-10.68,-37.78
1120,1.01,0.17,0.38,-0.31,22.71,2.44
1130,0.86,0.13,0.18,-32.41,51.70,40.89
1140,0.83,0.16,0.12,-43.70,85.69,59.02
1150,0.77,0.20,0.15,-57.43,111.27,77.27
1160,0.69,0.25,0.05,-78.25,131.41,99.30
1170,0.40,0.26,-0.28,-111.27,157.41,127.32
1180,-0.10,0.19,-0.77,-130.49,161.93,142.33
1190,-0.33,0.16,-1.16,-126.10,164.06,136.78
1200,-0.52,0.11,-1.52,-112.43,180.73,128.72
1210,-0.66,0.21,-1.69,-105.10,193.18,144.53
1220,-1.44,0.22,-1.87,-90.21,130.62,208.98
1230,-2.64,0.13,-1.77,-41.20,18.07,268.68
1240,-3.88,0.04,-1.25,40.22,-79.83,271.79
1250,-4.66,-0.09,-0.80,58.04,-48.83,207.70
