timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.62,-0.43,-0.40,-1.16,-114.87,101.01
10,-1.43,-0.42,-0.39,-2.01,-129.94,101.14
20,-1.24,-0.39,-0.42,-2.75,-140.69,99.98
30,-0.95,-0.34,-0.36,0.61,-145.08,104.31
40,-0.66,-0.30,-0.38,6.04,-140.63,110.41
50,-0.31,-0.21,-0.42,7.75,-128.91,109.19
60,0.16,-0.13,-0.42,10.38,-109.56,98.14
70,0.51,-0.05,-0.43,6.47,-92.65,67.81
80,0.75,0.00,-0.37,1.10,-77.82,34.48
90,0.90,0.00,-0.27,-1.22,-65.86,-0.37
100,0.90,-0.03,-0.14,3.85,-48.77,-31.74
110,0.80,-0.07,-0.18,6.96,-16.30,-26.43
120,0.72,-0.11,-0.21,-6.29,81.48,8.24
130,0.80,-0.09,-0.20,-11.11,140.75,24.35
140,0.92,-0.09,-0.21,-3.42,169.62,18.74
150,0.83,-0.10,-0.40,10.01,182.25,-15.50
160,0.41,-0.19,-0.66,12.63,195.86,-72.45
170,-0.31,-0.37,-0.70,6.47,220.34,-125.49
180,-1.38,-0.49,-0.61,14.71,213.01,-170.72
190,-2.58,-0.51,-0.73,29.42,147.71,-194.64
200,-3.36,-0.58,-0.83,25.45,110.11,-182.62
210,-4.04,-0.55,-0.81,10.74,85.21,-144.84
220,-4.17,-0.54,-0.71,-6.41,51.21,-64.45
230,-3.71,-0.52,-0.49,-25.33,16.05,21.79
240,-3.13,-0.48,-0.38,-33.26,-17.21,53.34
250,-2.54,-0.42,-0.25,-32.53,-53.22,73.97
260,-1.78,-0.32,-0.26,-20.57,-89.11,94.79
270,-1.27,-0.25,-0.34,-15.44,-104.37,97.78
280,-0.83,-0.16,-0.35,-16.60,-115.78,86.18
290,-0.43,-0.09,-0.27,-17.21,-122.86,62.74
300,-0.26,-0.06,-0.24,-15.56,-121.46,48.52
310,-0.15,-0.05,-0.21,-15.81,-112.12,31.25
320,-0.13,-0.08,-0.16,-10.56,-97.60,22.03
330,-0.11,-0.08,-0.18,-7.75,-82.15,16.30
340,-0.06,-0.07,-0.19,-6.71,-63.84,12.02
350,-0.05,-0.07,-0.19,-7.02,-45.59,8.61
360,-0.14,-0.09,-0.20,-10.13,-23.44,-2.01
370,-0.30,-0.12,-0.14,-11.90,-11.17,-9.28
380,-0.53,-0.16,-0.09,-9.52,3.36,-10.44
390,-0.69,-0.17,-0.07,-5.92,13.24,-6.71
400,-0.81,-0.17,-0.07,-1.83,18.55,0.73
410,-0.95,-0.15,-0.08,0.00,26.25,6.16
420,-1.04,-0.15,-0.05,0.18,28.87,9.40
430,-1.13,-0.15,-0.03,4.39,24.90,9.89
440,-1.19,-0.14,-0.03,8.24,18.43,8.12
450,-1.26,-0.12,-0.07,9.77,13.55,7.75
460,-1.30,-0.10,-0.08,6.77,17.70,13.00
470,-1.28,-0.09,-0.09,5.00,17.76,17.46
480,-1.27,-0.09,-0.10,3.72,10.13,15.99
490,-1.28,-0.09,-0.10,2.99,0.18,11.84
500,-1.27,-0.09,-0.11,2.87,-15.32,5.13
510,-1.25,-0.10,-0.13,1.65,-24.66,1.16
520,-1.22,-0.11,-0.11,-3.78,-26.06,0.85
530,-1.22,-0.16,-0.08,-4.94,-30.21,-0.43
540,-1.21,-0.20,-0.03,-1.95,-41.44,-3.05
550,-1.17,-0.22,0.00,4.46,-50.29,-1.10
560,-0.95,-0.20,-0.05,8.67,-46.51,15.08
570,-0.65,-0.15,-0.07,5.86,-26.06,32.04
580,-0.27,-0.11,-0.08,3.91,-4.33,45.96
590,0.16,-0.05,-0.10,4.46,23.07,44.56
600,0.37,-0.03,-0.09,7.20,38.82,32.17
610,0.45,-0.04,-0.06,10.86,51.64,11.11
620,0.42,-0.10,-0.03,13.61,65.55,-16.11
630,0.24,-0.08,-0.08,21.36,95.70,-41.93
640,0.24,0.03,-0.34,19.10,143.07,-32.17
650,0.29,0.15,-0.66,5.19,197.20,-32.29
660,-0.03,0.04,-0.69,-2.81,214.23,-78.12
670,-1.25,-0.34,-0.58,7.02,164.06,-172.97
680,-3.02,-0.50,-0.53,35.77,11.41,-243.71
690,-3.80,0.55,-0.40,27.47,-18.86,-179.08
700,-4.10,-0.93,-0.75,5.07,41.81,54.63
710,-3.68,-0.55,-0.12,-25.63,102.78,48.71
720,-3.01,-0.41,-0.12,-16.36,-43.27,-19.96
730,-2.79,-0.51,-0.15,1.95,-134.64,7.32
740,-2.27,-0.57,-0.13,14.95,-144.29,53.83
750,-1.60,-0.45,-0.28,14.71,-125.85,90.70
760,-1.16,-0.36,-0.25,13.55,-118.77,98.45
770,-0.96,-0.24,-0.24,21.42,-126.22,114.14
780,-0.60,-0.18,-0.33,25.39,-129.33,123.11
790,-0.36,-0.13,-0.30,19.35,-116.33,111.33
800,-0.20,-0.11,-0.21,20.81,-111.94,98.08
810,0.06,-0.10,-0.22,21.97,-104.13,62.38
820,0.24,-0.00,-0.21,19.35,-86.61,21.00
830,0.31,0.00,-0.15,19.41,-71.66,8.85
840,0.40,0.04,-0.14,23.50,-45.84,15.87
850,0.52,0.01,-0.19,21.91,3.85,36.13
860,0.63,-0.01,-0.28,12.82,42.91,38.57
870,0.65,-0.04,-0.30,1.95,83.98,31.07
880,0.68,-0.03,-0.39,-4.88,119.38,11.17
890,0.65,-0.02,-0.43,-5.13,142.03,-10.07
900,0.48,-0.09,-0.55,-2.87,160.95,-37.11
910,0.04,-0.11,-0.72,-13.37,186.46,-80.14
920,-0.43,-0.26,-0.62,-21.24,193.73,-114.20
930,-1.21,-0.38,-0.47,-11.96,182.13,-158.26
940,-2.27,-0.37,-0.59,5.62,142.27,-170.29
950,-2.88,-0.33,-0.62,2.62,120.91,-143.80
960,-3.23,-0.35,-0.59,-5.80,104.74,-99.67
970,-3.40,-0.38,-0.44,-16.11,56.70,-53.47
980,-3.38,-0.46,-0.30,-20.39,8.00,-32.90
990,-3.30,-0.51,-0.18,-20.08,-40.53,-14.65
1000,-3.05,-0.55,-0.09,-16.36,-74.83,14.83
1010,-2.45,-0.53,-0.10,-5.31,-95.64,62.81
1020,-1.94,-0.49,-0.18,1.89,-102.05,91.43
1030,-1.56,-0.45,-0.27,8.67,-116.03,99.67
1040,-1.22,-0.40,-0.33,20.20,-142.76,99.00
1050,-1.00,-0.36,-0.41,28.32,-159.85,97.96
1060,-0.78,-0.31,-0.49,33.33,-164.43,103.76
1070,-0.31,-0.23,-0.55,32.53,-140.50,116.52
1080,0.05,-0.16,-0.54,29.24,-119.81,115.11
1090,0.45,-0.05,-0.52,24.41,-103.64,91.86
1100,0.84,0.05,-0.41,21.97,-88.81,49.99
1110,1.00,0.10,-0.35,22.58,-72.75,14.71
1120,1.03,0.12,-0.37,15.38,-39.98,-6.59
1130,0.95,0.07,-0.32,-6.84,36.44,-6.47
1140,0.88,-0.01,-0.27,-18.80,98.27,-4.27
1150,0.81,-0.05,-0.30,-18.13,138.92,-13.67
1160,0.65,-0.12,-0.45,-15.20,146.00,-41.20
1170,0.15,-0.20,-0.54,-13.92,152.16,-96.74
1180,-0.48,-0.27,-0.58,-16.36,169.86,-135.19
1190,-1.13,-0.24,-0.52,-16.11,174.26,-150.21
1200,-1.97,-0.29,-0.48,-15.87,171.08,-143.62
1210,-2.61,-0.33,-0.35,-10.38,136.72,-132.51
1220,-3.13,-0.38,-0.31,-2.14,86.61,-116.58
1230,-3.56,-0.43,-0.32,-4.52,35.03,-60.67
