timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.95,-0.44,-0.17,14.71,-130.13,100.65
10,-0.72,-0.34,-0.16,14.16,-119.69,109.31
20,-0.43,-0.30,-0.19,12.02,-108.09,118.84
30,-0.02,-0.10,-0.04,25.33,-96.07,115.17
40,0.20,-0.04,-0.08,33.51,-86.79,102.72
50,0.41,0.08,-0.13,32.96,-65.25,75.81
60,0.70,0.17,-0.05,31.98,-35.10,43.33
70,0.83,0.23,0.00,32.41,-13.24,14.95
80,0.95,0.27,-0.10,29.17,2.50,-4.70
90,0.86,0.19,-0.20,14.34,44.19,-18.74
100,0.76,0.10,-0.24,-1.59,85.82,-29.24
110,0.57,-0.01,-0.37,-22.89,130.43,-42.24
120,0.35,-0.14,-0.42,-43.15,188.35,-48.46
130,-0.04,-0.29,-0.38,-42.24,230.65,-70.43
140,-0.46,-0.44,-0.37,-13.00,217.10,-101.75
150,-1.05,-0.50,-0.47,28.69,158.02,-155.27
160,-2.00,-0.56,-0.80,62.68,58.17,-212.77
170,-2.72,-0.63,-0.98,45.41,15.38,-209.96
180,-3.32,-0.70,-0.88,12.57,20.20,-156.68
190,-3.26,-0.65,-0.46,-24.60,32.96,-56.70
200,-3.27,-0.99,-0.33,-32.04,27.83,35.34
210,-2.79,-0.83,-0.19,-37.90,19.35,30.03
220,-2.44,-0.81,-0.04,-22.52,-26.37,72.27
230,-2.02,-0.74,-0.09,-8.54,-49.26,78.98
240,-1.75,-0.66,-0.19,1.34,-68.48,82.58
250,-1.48,-0.56,-0.28,2.14,-95.95,79.47
260,-1.29,-0.51,-0.24,4.76,-111.51,79.04
270,-1.11,-0.45,-0.22,10.99,-121.83,80.93
280,-0.94,-0.37,-0.27,14.83,-124.27,85.21
290,-0.67,-0.28,-0.28,13.06,-102.29,98.45
300,-0.46,-0.20,-0.29,8.00,-88.44,104.92
310,-0.18,-0.09,-0.19,16.05,-81.12,105.96
320,0.13,-0.02,-0.26,23.80,-74.16,101.01
330,0.35,0.09,-0.25,19.04,-55.73,76.23
340,0.54,0.17,-0.23,12.27,-41.08,54.44
350,0.74,0.23,-0.16,4.70,-13.00,26.55
360,0.81,0.25,-0.10,5.25,11.78,14.77
370,0.85,0.26,-0.08,6.77,39.79,11.90
380,0.86,0.17,-0.23,-3.23,102.17,7.63
390,0.78,0.12,-0.26,-16.97,166.50,-10.19
400,0.62,0.01,-0.35,-27.22,210.14,-35.22
410,0.05,-0.23,-0.39,-19.65,215.52,-97.23
420,-0.56,-0.42,-0.49,-1.77,172.00,-155.40
430,-1.33,-0.57,-0.54,12.57,136.17,-197.63
440,-2.15,-0.69,-0.70,7.39,109.50,-207.21
