timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.95,0.10,0.04,2.69,-2.99,-27.83
10,1.04,0.08,-0.01,-6.47,35.58,-9.70
20,1.21,0.11,-0.00,-7.51,78.55,3.78
30,1.38,0.20,0.18,-15.26,128.54,45.35
40,1.08,0.22,0.30,-39.12,139.71,102.72
50,0.65,0.17,0.13,-72.02,157.71,129.21
60,0.20,0.12,-0.38,-97.47,173.52,138.92
70,-0.13,0.12,-0.69,-101.20,180.36,146.36
80,-0.53,0.16,-1.02,-97.72,174.19,171.88
90,-1.36,0.14,-1.26,-97.17,144.29,217.35
100,-2.70,0.15,-1.39,-48.28,132.87,233.76
110,-3.52,0.16,-1.01,-7.93,85.14,204.83
120,-4.02,0.13,-0.85,-7.51,27.95,161.01
130,-4.10,0.08,-1.04,-25.33,-0.49,97.35
140,-3.97,0.01,-1.44,-25.33,-7.39,30.52
150,-3.33,0.02,-1.21,12.88,-9.83,-52.67
160,-2.65,0.08,-0.88,27.65,-32.84,-90.03
170,-2.09,0.11,-0.61,27.28,-63.05,-109.19
180,-1.64,0.12,-0.57,18.19,-93.51,-116.52
190,-1.32,0.12,-0.62,13.06,-132.14,-114.44
200,-1.27,0.10,-0.64,14.53,-166.26,-109.31
210,-1.27,0.07,-0.62,15.01,-184.20,-117.25
220,-1.04,0.10,-0.66,17.82,-182.56,-142.82
230,-0.49,0.12,-0.63,18.92,-140.93,-175.72
240,-0.05,0.14,-0.55,23.25,-109.86,-181.82
250,0.31,0.14,-0.42,34.91,-99.61,-175.29
260,0.61,0.15,-0.21,46.14,-90.82,-153.44
270,0.93,0.14,0.05,45.78,-62.87,-113.59
280,1.06,0.08,0.24,25.39,-18.68,-81.54
290,1.17,0.01,0.21,-11.17,19.59,-39.31
300,1.21,-0.07,-0.04,-34.79,72.20,6.59
310,1.25,-0.03,-0.01,-35.03,108.15,38.27
320,1.08,-0.00,-0.03,-37.29,118.65,84.53
330,0.56,-0.01,-0.12,-48.65,130.80,124.51
340,0.24,0.01,-0.28,-62.32,159.67,133.73
350,-0.12,-0.02,-0.58,-77.58,182.80,135.68
360,-0.69,-0.09,-1.04,-74.95,178.34,139.53
370,-1.05,-0.11,-1.36,-61.16,176.70,133.73
380,-1.43,-0.09,-1.27,-29.97,212.77,113.04
390,-1.77,-0.01,-1.15,-21.73,150.45,127.50
400,-2.25,0.08,-1.08,-21.61,56.64,184.94
410,-3.28,0.07,-1.27,-21.12,-34.79,253.05
420,-4.34,-0.02,-1.37,11.35,-75.62,237.18
430,-4.86,-0.08,-1.03,44.01,-60.91,130.80
440,-3.84,0.04,-0.63,39.55,-7.26,-60.18
450,-2.73,0.13,-0.53,28.20,7.20,-116.82
460,-2.06,0.14,-0.51,20.32,-31.86,-129.33
470,-1.49,0.06,-0.74,14.28,-93.38,-120.79
480,-1.26,-0.03,-0.98,17.58,-112.37,-117.37
490,-1.04,-0.05,-0.98,32.90,-114.32,-124.88
500,-0.84,-0.04,-0.84,43.40,-115.42,-132.87
510,-0.35,0.03,-0.71,57.74,-115.36,-148.99
520,0.03,0.09,-0.58,59.75,-108.34,-147.46
530,0.33,0.13,-0.44,64.09,-94.36,-133.85
540,0.52,0.18,-0.09,71.47,-94.30,-104.49
550,0.61,0.21,0.16,59.08,-88.07,-77.45
560,0.65,0.18,0.23,27.04,-69.09,-49.80
570,0.71,0.09,0.04,-5.80,-22.83,-26.37
580,0.75,0.05,0.02,-9.34,21.12,-16.17
590,0.85,0.05,0.16,-10.31,65.55,-9.58
600,1.01,0.12,0.34,-23.62,116.76,6.35
610,1.04,0.18,0.37,-53.65,133.12,47.30
620,0.63,0.10,0.00,-88.99,138.79,96.50
630,0.22,0.00,-0.57,-102.97,172.67,107.42
640,-0.16,-0.06,-0.99,-101.44,195.74,115.60
650,-0.50,-0.08,-1.27,-82.46,190.06,118.90
660,-0.70,-0.01,-1.44,-55.05,176.88,126.16
670,-1.64,0.05,-1.30,-25.09,140.01,176.82
680,-2.48,0.01,-1.21,-22.03,51.88,221.19
690,-3.47,-0.10,-1.19,-16.30,-20.02,232.12
700,-4.50,-0.36,-1.46,-17.15,-46.02,157.90
710,-4.44,-0.39,-1.57,6.71,-7.75,29.36
720,-3.40,-0.21,-1.06,32.59,26.55,-75.44
730,-2.48,-0.07,-0.70,36.19,7.63,-102.42
740,-1.79,-0.04,-0.63,25.70,-74.28,-86.43
750,-1.58,-0.04,-0.78,19.71,-108.40,-76.72
760,-1.55,-0.08,-0.91,21.97,-129.46,-75.32
770,-1.28,-0.08,-0.91,32.35,-144.71,-95.89
780,-1.00,-0.05,-0.85,38.76,-149.41,-106.14
790,-0.71,-0.02,-0.82,44.62,-151.79,-114.20
800,-0.43,0.01,-0.67,53.47,-149.96,-115.36
810,-0.17,0.04,-0.41,55.91,-132.93,-109.86
820,0.04,0.08,-0.23,54.26,-119.57,-105.96
830,0.26,0.10,-0.10,48.83,-114.01,-99.06
840,0.54,0.14,0.07,39.37,-93.26,-80.14
850,0.64,0.14,0.17,24.66,-75.68,-52.43
860,0.64,0.08,0.13,-0.49,-41.69,-25.94
870,0.79,0.03,0.01,-19.78,27.04,-18.98
880,1.01,0.04,0.01,-23.93,78.67,-17.33
890,1.17,0.10,0.07,-30.15,115.17,1.83
900,1.03,0.15,-0.04,-57.37,128.54,70.74
910,0.52,0.09,-0.34,-70.43,144.53,102.23
920,0.11,0.06,-0.62,-69.21,178.10,99.30
930,-0.12,0.09,-0.70,-74.22,220.03,77.58
940,-0.13,0.18,-0.88,-80.20,207.64,88.38
950,-0.68,0.13,-1.26,-94.67,150.33,141.42
960,-1.53,0.03,-1.69,-85.27,95.21,202.76
970,-2.96,-0.17,-1.61,-20.26,37.54,231.69
980,-3.71,-0.27,-1.34,11.47,11.23,203.49
990,-4.22,-0.33,-1.12,19.90,-7.75,147.77
1000,-4.24,-0.30,-0.85,25.76,-17.46,40.53
1010,-3.50,-0.15,-0.55,28.02,-4.64,-48.34
1020,-2.61,-0.03,-0.39,23.38,-11.90,-93.14
1030,-1.92,-0.01,-0.46,7.08,-49.01,-96.50
1040,-1.72,-0.05,-0.77,-5.00,-80.02,-95.70
1050,-1.64,-0.10,-1.05,4.39,-112.98,-88.26
1060,-1.72,-0.16,-1.17,22.52,-140.08,-89.29
1070,-1.39,-0.13,-1.07,42.54,-140.50,-125.12
1080,-1.00,-0.06,-0.96,49.74,-130.43,-147.03
1090,-0.58,-0.02,-0.82,56.15,-132.02,-153.44
1100,-0.19,0.01,-0.77,60.61,-130.55,-145.75
1110,0.06,0.06,-0.65,67.26,-113.16,-135.56
1120,0.36,0.15,-0.34,82.21,-102.05,-127.87
1130,0.55,0.23,-0.01,88.07,-95.03,-114.62
1140,0.75,0.28,0.26,81.67,-90.58,-97.90
1150,1.00,0.31,0.51,57.43,-57.31,-77.58
1160,1.18,0.32,0.55,2.81,-7.32,-25.45
1170,1.08,0.27,0.45,-29.97,34.30,10.19
1180,1.09,0.24,0.33,-50.29,84.23,19.90
1190,1.23,0.34,0.40,-75.38,143.01,37.78
1200,1.23,0.42,0.26,-100.89,140.32,77.58
1210,0.80,0.36,-0.10,-127.32,136.90,122.80
1220,-0.02,0.17,-0.82,-143.92,168.70,143.07
1230,-0.34,0.07,-1.15,-139.59,199.83,130.68
1240,-0.58,-0.01,-1.35,-130.07,223.57,114.50
1250,-0.63,-0.00,-1.54,-117.19,202.09,128.11
1260,-1.71,-0.03,-1.93,-111.39,64.88,265.56
1270,-3.33,-0.20,-2.36,-32.35,-57.25,340.33
1280,-4.98,-0.47,-1.52,64.51,-84.05,265.26
1290,-4.90,-0.46,-1.06,65.73,0.73,89.54
1300,-3.92,-0.26,-0.87,49.62,72.45,-48.89
1310,-2.77,-0.05,-0.61,54.63,57.92,-92.41
1320,-2.14,0.03,-0.34,54.26,-34.42,-71.53
1330,-2.05,0.02,-0.36,42.36,-82.95,-60.91
1340,-1.95,-0.02,-0.55,24.35,-87.77,-81.48
1350,-1.59,-0.01,-0.85,26.12,-102.23,-108.95
1360,-1.32,0.03,-0.77,41.08,-127.62,-116.52
1370,-1.14,0.05,-0.56,49.01,-152.59,-116.46
1380,-0.77,0.09,-0.41,45.17,-161.50,-124.69
1390,-0.64,0.06,-0.40,30.70,-164.25,-121.03
1400,-0.43,0.06,-0.48,22.16,-155.76,-122.44
1410,-0.18,0.05,-0.44,22.83,-135.44,-115.54
1420,-0.02,0.02,-0.41,24.96,-122.01,-111.21
1430,0.27,0.04,-0.31,27.89,-99.67,-114.87
1440,0.60,0.05,-0.21,28.81,-69.76,-112.30
1450,1.03,0.08,-0.10,27.34,-19.53,-91.06
1460,1.22,0.13,0.06,20.02,31.19,-66.47
1470,1.36,0.20,0.19,-5.25,78.12,-22.64
1480,1.39,0.26,0.22,-31.98,110.84,12.70
1490,1.30,0.32,0.08,-63.60,128.97,54.99
1500,0.81,0.27,-0.33,-86.06,124.69,103.39
1510,0.05,0.15,-0.72,-82.70,137.51,132.69
1520,-0.53,0.04,-0.94,-82.52,160.71,132.63
1530,-0.95,-0.08,-0.96,-80.93,195.25,108.83
1540,-1.08,-0.17,-0.90,-78.92,223.02,81.30
1550,-1.26,-0.26,-1.07,-87.28,190.61,109.37
1560,-1.72,-0.37,-1.30,-94.12,125.79,161.25
1570,-3.01,-0.54,-1.57,-55.05,58.65,208.01
1580,-3.67,-0.61,-1.28,4.52,20.08,151.00
1590,-3.68,-0.55,-0.75,26.06,27.22,69.76
1600,-3.16,-0.44,-0.51,9.28,11.11,-1.95
1610,-2.91,-0.40,-0.75,7.93,-28.56,-14.71
1620,-2.78,-0.37,-0.67,20.20,-68.05,-29.42
1630,-2.56,-0.35,-0.71,16.11,-82.52,-64.27
1640,-2.00,-0.31,-0.99,13.85,-93.75,-102.48
1650,-1.61,-0.28,-1.14,25.76,-123.47,-111.51
1660,-1.29,-0.25,-1.16,51.45,-166.81,-103.03
1670,-1.12,-0.19,-0.98,64.27,-180.85,-99.43
1680,-0.92,-0.12,-0.82,65.31,-184.63,-103.88
1690,-0.64,-0.07,-0.95,58.72,-176.51,-111.15
1700,-0.23,0.02,-0.81,65.12,-143.01,-117.37
1710,0.10,0.08,-0.68,68.91,-121.28,-117.86
1720,0.40,0.12,-0.50,74.52,-115.30,-103.52
1730,0.69,0.19,-0.19,78.37,-106.51,-75.68
1740,0.70,0.24,0.09,69.27,-94.30,-42.18
1750,0.56,0.21,0.23,43.95,-91.13,-8.91
1760,0.64,0.21,0.17,22.77,-66.65,0.37
1770,0.68,0.22,0.28,4.39,6.10,5.49
1780,0.85,0.24,0.26,-10.74,69.40,-1.28
1790,1.01,0.30,0.37,-21.42,134.34,-2.81
1800,1.24,0.46,0.54,-58.78,168.27,20.32
1810,1.22,0.51,0.27,-108.15,149.29,81.54
1820,0.42,0.37,-0.29,-139.28,158.51,136.90
1830,-0.10,0.19,-0.88,-157.65,188.42,136.72
1840,-0.53,-0.02,-1.25,-161.62,215.64,137.02
1850,-0.98,-0.17,-1.65,-155.76,191.41,155.40
1860,-2.04,-0.41,-2.09,-100.83,121.46,217.90
1870,-3.14,-0.52,-2.19,-20.75,60.36,252.99
1880,-4.15,-0.59,-1.57,47.85,15.87,237.12
1890,-4.67,-0.62,-0.96,62.13,3.66,110.11
1900,-4.15,-0.46,-0.79,51.64,21.97,2.93
1910,-3.32,-0.23,-0.51,57.92,8.67,-56.27
1920,-2.52,-0.04,-0.17,49.87,-41.93,-77.70
1930,-2.24,-0.04,-0.26,27.40,-81.42,-84.59
1940,-1.92,-0.06,-0.67,15.56,-105.41,-94.85
1950,-1.68,-0.05,-0.83,23.86,-123.35,-102.91
1960,-1.35,0.00,-0.64,41.81,-148.07,-108.95
1970,-1.12,0.01,-0.52,43.03,-166.20,-113.95
1980,-0.84,0.02,-0.45,37.05,-164.43,-119.57
1990,-0.43,0.02,-0.53,23.07,-142.21,-131.84
