timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.78,-0.84,-0.02,33.63,-69.70,84.96
10,-1.52,-0.70,-0.16,37.11,-79.10,90.15
20,-1.28,-0.56,-0.20,35.22,-86.43,96.56
30,-1.10,-0.48,-0.19,38.02,-95.64,101.14
40,-0.90,-0.39,-0.24,43.33,-101.01,107.67
50,-0.59,-0.23,-0.31,41.56,-99.91,110.53
60,-0.40,-0.11,-0.30,33.45,-89.90,106.02
70,-0.19,-0.03,-0.25,20.94,-77.03,90.76
80,0.02,0.04,-0.13,25.27,-73.55,79.65
90,0.15,0.12,-0.10,26.92,-67.57,56.58
100,0.35,0.18,-0.12,26.79,-59.39,34.30
110,0.45,0.23,-0.11,18.80,-26.12,10.38
120,0.50,0.28,-0.15,5.43,9.03,7.26
130,0.51,0.27,-0.16,-17.09,51.94,10.80
140,0.59,0.23,-0.23,-30.27,80.63,8.12
150,0.55,0.15,-0.26,-40.41,107.85,-14.28
160,0.45,0.04,-0.30,-42.85,128.72,-50.96
170,0.21,-0.17,-0.38,-41.69,139.40,-82.21
180,-0.26,-0.45,-0.38,-46.14,156.62,-128.42
190,-0.90,-0.65,-0.41,-43.40,160.77,-160.77
200,-1.68,-0.80,-0.50,-24.23,163.57,-165.53
210,-2.33,-0.82,-0.65,-7.14,144.53,-147.83
220,-2.80,-0.94,-0.82,0.12,103.94,-106.14
230,-3.21,-1.03,-0.75,-9.64,61.16,-46.88
240,-3.29,-1.02,-0.56,-17.88,25.33,1.10
250,-2.92,-1.09,-0.33,-22.58,-7.51,27.71
260,-2.59,-0.99,-0.02,-15.14,-49.19,36.01
270,-2.23,-0.96,0.04,6.90,-83.13,58.35
280,-1.93,-0.84,-0.04,22.83,-94.91,67.69
290,-1.57,-0.71,-0.18,30.03,-107.48,81.60
300,-1.34,-0.61,-0.20,29.42,-112.18,82.89
310,-1.16,-0.51,-0.18,32.59,-119.14,86.55
320,-0.87,-0.36,-0.20,37.05,-121.89,93.51
330,-0.61,-0.24,-0.26,36.80,-114.38,99.91
340,-0.28,-0.06,-0.34,28.63,-98.21,95.46
350,-0.04,0.05,-0.28,26.73,-96.50,84.72
360,0.08,0.15,-0.25,21.79,-88.38,68.54
370,0.32,0.20,-0.21,15.99,-86.73,36.74
380,0.46,0.28,-0.09,13.98,-64.58,-2.01
390,0.60,0.36,-0.16,11.41,-42.18,-9.89
400,0.64,0.39,-0.21,-3.97,-5.19,-6.16
410,0.74,0.33,-0.28,-23.93,35.89,0.43
420,0.65,0.22,-0.30,-45.04,88.13,-11.23
430,0.56,0.12,-0.37,-47.73,112.30,-27.34
