timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.43,0.06,-0.43,-13.12,118.71,-25.15
10,0.21,-0.00,-0.53,-20.39,120.36,-55.18
20,-0.30,-0.28,-0.64,-39.79,132.14,-114.56
30,-1.02,-0.44,-0.46,-40.59,155.58,-156.86
40,-1.59,-0.53,-0.47,-21.30,145.75,-168.76
50,-2.40,-0.67,-0.56,4.82,110.66,-167.66
60,-2.94,-0.78,-0.58,11.90,72.33,-143.55
70,-3.27,-0.84,-0.52,7.26,37.05,-97.96
80,-3.34,-0.92,-0.39,-0.92,4.46,-23.56
90,-3.09,-0.85,-0.33,-4.33,-17.82,22.83
100,-2.70,-0.78,-0.30,-5.74,-38.57,55.97
110,-2.34,-0.69,-0.26,-1.71,-64.15,72.75
120,-1.81,-0.56,-0.28,8.91,-98.45,89.90
130,-1.46,-0.46,-0.27,12.39,-114.69,93.93
140,-1.14,-0.35,-0.23,14.04,-122.86,94.24
150,-0.88,-0.28,-0.19,16.91,-128.66,91.49
160,-0.62,-0.19,-0.15,21.79,-133.73,83.19
170,-0.43,-0.14,-0.19,18.43,-124.15,79.71
180,-0.26,-0.07,-0.12,16.66,-110.35,81.24
190,-0.08,-0.00,-0.15,11.54,-91.67,77.21
200,0.15,0.02,-0.15,-0.24,-71.47,59.69
210,0.29,0.07,-0.05,-8.42,-54.02,39.31
220,0.49,0.10,-0.06,-10.25,-44.98,25.70
230,0.60,0.14,-0.01,-11.35,-20.87,13.98
240,0.64,0.16,0.06,-14.71,22.58,5.80
250,0.69,0.13,-0.03,-17.64,58.11,6.47
260,0.67,0.07,-0.09,-23.01,103.64,0.12
270,0.63,0.03,-0.19,-23.68,143.62,-14.53
280,0.41,-0.06,-0.40,-10.62,170.90,-48.89
290,0.07,-0.22,-0.66,-0.12,177.67,-91.74
300,-0.72,-0.46,-0.84,6.71,174.44,-154.60
310,-1.69,-0.51,-1.08,6.90,151.31,-195.56
320,-2.38,-0.68,-1.02,-2.08,121.64,-194.52
330,-2.99,-0.86,-0.77,-1.53,73.73,-157.59
340,-3.27,-1.01,-0.56,-2.20,31.80,-111.21
350,-3.31,-1.07,-0.26,-3.66,-0.92,-29.11
360,-3.07,-1.06,-0.11,-6.77,-11.17,28.50
370,-2.67,-0.96,-0.00,-7.69,-15.87,63.23
380,-2.32,-0.85,0.03,2.56,-39.37,83.44
390,-2.00,-0.73,-0.04,18.25,-70.07,92.41
400,-1.62,-0.56,-0.17,31.25,-94.42,97.90
410,-1.37,-0.45,-0.22,33.87,-105.96,97.53
420,-1.18,-0.37,-0.19,33.94,-114.50,93.81
430,-1.01,-0.36,-0.18,38.09,-130.43,84.96
440,-0.80,-0.28,-0.19,44.92,-136.96,80.51
450,-0.58,-0.24,-0.33,37.96,-124.69,92.47
460,-0.33,-0.14,-0.16,28.87,-112.37,94.24
470,-0.08,-0.04,-0.19,23.86,-91.55,95.46
480,0.30,0.11,-0.19,10.25,-64.09,80.02
490,0.59,0.24,-0.10,0.37,-48.65,60.24
500,0.82,0.33,-0.04,-0.73,-25.76,38.45
510,1.00,0.43,-0.04,-1.65,-2.62,13.43
520,1.04,0.40,-0.02,-8.54,33.94,-12.21
530,0.97,0.28,-0.06,-17.76,58.96,-33.87
540,0.78,0.02,-0.17,-30.70,107.24,-60.30
550,0.43,-0.16,-0.21,-35.71,162.60,-91.37
560,-0.06,-0.35,-0.47,-25.70,198.85,-110.84
570,-0.62,-0.46,-0.73,-13.79,209.53,-136.35
580,-1.29,-0.53,-0.96,-5.80,197.51,-158.63
590,-1.95,-0.67,-1.03,-2.01,150.70,-179.63
600,-2.68,-0.81,-0.95,-0.67,97.96,-196.90
610,-3.28,-0.93,-0.68,-2.81,38.64,-122.80
620,-3.27,-0.96,-0.48,-13.31,25.76,-40.47
630,-3.02,-0.95,-0.26,-19.90,11.05,15.63
640,-2.75,-0.92,-0.12,-18.31,-13.31,37.78
650,-2.47,-0.87,0.01,-3.85,-51.39,49.07
660,-2.24,-0.81,0.01,14.28,-77.76,67.20
670,-1.95,-0.68,-0.12,25.02,-89.97,89.29
680,-1.67,-0.57,-0.24,24.90,-92.22,106.26
690,-1.30,-0.41,-0.29,21.24,-99.98,107.12
700,-1.07,-0.30,-0.29,22.77,-114.93,101.50
710,-0.84,-0.22,-0.26,25.57,-127.08,97.17
720,-0.63,-0.17,-0.30,25.76,-124.51,94.60
730,-0.36,-0.06,-0.23,21.00,-110.29,95.58
740,-0.12,0.00,-0.25,13.12,-96.13,91.31
750,0.13,0.03,-0.19,4.21,-81.54,72.20
760,0.35,0.11,-0.10,-1.40,-72.69,38.33
770,0.51,0.12,0.01,3.42,-66.22,10.62
780,0.67,0.16,0.05,14.04,-56.15,-16.05
790,0.72,0.10,-0.04,12.45,-28.99,-18.31
800,0.74,0.05,-0.09,-5.74,26.86,-6.71
810,0.80,0.02,-0.09,-24.72,89.60,5.55
820,0.85,0.01,-0.10,-23.80,135.25,-6.59
830,0.72,-0.07,-0.31,-12.33,145.63,-42.66
840,0.34,-0.19,-0.58,-11.41,162.29,-86.00
850,-0.20,-0.32,-0.72,-23.19,184.88,-129.76
860,-1.11,-0.50,-0.77,-25.09,186.89,-164.12
870,-1.73,-0.57,-0.78,-19.96,171.63,-178.16
880,-2.33,-0.65,-0.80,-14.16,145.08,-177.31
890,-2.93,-0.84,-0.70,-6.47,88.93,-155.70
900,-3.41,-1.04,-0.46,-3.91,24.48,-102.60
910,-3.46,-1.10,-0.29,-9.16,3.17,-41.93
920,-3.27,-1.10,-0.17,-17.94,-0.06,15.26
930,-2.91,-1.03,-0.02,-16.66,-16.17,53.47
940,-2.53,-0.93,-0.01,-2.26,-48.28,72.45
950,-2.10,-0.78,-0.13,16.11,-82.70,89.36
960,-1.83,-0.69,-0.25,22.46,-100.89,102.66
970,-1.57,-0.60,-0.29,24.23,-114.32,108.34
980,-1.30,-0.51,-0.29,27.34,-130.68,110.17
990,-1.04,-0.43,-0.34,30.46,-138.85,105.29
1000,-0.74,-0.29,-0.30,30.46,-137.27,99.00
1010,-0.51,-0.23,-0.33,24.66,-127.93,102.11
1020,-0.24,-0.10,-0.21,19.17,-116.03,96.37
1030,0.13,0.02,-0.20,23.86,-108.83,90.52
1040,0.40,0.12,-0.20,18.98,-97.41,61.04
1050,0.64,0.20,-0.12,15.99,-89.17,26.61
1060,0.78,0.25,-0.11,14.34,-69.70,-2.87
1070,0.90,0.30,-0.14,3.11,-29.42,-13.79
1080,0.91,0.25,-0.12,-10.93,17.27,-2.56
1090,0.96,0.18,-0.13,-24.17,67.26,7.69
1100,0.94,0.10,-0.13,-32.53,111.76,0.79
1110,0.78,-0.02,-0.26,-29.97,155.09,-33.20
1120,0.45,-0.17,-0.44,-23.44,171.81,-70.50
1130,-0.08,-0.36,-0.59,-22.58,180.85,-118.90
1140,-0.82,-0.46,-0.61,-21.67,194.46,-162.66
1150,-1.70,-0.59,-0.78,-18.31,186.89,-171.94
1160,-2.33,-0.72,-0.82,-15.75,166.44,-177.61
1170,-2.99,-0.87,-0.79,-7.02,113.28,-163.09
1180,-3.43,-1.02,-0.71,-3.05,50.60,-119.63
1190,-3.56,-1.16,-0.39,-16.36,16.85,-36.07
1200,-3.36,-1.17,-0.19,-22.03,2.50,16.05
1210,-3.00,-1.11,-0.05,-16.72,-22.03,53.59
1220,-2.62,-1.03,0.00,-3.30,-52.49,77.64
1230,-2.27,-0.93,-0.01,12.45,-80.32,91.31
1240,-1.84,-0.75,-0.12,29.42,-109.50,107.12
1250,-1.51,-0.61,-0.18,35.22,-127.93,112.61
1260,-1.20,-0.49,-0.20,37.23,-136.90,112.67
1270,-0.92,-0.38,-0.21,38.45,-139.65,105.22
1280,-0.67,-0.27,-0.24,39.31,-138.06,101.14
1290,-0.33,-0.13,-0.28,30.94,-121.34,101.38
1300,-0.10,-0.01,-0.22,27.47,-113.83,97.17
1310,0.17,0.05,-0.26,23.74,-102.54,92.04
1320,0.52,0.16,-0.23,10.56,-76.90,48.89
1330,0.69,0.21,-0.16,7.39,-65.12,14.89
1340,0.80,0.27,-0.15,6.04,-45.96,-10.01
1350,0.88,0.34,-0.15,-0.85,-8.61,-8.36
1360,1.05,0.32,-0.26,-12.57,39.67,10.93
1370,1.02,0.18,-0.27,-27.83,84.59,0.24
1380,0.85,0.04,-0.23,-31.56,118.29,-31.56
1390,0.54,-0.10,-0.36,-27.40,142.21,-64.70
1400,-0.05,-0.30,-0.55,-30.15,170.23,-106.08
1410,-0.59,-0.43,-0.55,-35.95,190.19,-137.21
1420,-1.18,-0.55,-0.54,-28.69,180.30,-153.87
1430,-1.77,-0.64,-0.55,-17.40,160.46,-163.64
1440,-2.55,-0.73,-0.58,-7.39,120.30,-159.18
1450,-3.14,-0.90,-0.52,-0.18,72.57,-119.69
1460,-3.40,-1.01,-0.42,-3.78,34.36,-71.53
1470,-3.42,-1.06,-0.25,-10.56,15.38,-19.65
1480,-3.09,-1.00,-0.08,-11.35,-10.56,37.35
1490,-2.71,-0.93,-0.02,-4.88,-37.54,64.82
1500,-2.34,-0.84,-0.03,4.52,-66.41,77.58
1510,-2.01,-0.75,-0.07,11.60,-87.04,85.45
1520,-1.62,-0.61,-0.10,20.87,-104.98,92.65
1530,-1.35,-0.50,-0.16,27.53,-117.80,94.18
1540,-1.14,-0.42,-0.20,29.05,-123.29,95.40
1550,-0.85,-0.32,-0.25,28.08,-126.77,95.83
1560,-0.60,-0.22,-0.28,24.72,-118.41,97.17
1570,-0.32,-0.13,-0.30,17.40,-103.70,90.94
1580,-0.16,-0.05,-0.23,14.34,-93.57,80.26
1590,-0.01,-0.00,-0.20,14.47,-90.09,69.34
1600,0.19,0.07,-0.20,6.41,-72.75,32.90
1610,0.28,0.09,-0.14,-0.12,-58.59,6.90
1620,0.31,0.08,-0.04,-2.44,-42.85,-12.76
1630,0.34,0.10,0.01,1.46,-27.65,-17.03
1640,0.35,0.14,-0.00,3.97,5.55,1.34
1650,0.53,0.17,-0.16,-3.36,45.90,21.06
1660,0.65,0.20,-0.20,-16.78,95.64,23.80
1670,0.66,0.17,-0.23,-22.46,138.18,0.92
1680,0.53,0.10,-0.33,-16.36,152.89,-31.74
1690,0.25,-0.01,-0.51,-10.93,159.00,-73.43
1700,-0.19,-0.19,-0.62,-23.56,174.07,-123.78
1710,-1.21,-0.55,-0.60,-34.36,189.94,-181.21
1720,-1.97,-0.76,-0.57,-26.00,162.23,-210.21
1730,-2.77,-0.92,-0.56,-9.22,103.64,-214.97
1740,-3.47,-1.21,-0.50,-6.16,24.48,-151.43
1750,-3.68,-1.32,-0.27,-16.48,5.07,-79.47
1760,-3.61,-1.30,-0.10,-21.48,-5.13,6.84
1770,-3.06,-1.27,0.00,-22.83,-13.06,60.61
1780,-2.62,-1.05,0.04,-17.94,-25.21,82.64
1790,-2.08,-0.87,0.05,6.96,-69.58,111.45
1800,-1.70,-0.70,-0.06,20.75,-91.43,117.74
1810,-1.37,-0.53,-0.16,26.12,-105.71,117.74
1820,-0.98,-0.34,-0.19,25.15,-110.23,111.82
1830,-0.73,-0.23,-0.18,27.83,-115.36,103.27
1840,-0.53,-0.14,-0.24,28.08,-115.72,92.22
1850,-0.24,-0.04,-0.23,19.53,-93.93,84.90
1860,-0.07,0.02,-0.21,21.30,-86.79,83.80
1870,0.03,0.03,-0.23,18.74,-75.50,72.63
1880,0.20,0.10,-0.18,10.86,-58.84,39.18
1890,0.37,0.13,-0.16,10.01,-43.82,26.86
1900,0.51,0.18,-0.15,8.00,-26.31,13.61
1910,0.65,0.21,-0.17,2.44,5.68,6.65
1920,0.69,0.19,-0.19,-3.60,41.50,12.15
1930,0.74,0.13,-0.30,-15.56,84.05,13.43
1940,0.69,0.05,-0.35,-28.08,129.64,1.28
1950,0.57,-0.02,-0.47,-29.79,156.62,-25.39
1960,0.34,-0.17,-0.60,-26.98,155.58,-66.47
1970,-0.36,-0.47,-0.60,-30.15,171.45,-133.61
1980,-1.25,-0.67,-0.36,-22.58,163.57,-190.25
1990,-2.14,-0.76,-0.32,5.62,135.62,-196.66
