timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-4.10,-0.93,-0.35,13.79,18.13,-5.25
10,-3.45,-0.62,-0.28,-16.30,22.03,20.26
20,-3.07,-0.62,-0.19,-18.68,-14.47,59.08
30,-2.52,-0.54,-0.19,-12.88,-43.40,64.88
40,-2.02,-0.40,-0.34,-7.14,-78.74,68.05
50,-1.75,-0.34,-0.44,-11.35,-103.45,77.33
60,-1.45,-0.32,-0.43,-17.09,-116.94,88.62
70,-1.04,-0.24,-0.39,-16.42,-127.93,93.93
80,-0.73,-0.21,-0.34,-11.72,-138.00,91.49
90,-0.54,-0.17,-0.33,-4.76,-142.09,80.38
100,-0.24,-0.13,-0.23,5.43,-141.97,58.47
110,-0.09,-0.15,-0.21,16.60,-136.60,55.85
120,0.12,-0.09,-0.32,18.55,-117.00,40.65
130,0.31,-0.05,-0.33,10.74,-89.42,33.02
140,0.52,-0.04,-0.22,3.17,-61.04,22.46
150,0.71,-0.04,-0.06,5.80,-37.05,3.78
160,0.69,-0.08,-0.02,14.77,-26.61,-10.68
170,0.61,-0.04,-0.11,17.94,4.58,-9.09
180,0.68,0.01,-0.24,5.80,76.90,21.18
190,0.76,-0.01,-0.18,-1.59,121.70,27.28
200,0.83,0.01,-0.19,5.43,126.10,11.96
210,0.68,-0.05,-0.33,17.27,109.44,-23.86
220,0.15,-0.14,-0.64,16.54,133.73,-82.70
230,-0.29,-0.12,-0.79,5.13,180.05,-96.01
240,-0.72,-0.19,-0.75,-6.71,202.33,-100.77
250,-1.33,-0.37,-0.59,-9.64,192.69,-124.45
260,-2.21,-0.48,-0.40,6.90,136.90,-158.02
270,-2.93,-0.53,-0.36,15.93,105.90,-145.32
280,-3.57,-0.58,-0.40,16.85,87.16,-100.83
290,-3.89,-0.34,-0.42,6.59,70.92,-54.69
300,-3.73,-0.65,-0.34,-6.59,29.24,8.00
310,-3.37,-0.53,-0.25,-7.39,-4.09,26.73
320,-2.97,-0.56,-0.27,-4.09,-39.86,50.48
330,-2.33,-0.48,-0.36,-2.20,-61.52,67.08
340,-1.98,-0.40,-0.42,-3.48,-85.39,74.77
350,-1.69,-0.38,-0.49,-7.57,-116.39,83.07
360,-1.33,-0.36,-0.50,-11.72,-145.32,82.64
370,-1.06,-0.29,-0.47,-13.61,-150.15,79.22
380,-0.83,-0.25,-0.42,-13.73,-148.32,82.03
390,-0.49,-0.13,-0.35,-15.26,-132.81,84.53
400,-0.15,-0.08,-0.33,-16.66,-116.15,81.97
410,0.11,-0.07,-0.24,-13.00,-100.95,79.71
420,0.36,0.00,-0.26,-11.41,-88.93,55.48
430,0.59,0.02,-0.19,-13.79,-69.58,27.04
440,0.69,0.02,-0.15,-11.41,-49.32,0.00
450,0.69,0.02,-0.17,-7.75,-30.15,-16.97
460,0.61,-0.02,-0.21,-9.70,-9.89,-24.54
470,0.48,-0.05,-0.22,-14.40,34.36,-15.81
480,0.43,-0.08,-0.24,-18.49,78.00,-0.98
490,0.41,-0.06,-0.23,-18.92,108.46,6.59
500,0.42,-0.07,-0.25,-11.47,123.23,1.95
510,0.35,-0.10,-0.30,3.42,114.93,-20.26
520,0.04,-0.12,-0.47,15.93,109.37,-54.44
530,-0.32,-0.08,-0.69,13.00,132.32,-74.77
540,-0.64,-0.07,-0.75,-1.77,166.32,-72.63
550,-1.07,-0.34,-0.43,-18.74,150.70,-99.91
560,-1.86,-0.58,-0.09,-3.85,94.85,-158.57
570,-2.66,-0.66,0.01,18.68,35.46,-177.12
580,-3.28,-0.72,-0.07,27.04,24.60,-138.24
590,-4.14,-0.74,-0.30,13.55,32.53,-4.09
600,-3.67,-0.71,-0.30,0.18,55.11,12.51
610,-3.25,-0.56,-0.24,-5.80,42.05,13.92
620,-2.93,-0.57,-0.29,-3.78,-33.39,25.63
630,-2.57,-0.51,-0.32,0.98,-56.46,36.13
640,-2.21,-0.46,-0.43,0.12,-63.54,59.63
650,-1.77,-0.38,-0.52,-6.47,-68.36,89.29
660,-1.41,-0.34,-0.53,-10.93,-82.40,102.42
670,-1.10,-0.28,-0.51,-13.43,-97.17,103.15
680,-0.76,-0.24,-0.43,-13.85,-116.58,104.00
690,-0.53,-0.19,-0.33,-12.39,-122.86,96.86
700,-0.29,-0.17,-0.26,-8.79,-122.56,84.72
710,-0.07,-0.11,-0.15,3.66,-123.72,77.33
720,0.23,-0.07,-0.19,12.33,-112.37,50.96
730,0.37,0.00,-0.19,8.24,-87.40,33.75
740,0.51,0.03,-0.11,3.85,-62.01,21.97
750,0.63,0.06,-0.05,4.03,-41.44,9.52
760,0.66,0.10,-0.10,9.09,-16.30,-3.23
770,0.62,0.12,-0.21,4.70,22.52,-1.16
780,0.59,0.09,-0.26,-8.97,74.71,11.47
790,0.64,0.05,-0.18,-16.48,107.85,17.76
800,0.67,-0.02,-0.20,-6.84,106.02,-4.52
810,0.45,-0.13,-0.34,3.30,96.92,-42.54
820,0.03,-0.17,-0.55,1.28,119.75,-73.12
830,-0.40,-0.19,-0.68,-11.66,168.46,-74.10
840,-0.84,-0.25,-0.58,-16.30,190.37,-68.30
850,-1.20,-0.33,-0.48,-6.47,168.33,-90.03
860,-1.77,-0.40,-0.46,11.54,130.07,-125.79
870,-2.78,-0.50,-0.47,23.38,62.56,-142.82
880,-3.40,-0.57,-0.42,20.87,42.30,-111.51
890,-3.67,-0.56,-0.36,11.84,31.74,-68.97
900,-3.53,-0.68,-0.23,7.75,13.55,5.13
910,-3.21,-0.54,-0.25,5.92,-12.88,5.00
920,-3.00,-0.50,-0.27,8.42,-46.20,26.79
930,-2.42,-0.46,-0.30,8.73,-66.89,51.45
940,-2.06,-0.44,-0.33,9.22,-81.36,68.73
950,-1.77,-0.40,-0.40,10.19,-104.49,75.07
960,-1.38,-0.33,-0.47,9.46,-130.49,85.51
970,-1.06,-0.27,-0.47,6.41,-132.39,94.12
980,-0.72,-0.20,-0.43,3.85,-129.82,99.98
990,-0.39,-0.16,-0.40,2.87,-126.59,101.20
1000,-0.04,-0.08,-0.36,-0.73,-110.66,87.95
1010,0.18,-0.07,-0.28,3.72,-101.62,83.37
1020,0.43,-0.01,-0.29,3.17,-92.10,56.58
1030,0.61,-0.02,-0.17,-1.16,-76.17,16.36
1040,0.61,-0.05,-0.06,4.15,-72.33,-16.60
1050,0.51,-0.05,-0.13,8.30,-51.94,-28.75
1060,0.42,-0.04,-0.22,1.53,-2.01,-12.39
1070,0.51,-0.07,-0.13,-10.56,66.35,22.83
1080,0.57,-0.09,-0.08,-7.51,94.73,25.88
1090,0.58,-0.10,-0.08,3.11,106.02,12.08
1100,0.48,-0.09,-0.22,12.88,117.86,-8.73
1110,0.27,-0.07,-0.47,10.31,141.78,-30.15
1120,0.06,-0.11,-0.57,0.55,161.93,-48.16
1130,-0.28,-0.22,-0.49,-1.22,169.92,-80.87
1140,-0.78,-0.34,-0.34,14.53,142.27,-124.88
1150,-1.39,-0.50,-0.36,20.32,121.34,-162.11
1160,-2.11,-0.57,-0.23,20.81,114.93,-182.56
1170,-3.06,-0.65,-0.33,26.31,100.83,-138.31
1180,-3.54,-0.75,-0.55,25.82,86.67,-83.01
1190,-3.77,-0.75,-0.67,22.89,67.81,20.32
1200,-3.37,-0.35,-0.77,-2.44,39.18,-1.53
1210,-3.27,-0.37,-0.74,-15.81,-29.85,11.41
1220,-2.88,-0.39,-0.53,-22.77,-65.19,21.24
1230,-2.41,-0.43,-0.37,-18.92,-88.68,44.98
1240,-1.87,-0.46,-0.32,-12.51,-117.07,63.11
1250,-1.58,-0.48,-0.30,-5.55,-133.42,70.50
1260,-1.34,-0.46,-0.33,2.20,-136.84,83.44
1270,-1.12,-0.45,-0.31,6.71,-138.24,97.29
1280,-0.88,-0.43,-0.29,12.70,-132.81,105.22
1290,-0.64,-0.34,-0.26,18.19,-124.69,105.90
1300,-0.23,-0.21,-0.29,20.32,-120.18,99.12
1310,0.08,-0.14,-0.28,24.60,-111.76,94.97
1320,0.38,0.01,-0.33,20.87,-94.36,67.50
1330,0.62,0.09,-0.27,8.30,-69.82,27.22
1340,0.73,0.11,-0.17,4.21,-55.97,-5.86
1350,0.78,0.14,-0.14,7.57,-48.34,-27.71
1360,0.79,0.15,-0.25,9.77,-29.79,-31.31
1370,0.83,0.16,-0.46,-10.86,46.26,-10.31
1380,0.85,0.07,-0.42,-30.21,101.99,1.34
1390,0.85,-0.00,-0.33,-31.62,128.60,-11.60
1400,0.71,-0.09,-0.41,-20.51,131.04,-37.60
1410,0.37,-0.17,-0.56,-16.54,144.65,-69.64
1420,-0.14,-0.25,-0.65,-24.29,175.78,-94.60
1430,-0.77,-0.35,-0.56,-30.46,199.22,-103.94
1440,-1.24,-0.45,-0.50,-22.09,183.65,-112.73
1450,-1.85,-0.55,-0.45,-8.54,147.34,-141.72
1460,-2.84,-0.67,-0.37,8.61,78.25,-152.10
1470,-3.44,-0.70,-0.38,11.11,47.42,-123.78
1480,-3.55,-0.54,-0.45,-0.85,46.39,-75.01
1490,-3.68,-0.77,-0.37,-7.93,55.66,13.00
1500,-3.15,-0.59,-0.28,-14.04,25.02,23.44
