timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.25,0.14,-0.09,-38.27,56.88,-57.62
10,0.12,-0.04,-0.09,-53.28,84.11,-71.72
20,0.00,-0.18,-0.16,-66.96,122.19,-80.93
30,-0.11,-0.25,-0.23,-70.43,141.42,-88.13
40,-0.28,-0.34,-0.33,-70.98,149.48,-107.97
50,-0.73,-0.74,-0.52,-69.15,146.36,-158.02
60,-1.23,-0.90,-0.55,-55.54,130.92,-186.22
70,-1.70,-1.07,-0.57,-27.28,87.95,-175.90
80,-2.22,-1.34,-0.58,-2.87,35.83,-138.49
90,-2.57,-1.56,-0.50,2.87,6.35,-101.44
100,-2.97,-1.49,-0.44,-2.69,-7.08,-44.68
110,-2.45,-1.68,-0.18,-4.03,-27.34,13.49
120,-2.38,-1.53,-0.08,-15.01,-20.39,15.08
130,-2.07,-1.44,0.10,2.32,-37.72,65.55
140,-1.63,-1.21,-0.01,31.80,-52.00,98.08
150,-1.42,-1.10,-0.15,40.41,-56.95,106.81
160,-1.22,-0.95,-0.22,44.07,-62.93,111.27
170,-0.97,-0.77,-0.25,53.96,-76.11,125.67
180,-0.80,-0.67,-0.24,60.85,-82.34,133.06
190,-0.55,-0.46,-0.27,64.76,-81.54,131.90
200,-0.37,-0.31,-0.26,62.99,-76.66,127.26
210,-0.22,-0.18,-0.29,54.26,-67.02,118.35
220,-0.10,-0.03,-0.15,50.72,-60.97,105.04
230,0.15,0.14,-0.14,57.56,-60.49,78.86
240,0.26,0.30,-0.14,52.61,-48.46,52.55
250,0.35,0.41,-0.13,40.83,-33.69,27.89
260,0.43,0.51,-0.13,12.57,4.58,8.00
270,0.40,0.48,-0.14,-11.54,35.77,-1.10
280,0.40,0.42,-0.15,-31.49,61.22,-11.90
290,0.33,0.24,-0.18,-51.82,88.62,-40.95
300,0.24,0.11,-0.23,-61.40,104.92,-65.73
310,0.13,-0.02,-0.31,-68.97,125.00,-85.33
320,-0.02,-0.17,-0.38,-75.32,144.47,-108.09
330,-0.37,-0.51,-0.52,-78.12,146.30,-152.95
340,-0.89,-0.92,-0.54,-64.51,128.85,-199.22
350,-1.39,-1.10,-0.46,-33.51,93.08,-216.13
360,-2.08,-1.50,-0.35,13.00,36.56,-182.92
370,-2.52,-1.66,-0.31,23.80,15.38,-138.67
380,-2.51,-1.23,-0.41,9.16,16.48,-77.15
390,-2.38,-1.61,-0.31,-22.77,45.84,54.63
400,-2.22,-1.36,-0.19,-44.31,59.69,23.19
410,-2.15,-1.24,-0.06,-24.35,22.58,48.89
420,-1.77,-1.13,-0.06,24.35,-40.41,72.94
430,-1.63,-1.02,-0.19,38.70,-58.84,72.75
440,-1.48,-0.94,-0.28,36.13,-62.26,73.67
450,-1.34,-0.82,-0.29,32.17,-64.21,87.34
460,-1.13,-0.70,-0.27,37.84,-74.34,103.64
470,-0.96,-0.59,-0.28,43.03,-79.90,111.27
480,-0.79,-0.47,-0.26,46.69,-85.82,115.72
490,-0.57,-0.34,-0.25,46.26,-86.12,114.81
500,-0.42,-0.24,-0.21,47.18,-80.81,111.08
510,-0.22,-0.09,-0.20,44.19,-72.94,102.97
520,0.00,0.03,-0.11,51.64,-74.89,82.76
530,0.12,0.15,-0.13,52.67,-67.81,51.94
540,0.20,0.22,-0.12,45.29,-52.49,26.98
550,0.29,0.26,-0.06,37.96,-23.32,2.81
560,0.25,0.30,-0.06,27.04,8.85,-2.75
570,0.28,0.32,-0.13,11.47,39.31,4.88
580,0.31,0.29,-0.16,-10.01,76.84,2.56
590,0.28,0.24,-0.20,-20.32,94.91,-17.21
600,0.21,0.16,-0.24,-26.79,105.22,-41.44
610,0.10,0.02,-0.33,-38.02,119.93,-70.37
620,-0.22,-0.23,-0.40,-49.26,139.89,-117.68
630,-0.50,-0.43,-0.52,-54.99,144.53,-148.13
640,-0.90,-0.69,-0.66,-63.17,141.54,-185.67
650,-1.64,-1.11,-0.55,-52.00,101.81,-214.90
660,-2.07,-1.37,-0.49,-22.52,48.16,-198.55
670,-2.44,-1.61,-0.42,5.55,-0.49,-157.47
680,-2.77,-1.78,-0.31,11.54,-30.64,-95.46
690,-2.68,-1.71,-0.20,4.03,-37.23,-36.80
700,-2.55,-1.75,-0.14,-7.69,-28.32,23.68
710,-2.14,-1.45,-0.05,-9.34,-19.96,74.89
720,-1.79,-1.23,-0.12,7.32,-38.57,108.15
730,-1.51,-1.05,-0.23,26.25,-60.67,122.92
740,-1.30,-0.90,-0.35,37.72,-75.13,126.71
750,-1.08,-0.74,-0.38,45.29,-90.94,126.59
760,-0.85,-0.57,-0.39,49.68,-103.45,134.64
770,-0.60,-0.41,-0.39,43.09,-102.78,129.33
780,-0.36,-0.24,-0.29,35.89,-94.30,120.24
