timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.13,-0.95,-0.17,-15.32,-27.28,24.17
10,-2.69,-0.89,-0.07,-14.04,-40.22,58.17
20,-2.14,-0.79,-0.02,-1.46,-62.87,89.11
30,-1.80,-0.70,-0.10,10.31,-78.74,100.22
40,-1.53,-0.60,-0.17,17.76,-97.29,101.81
50,-1.29,-0.51,-0.18,22.46,-116.46,96.37
60,-1.11,-0.45,-0.22,26.55,-127.44,90.39
70,-0.86,-0.34,-0.22,27.77,-133.54,79.83
80,-0.69,-0.27,-0.21,28.69,-129.94,81.05
90,-0.50,-0.19,-0.27,27.34,-116.94,91.13
100,-0.23,-0.06,-0.22,22.40,-97.47,91.49
110,0.05,0.04,-0.22,20.51,-82.15,89.60
120,0.26,0.14,-0.23,13.00,-73.49,63.96
130,0.41,0.17,-0.14,9.52,-61.16,36.74
140,0.48,0.16,-0.13,7.81,-53.22,3.54
150,0.53,0.17,-0.10,-0.37,-16.54,-13.31
160,0.59,0.16,-0.10,-6.35,21.48,-0.73
170,0.70,0.12,-0.19,-12.88,56.40,12.21
180,0.74,0.08,-0.24,-21.55,90.39,9.34
190,0.66,-0.06,-0.35,-28.26,125.24,-19.04
200,0.42,-0.21,-0.44,-29.54,134.83,-54.26
210,0.05,-0.40,-0.46,-29.72,144.96,-92.90
220,-0.40,-0.52,-0.45,-23.93,160.40,-132.63
230,-1.00,-0.60,-0.58,-16.78,170.96,-155.09
240,-1.85,-0.63,-0.63,-14.59,163.39,-178.77
250,-2.50,-0.61,-0.59,-8.18,135.62,-168.21
260,-3.02,-0.65,-0.59,-1.95,96.01,-127.26
270,-3.42,-0.72,-0.56,-8.54,60.00,-83.68
280,-3.53,-0.81,-0.27,-24.05,18.19,-27.95
290,-3.33,-0.83,-0.07,-26.61,-9.46,10.86
300,-3.00,-0.83,0.04,-20.87,-36.13,42.36
310,-2.59,-0.77,0.06,-8.48,-62.44,68.36
320,-2.07,-0.66,-0.07,7.81,-88.07,91.80
330,-1.73,-0.57,-0.18,14.04,-101.50,98.63
340,-1.46,-0.51,-0.25,15.69,-117.55,97.41
350,-1.23,-0.46,-0.24,18.37,-135.01,93.57
360,-0.93,-0.39,-0.26,20.20,-142.58,89.90
370,-0.70,-0.29,-0.25,21.30,-134.09,97.29
380,-0.43,-0.19,-0.28,19.47,-120.48,106.51
390,-0.13,-0.11,-0.34,9.95,-100.22,107.06
400,0.21,0.01,-0.28,5.80,-84.29,95.21
410,0.45,0.05,-0.30,1.04,-78.55,63.96
420,0.57,0.06,-0.22,-3.42,-61.34,28.81
430,0.71,0.06,-0.19,-0.79,-46.39,-9.40
440,0.75,0.07,-0.19,-2.01,-21.48,-15.69
450,0.81,0.02,-0.30,-9.83,17.03,-9.89
460,0.79,-0.01,-0.26,-25.33,89.78,-4.09
470,0.78,-0.03,-0.26,-24.60,123.11,-7.93
480,0.65,-0.11,-0.33,-15.20,138.98,-30.82
490,0.36,-0.23,-0.45,-9.89,151.79,-67.69
500,-0.28,-0.32,-0.52,-15.01,194.09,-109.44
510,-0.76,-0.34,-0.52,-16.54,210.57,-115.72
520,-1.26,-0.44,-0.49,-7.26,193.48,-134.89
530,-1.91,-0.54,-0.53,8.85,148.50,-170.65
540,-3.05,-0.79,-0.53,21.06,81.85,-180.85
550,-3.66,-0.88,-0.57,15.20,57.07,-135.19
560,-3.94,-1.00,-0.63,-3.48,44.62,-48.83
570,-3.59,-0.93,-0.42,-16.72,28.50,47.30
580,-2.93,-0.78,-0.27,-25.21,-13.49,48.58
590,-2.70,-0.79,-0.16,-16.66,-58.47,57.74
600,-2.34,-0.78,-0.15,-2.38,-93.57,73.67
610,-2.00,-0.70,-0.26,6.84,-102.48,92.90
620,-1.53,-0.57,-0.31,9.09,-119.32,104.61
