Timestamp (Unix),ax,ay,az
2023-12-23 21:11:37.447,,0.85, 0.59
2023-12-23 21:11:37.448,-0.03, 0.83, 0.59
2023-12-23 21:11:37.449,, 0.80, 0.57
2023-12-23 21:11:37.450,-0.06, 0.80, 0.56
2023-12-23 21:11:37.451,-0.08, 0.79, 0.55
2023-12-23 21:11:37.452,-0.07, 0.81, 0.57
2023-12-23 21:11:37.453,-0.04, 0.84, 0.58
2023-12-23 21:11:37.454,-0.04, 0.85, 0.59
2023-12-23 21:11:37.455,-0.03, 0.83, 0.59
2023-12-23 21:11:37.455,, 0.80, 0.57
2023-12-23 21:11:37.456,-0.06, 0.80, 0.56
2023-12-23 21:11:37.456,-0.08, 0.79, 0.55
2023-12-23 21:11:37.457,-0.07, 0.81, 0.57
2023-12-23 21:11:37.458,-0.04, 0.84, 0.58
2023-12-23 21:11:37.458,-0.04, 0.85, 0.59
2023-12-23 21:11:37.459,-0.03, 0.83, 0.59
2023-12-23 21:11:37.459,-0.04, 0.79, 0.61
2023-12-23 21:11:37.460,-0.04, 0.79, 0.61
2023-12-23 21:11:37.460,-0.04, 0.80, 0.63
2023-12-23 21:11:37.461,-0.06, 0.81, 0.63
2023-12-23 21:11:37.462,-0.05, 0.80, 0.63
2023-12-23 21:11:37.462,-0.07, 0.79, 0.64
2023-12-23 21:11:37.463,-0.07, 0.78, 0.64
2023-12-23 21:11:37.464,-0.07, 0.78, 0.65
2023-12-23 21:11:37.464,-0.07, 0.77, 0.64
2023-12-23 21:11:37.465,-0.06, 0.77, 0.64
2023-12-23 21:11:37.466,-0.05, 0.77, 0.64
2023-12-23 21:11:37.466,-0.03, 0.76, 0.63
2023-12-23 21:11:37.467,-0.02, 0.75, 0.63
2023-12-23 21:11:37.468,-0.02, 0.75, 0.63
2023-12-23 21:11:37.469,-0.02, 0.74, 0.63
2023-12-23 21:11:37.470,-0.01, 0.75, 0.63
2023-12-23 21:11:37.470,-0.02, 0.75, 0.63
2023-12-23 21:11:37.470,-0.03, 0.76, 0.63
2023-12-23 21:11:37.471,-0.04, 0.78, 0.63
2023-12-23 21:11:37.471,-0.03, 0.78, 0.64
2023-12-23 21:11:37.471,-0.05, 0.77, 0.64
2023-12-23 21:11:37.472,-0.06, 0.79, 0.65
2023-12-23 21:11:37.472,-0.07, 0.79, 0.66
2023-12-23 21:11:37.472,-0.06, 0.78, 0.65
2023-12-23 21:11:37.473,-0.05, 0.77, 0.65
